date,minimum,maximum,range,mean,std
2025-04-23,4.111,4.29671,0.185708,4.17746,0.041809
2025-04-24,3.5355,4.47243,0.936923,4.012209,0.228198
2025-04-25,2.650789,2.99984,0.349049,2.814059,0.089418
2025-04-26,4.099329,4.44114,0.341803,4.24441,0.080471
2025-04-27,4.473989,4.7493,0.275306,4.59944,0.064598
2025-04-28,4.88277,5.17704,0.294266,5.07141,0.066371
2025-04-29,3.14912,3.43669,0.287571,3.288769,0.062378
2025-04-30,2.101809,2.34294,0.241129,2.218539,0.053458
2025-05-01,3.809689,3.969049,0.159362,3.886149,0.035977
2025-05-02,2.54304,2.712709,0.169668,2.62624,0.040501
2025-05-05,2.625669,2.81816,0.192496,2.7021,0.046438
2025-05-07,3.17948,3.51529,0.33581,3.30502,0.081862
2025-05-10,3.749959,3.90363,0.153674,3.809829,0.037057
2025-05-14,3.905489,3.982419,0.076933,3.94541,0.016117
2025-05-15,3.82799,4.318329,0.490337,4.063749,0.113453
2025-05-16,4.610549,4.778719,0.168165,4.689489,0.04029
2025-05-17,4.838479,4.98983,0.151352,4.91692,0.030112
2025-05-18,2.99603,3.09963,0.103605,3.039609,0.021834
2025-05-19,3.982759,4.064589,0.081826,4.023119,0.021053
2025-05-20,4.4014,4.68049,0.279087,4.514029,0.062576
2025-05-21,3.852309,4.50574,0.653429,4.16518,0.166629
2025-05-22,4.8308,5.14233,0.311531,4.95931,0.080232
2025-05-23,5.093699,5.457489,0.363793,5.244989,0.087282
2025-05-24,5.136489,5.566889,0.430397,5.33862,0.102844
2025-05-25,4.67428,5.01768,0.343409,4.819159,0.081884
2025-05-26,3.56467,4.504409,0.939745,4.021999,0.226558
2025-05-27,4.79333,5.31573,0.522405,5.012839,0.123911
2025-05-28,4.941009,5.57776,0.636748,5.21875,0.152688
2025-05-29,5.741139,6.18867,0.447524,5.95344,0.10565
2025-05-30,5.27192,5.675,0.403082,5.45448,0.099482
2025-05-31,4.967939,5.608709,0.640766,5.259309,0.156215
2025-06-01,3.84769,4.36112,0.513432,4.078239,0.116425
2025-06-02,4.07973,4.517819,0.438093,4.27783,0.10253
2025-06-03,3.96208,4.06469,0.102609,4.01808,0.023763
2025-07-06,5.44853,5.958549,0.510019,5.651969,0.123196
2025-07-07,5.119969,5.669879,0.549907,5.32904,0.130872
2025-07-08,6.05141,6.565969,0.514554,6.300829,0.122451
2025-07-09,5.48464,5.751399,0.266763,5.59973,0.049858
2025-07-10,3.89646,4.45235,0.55589,4.146639,0.130037
2025-07-11,2.92385,3.007649,0.083799,2.96015,0.02079
2025-07-12,4.359799,4.562379,0.202581,4.48821,0.045788
2025-07-13,4.715229,5.089,0.373771,4.84695,0.084904
2025-07-14,5.403969,5.820539,0.416568,5.57378,0.092936
2025-07-15,5.943379,6.40322,0.459836,6.104239,0.110919
2025-07-16,5.262269,5.93482,0.672555,5.528289,0.16471
2025-07-18,4.980229,5.20768,0.227451,5.072219,0.039274
2025-07-19,4.71388,5.04215,0.328265,4.82942,0.076624
2025-07-20,4.752689,4.86285,0.110157,4.804269,0.018975
2025-07-21,5.187829,5.56717,0.379332,5.321249,0.090653
2025-07-22,4.669919,5.39574,0.72582,4.963399,0.169715
2025-07-23,5.00928,5.262909,0.25363,5.15035,0.05283
2025-07-25,6.43931,6.87474,0.435425,6.63076,0.105705
2025-07-26,6.07234,6.68553,0.613191,6.341169,0.141008
2025-07-28,5.74417,6.20332,0.459152,5.907499,0.110229
2025-07-29,6.734379,7.09976,0.365384,6.890289,0.087546
2025-07-30,5.98608,6.56148,0.575402,6.25744,0.13503
2025-07-31,5.485879,6.078159,0.59228,5.73858,0.140889
