date,minimum,maximum,range,mean,std
2025-04-23,3.923749,4.474969,0.551223,4.252049,0.103223
2025-04-24,4.05413,4.69595,0.641821,4.436699,0.140751
2025-04-25,2.666049,3.35359,0.687537,3.02463,0.175764
2025-04-26,4.062479,4.556109,0.493634,4.309539,0.112677
2025-04-27,4.42492,4.83857,0.413657,4.67277,0.081335
2025-04-28,4.635029,4.967249,0.332221,4.81076,0.07998
2025-04-29,2.644069,2.89755,0.253477,2.74842,0.059276
2025-04-30,2.716089,3.25774,0.541652,2.953419,0.124531
2025-05-01,3.425029,3.776479,0.351458,3.588129,0.085251
2025-05-02,2.76935,2.999119,0.229775,2.876219,0.040237
2025-05-05,2.574559,2.913939,0.339381,2.740459,0.08814
2025-05-07,2.778409,3.174149,0.395749,2.971199,0.102935
2025-05-10,3.42737,3.78166,0.354295,3.59273,0.084846
2025-05-14,3.57587,3.868649,0.292778,3.73179,0.064728
2025-05-15,3.999589,4.388529,0.388942,4.20558,0.096159
2025-05-16,4.09447,4.72516,0.630692,4.413,0.149673
2025-05-17,4.38628,4.95129,0.56501,4.731639,0.115566
2025-05-18,2.9542,3.31976,0.365559,3.108789,0.083441
2025-05-19,3.845429,4.27152,0.426086,4.07623,0.088412
2025-05-20,4.08929,4.6237,0.534409,4.36145,0.135798
2025-05-21,3.918109,4.711939,0.793829,4.319869,0.212088
2025-05-22,4.65493,5.257319,0.602384,4.984799,0.139154
2025-05-23,4.83572,5.54012,0.704406,5.2396,0.159154
2025-05-24,4.836369,5.59983,0.763463,5.27151,0.168136
2025-05-25,4.39222,5.02644,0.634212,4.73037,0.16322
2025-05-26,4.216899,4.895289,0.678395,4.579569,0.164097
2025-05-27,4.692949,5.328629,0.635679,5.076399,0.137178
2025-05-28,4.92596,5.678939,0.752979,5.38275,0.156099
2025-05-29,5.22859,6.091929,0.86334,5.689169,0.187065
2025-05-30,4.99385,5.818729,0.824882,5.46183,0.172326
2025-05-31,4.787799,5.698659,0.91086,5.26878,0.20421
2025-06-01,4.092249,4.899759,0.807509,4.49268,0.190289
2025-06-02,3.778569,4.514999,0.736431,4.148769,0.198652
2025-06-03,3.78125,4.201739,0.420487,4.01736,0.084524
2025-07-06,5.02286,5.960529,0.937672,5.47617,0.243366
2025-07-07,4.89831,5.708449,0.810139,5.34765,0.183165
2025-07-08,5.44566,6.34142,0.895753,5.952919,0.155637
2025-07-09,4.97383,5.50317,0.529339,5.301869,0.079909
2025-07-10,3.96491,4.48318,0.518267,4.265789,0.093066
2025-07-11,2.69544,2.891799,0.196356,2.814589,0.029418
2025-07-12,3.60064,4.282649,0.682017,3.88015,0.166466
2025-07-13,4.15456,4.76593,0.611375,4.486909,0.136876
2025-07-14,5.12305,5.83673,0.713672,5.485469,0.178076
2025-07-15,5.54966,6.40182,0.852155,6.042049,0.165718
2025-07-16,5.03556,6.033999,0.99844,5.539869,0.233393
2025-07-18,4.28343,4.92946,0.646031,4.6338,0.127396
2025-07-19,4.451189,5.142759,0.69157,4.817039,0.14828
2025-07-20,4.3495,4.841639,0.492137,4.65737,0.089775
2025-07-21,4.90745,5.576759,0.669301,5.28833,0.145803
2025-07-22,4.49653,5.391439,0.894909,4.92241,0.237388
2025-07-23,4.821829,5.28311,0.461275,5.14231,0.079414
2025-07-25,6.60686,7.417809,0.810948,6.989719,0.166666
2025-07-26,5.57936,6.49345,0.914093,6.122739,0.165684
2025-07-28,5.149899,6.07909,0.929192,5.640369,0.210517
2025-07-29,6.06782,6.88416,0.816339,6.53021,0.167141
2025-07-30,5.752429,6.379,0.626568,6.150239,0.106158
2025-07-31,4.906489,5.91974,1.013249,5.38884,0.237544
2025-08-01,4.473149,5.355969,0.882827,4.911009,0.199147
2025-08-02,4.715459,5.529379,0.813921,5.18231,0.157367
2025-08-03,5.116169,6.211919,1.095749,5.64683,0.247886
2025-08-04,4.87188,5.70374,0.831862,5.30986,0.171406
2025-08-05,4.847789,5.738379,0.89059,5.342629,0.17987
2025-08-06,4.506209,5.36414,0.85793,4.98648,0.152902
2025-08-07,4.511889,5.215159,0.703274,4.921669,0.123131
2025-08-08,4.552919,5.181419,0.628504,4.9675,0.103477
2025-08-09,4.749939,5.598529,0.848591,5.27219,0.149566
2025-08-10,4.86943,5.752099,0.882676,5.369309,0.164819
2025-08-11,4.8376,5.59867,0.761074,5.26865,0.157203
2025-08-12,5.161389,5.48599,0.3246,5.282849,0.07079
2025-08-13,4.92455,5.77777,0.853223,5.39994,0.186085
2025-08-18,4.229589,4.87121,0.641622,4.628479,0.123303
2025-08-19,4.627099,5.346149,0.719053,5.045899,0.146878
2025-08-20,4.60643,5.279799,0.673363,5.01873,0.129941
2025-08-21,4.420959,5.041999,0.621033,4.794099,0.120201
2025-08-22,4.24762,4.973499,0.725883,4.647339,0.141239
2025-08-23,4.10547,4.97872,0.873248,4.551869,0.190778
2025-08-24,4.21771,4.7782,0.560491,4.549079,0.103437
2025-08-25,4.24163,4.853869,0.612239,4.59313,0.122068
2025-08-26,4.60183,5.35865,0.756819,5.0155,0.158518
2025-08-28,4.11041,4.563769,0.453364,4.406569,0.085481
2025-08-29,3.71665,4.20933,0.492677,4.03657,0.093591
2025-08-30,3.447099,3.98846,0.541359,3.750489,0.106802
2025-08-31,3.556659,3.8633,0.306641,3.764149,0.053648
2025-09-01,3.77585,4.24653,0.470681,4.05309,0.101632
2025-09-02,3.119119,3.544579,0.425457,3.35906,0.091137
2025-09-03,3.703409,4.203649,0.500248,4.00331,0.100155
2025-09-04,3.872009,4.38562,0.513602,4.14717,0.118928
2025-09-05,4.05003,4.61597,0.565936,4.384309,0.10828
2025-09-06,3.694309,4.224359,0.530055,3.972249,0.105429
2025-09-07,2.83768,3.279609,0.441927,3.000829,0.086498
2025-09-08,4.207729,4.71423,0.5065,4.475289,0.111745
2025-09-09,3.59187,4.08184,0.489975,3.853319,0.103063
2025-09-11,3.464319,3.97965,0.515329,3.76412,0.108562
2025-09-13,3.65432,4.17292,0.518602,3.96736,0.102641
2025-09-14,3.4235,4.02496,0.601456,3.728509,0.137725
2025-09-15,3.877389,4.69069,0.813308,4.268569,0.190106
2025-09-16,3.59341,4.1546,0.561197,3.94822,0.099652
2025-09-17,3.85942,4.592669,0.733249,4.27077,0.121317
2025-09-18,2.908329,3.15403,0.245701,3.06256,0.050583
2025-09-19,3.000439,3.30849,0.308052,3.14557,0.050906
2025-09-20,2.666539,3.355469,0.688925,2.97322,0.174573
