date,minimum,maximum,range,mean,std
2025-04-23,4.182909,4.556879,0.37397,4.39227,0.099639
2025-04-24,4.606669,5.053329,0.44666,4.78655,0.090492
2025-04-25,3.18434,3.583889,0.399549,3.369349,0.088364
2025-04-26,4.37856,4.60397,0.225413,4.50852,0.056258
2025-04-27,4.67736,5.03386,0.356496,4.833829,0.076347
2025-04-28,4.743979,5.19082,0.446835,4.97384,0.092562
2025-04-29,2.782599,3.12506,0.342458,2.932389,0.069329
2025-04-30,2.53783,2.94739,0.409561,2.77531,0.099384
2025-05-01,3.56974,3.845989,0.276248,3.725559,0.06638
2025-05-02,2.83645,2.91423,0.077779,2.863739,0.012758
2025-05-05,2.743789,3.145179,0.401394,2.92439,0.082795
2025-05-07,3.070879,3.48214,0.411256,3.21684,0.085228
2025-05-10,3.513119,3.989429,0.476305,3.75445,0.101306
2025-05-14,3.714859,4.02894,0.314079,3.86139,0.057808
2025-05-15,4.324619,4.62367,0.29905,4.42602,0.056947
2025-05-16,4.5934,5.159719,0.566322,4.81372,0.114715
2025-05-17,4.87684,5.33609,0.459248,5.036159,0.090813
2025-05-18,3.043339,3.336009,0.292676,3.2179,0.080551
2025-05-19,4.011429,4.513319,0.501888,4.24801,0.105282
2025-05-20,4.52567,4.86391,0.338239,4.65461,0.067021
2025-05-21,4.585559,5.114099,0.528545,4.822929,0.112218
2025-05-22,5.158279,5.596049,0.437768,5.33921,0.093188
2025-05-23,5.394629,5.944039,0.549408,5.602519,0.106284
2025-05-24,5.48842,6.14719,0.658766,5.714489,0.129477
2025-05-25,4.939839,5.37798,0.43814,5.10299,0.0848
2025-05-26,4.749869,5.27682,0.526951,4.9523,0.098411
2025-05-27,5.24557,5.780429,0.534852,5.418089,0.103284
2025-05-28,5.55002,6.236989,0.686977,5.77926,0.131283
2025-05-29,5.92072,6.86141,0.940689,6.231319,0.182927
2025-05-30,5.68859,6.520279,0.831679,5.938059,0.164493
2025-05-31,5.49735,6.39754,0.900186,5.823379,0.178374
2025-06-01,4.563779,5.230939,0.667154,4.8769,0.153789
2025-06-02,4.3782,4.910669,0.53246,4.604959,0.107781
2025-06-03,4.008969,4.32601,0.317041,4.16364,0.069263
2025-07-06,5.74736,6.53484,0.787473,6.0703,0.160192
2025-07-07,5.454259,6.166289,0.712029,5.76977,0.160779
2025-07-08,6.083749,7.15348,1.06973,6.46528,0.209938
2025-07-09,5.30552,5.732689,0.427163,5.486909,0.086833
2025-07-10,4.02356,4.73928,0.715719,4.42311,0.165731
2025-07-11,2.79846,2.99458,0.196121,2.87048,0.050801
2025-07-12,3.979259,4.63313,0.65386,4.294889,0.160281
2025-07-13,4.61042,5.110089,0.499671,4.82727,0.107959
2025-07-14,5.638339,6.26055,0.622209,5.904689,0.13368
2025-07-15,6.1434,7.049429,0.906026,6.4808,0.188858
2025-07-16,5.708909,6.765409,1.056499,6.127729,0.227706
2025-07-18,4.77464,5.42773,0.653087,5.004409,0.133879
2025-07-19,4.85398,5.3526,0.498618,5.111609,0.12876
2025-07-20,4.703209,5.21771,0.514504,4.88775,0.104377
2025-07-21,5.35466,5.993169,0.6385,5.628489,0.142017
2025-07-22,5.12692,5.94878,0.821865,5.47768,0.179042
2025-07-23,5.170559,5.65528,0.484721,5.32705,0.093658
2025-07-25,6.715199,7.73457,1.019369,7.287879,0.240776
2025-07-26,6.257969,7.237289,0.979313,6.59632,0.198324
2025-07-28,5.893949,6.709609,0.815658,6.20063,0.165409
2025-07-29,6.68128,7.479969,0.79869,6.97438,0.162468
