date,minimum,maximum,range,mean,std
2025-04-23,3.8134,4.200009,0.386613,4.08542,0.084981
2025-04-24,3.92981,4.84805,0.918245,4.451039,0.209733
2025-04-25,2.799959,3.2223,0.422338,3.075799,0.10395
2025-04-26,3.991019,4.419839,0.42882,4.277679,0.100616
2025-04-27,4.34458,4.682219,0.337633,4.579599,0.07765
2025-04-28,4.69769,4.8424,0.144709,4.79249,0.026653
2025-04-29,2.61554,2.94647,0.330926,2.824719,0.082403
2025-04-30,2.493659,2.815999,0.322344,2.63998,0.07404
2025-05-01,3.403769,3.608069,0.204303,3.54798,0.042324
2025-05-02,2.71251,2.856659,0.144148,2.802239,0.030419
2025-05-05,2.584949,2.7787,0.193748,2.70777,0.039372
2025-05-07,2.752769,3.072109,0.319341,2.977109,0.07684
2025-05-10,3.38591,3.585959,0.200056,3.50675,0.036439
2025-05-14,3.531039,3.776799,0.24575,3.696549,0.051492
2025-05-15,3.942709,4.35576,0.413047,4.215529,0.101829
2025-05-16,4.00528,4.8501,0.844821,4.52856,0.204505
2025-05-17,4.27296,5.01938,0.74642,4.75565,0.179318
2025-05-18,2.91733,3.08096,0.163638,3.020669,0.030661
2025-05-19,3.777499,4.055669,0.278178,3.957989,0.055074
2025-05-20,4.018959,4.56225,0.54329,4.39339,0.135497
2025-05-21,3.93997,4.96739,1.02742,4.515319,0.244881
2025-05-22,4.553629,5.432839,0.879211,5.073669,0.207368
2025-05-23,4.714149,5.441009,0.726867,5.208759,0.176588
2025-05-24,4.70028,5.673679,0.973405,5.316609,0.233125
2025-05-25,4.30176,5.04114,0.739378,4.78163,0.180014
2025-05-26,4.115829,4.844359,0.728528,4.56815,0.173815
2025-05-27,4.572959,5.29367,0.720709,5.058919,0.176578
2025-05-28,4.780419,5.612639,0.832224,5.33325,0.201252
2025-05-29,5.0868,6.073369,0.986575,5.74059,0.242685
2025-05-30,4.84742,5.747489,0.900063,5.453549,0.221029
2025-05-31,4.64327,5.702579,1.059309,5.282949,0.246546
2025-06-01,3.984899,4.56966,0.584756,4.381539,0.137858
2025-06-02,3.798929,4.54121,0.74228,4.244709,0.175586
2025-06-03,3.70824,4.03267,0.32444,3.936549,0.071756
2025-07-06,4.911019,5.894899,0.983877,5.53933,0.236247
2025-07-07,4.76444,5.46327,0.698825,5.250579,0.167016
2025-07-08,5.268549,6.34836,1.07981,5.940289,0.254489
2025-07-09,4.84246,5.521979,0.679513,5.26411,0.156868
2025-07-10,3.857059,4.172319,0.315257,4.031589,0.060155
2025-07-11,2.64503,3.02202,0.376985,2.848409,0.085549
2025-07-12,3.670219,4.705989,1.03577,4.211009,0.248899
2025-07-13,4.053689,4.652669,0.598982,4.46708,0.144603
2025-07-14,5.024459,5.67421,0.649751,5.46889,0.157536
2025-07-15,5.38975,6.141369,0.751623,5.91406,0.178119
2025-07-16,4.893869,5.707509,0.813642,5.454679,0.194432
2025-07-18,4.170239,4.836979,0.666746,4.621019,0.160724
2025-07-19,4.343029,4.860489,0.517462,4.70837,0.119516
2025-07-20,4.244239,4.702129,0.457884,4.569849,0.108474
2025-07-21,4.79147,5.356319,0.564849,5.186679,0.132493
2025-07-22,4.395349,5.161769,0.76642,4.91587,0.186204
2025-07-23,4.69994,5.19282,0.492873,5.039319,0.116777
2025-07-25,6.500349,6.914549,0.414195,6.721879,0.07936
2025-07-26,5.395659,6.285019,0.889362,6.00986,0.213295
2025-07-28,5.000579,6.032889,1.03231,5.6717,0.247358
2025-07-29,5.920909,6.7133,0.792387,6.471199,0.190899
2025-07-30,5.610469,6.20121,0.590744,6.02298,0.140448
2025-07-31,4.77213,5.93787,1.16575,5.501049,0.280831
2025-08-01,4.347789,5.070479,0.722684,4.837379,0.166056
2025-08-02,4.56116,5.44388,0.882716,5.144149,0.210952
2025-08-03,4.96251,5.978069,1.01556,5.64864,0.247511
2025-08-04,4.728409,5.79123,1.062819,5.39264,0.253073
2025-08-05,4.690139,5.572169,0.882025,5.287519,0.213248
2025-08-06,4.3354,5.55168,1.216279,5.053219,0.283924
2025-08-07,4.3678,5.24876,0.880964,4.906889,0.206556
2025-08-08,4.392189,5.26485,0.872658,4.92523,0.20174
2025-08-09,4.56607,5.63905,1.07298,5.233469,0.250688
2025-08-10,4.69915,5.821869,1.12272,5.37958,0.263123
2025-08-11,4.6988,5.57622,0.87742,5.26201,0.208217
2025-08-12,5.0619,5.19842,0.136527,5.124489,0.028022
2025-08-13,4.78282,5.4201,0.637278,5.20892,0.134663
2025-08-18,4.093929,4.541719,0.447789,4.365699,0.083372
2025-08-19,4.49173,5.278779,0.787055,4.997739,0.185103
2025-08-20,4.46996,5.08677,0.61681,4.90172,0.146797
2025-08-21,4.297619,4.90875,0.611136,4.70793,0.143891
2025-08-22,4.114449,5.05385,0.939396,4.673709,0.218572
2025-08-23,3.96898,4.95718,0.988206,4.572279,0.233218
