date,minimum,maximum,range,mean,std
2025-04-23,4.388209,4.992249,0.604039,4.6539,0.13623
2025-04-24,4.522399,5.183249,0.660848,4.82668,0.137998
2025-04-25,3.126369,3.881819,0.755452,3.543689,0.166865
2025-04-26,4.425499,5.08823,0.662734,4.75116,0.154388
2025-04-27,4.758769,5.25256,0.493786,4.96539,0.104602
2025-04-28,4.83365,5.38427,0.550624,5.030729,0.099897
2025-04-29,2.70177,2.88418,0.182404,2.748349,0.031177
2025-04-30,2.878309,3.457969,0.579653,3.142359,0.121991
2025-05-01,3.685679,4.419499,0.733825,3.97179,0.160503
2025-05-02,2.84939,3.022229,0.172833,2.91663,0.035173
2025-05-05,2.80255,3.3099,0.50735,3.036619,0.110238
2025-05-07,3.017889,3.47141,0.453525,3.23107,0.091178
2025-05-10,3.682029,4.286489,0.604454,3.93511,0.131045
2025-05-14,3.80655,4.28443,0.477878,3.997839,0.109136
2025-05-15,4.28844,4.900139,0.611696,4.5439,0.134898
2025-05-16,4.469789,5.228919,0.759126,4.76767,0.148605
2025-05-17,4.80483,5.494589,0.689761,5.044419,0.135695
2025-05-18,3.238719,4.08617,0.847455,3.55989,0.185321
2025-05-19,4.19108,4.98929,0.79821,4.4832,0.17112
2025-05-20,4.47138,5.26241,0.791031,4.82561,0.172783
2025-05-21,4.404109,5.303579,0.899469,4.839079,0.186535
2025-05-22,5.059539,5.74654,0.687007,5.35584,0.146017
2025-05-23,5.37086,6.22618,0.855319,5.748779,0.180154
2025-05-24,5.36877,6.267059,0.898286,5.71742,0.176814
2025-05-25,4.84623,5.713829,0.8676,5.23149,0.180323
2025-05-26,4.71776,5.62447,0.906706,5.117939,0.190797
2025-05-27,5.18274,5.92068,0.737936,5.484399,0.152565
2025-05-28,5.49621,6.31891,0.8227,5.81824,0.160848
2025-05-29,5.75113,6.498829,0.747695,6.061729,0.136581
2025-05-30,5.553619,6.3663,0.812677,5.873219,0.155983
2025-05-31,5.35796,6.42879,1.070829,5.764609,0.199296
2025-06-01,4.673329,5.91443,1.241109,5.210649,0.265812
2025-06-02,4.23221,5.126339,0.894129,4.67212,0.183749
2025-06-03,4.12256,4.738599,0.616042,4.370279,0.136902
2025-07-06,5.540229,6.48212,0.941887,6.04438,0.190484
2025-07-07,5.460929,6.255519,0.794598,5.86662,0.165784
2025-07-08,5.820089,6.31018,0.490087,5.95929,0.095315
2025-07-09,4.883719,5.409279,0.525568,5.167059,0.1079
2025-07-10,4.36728,4.76624,0.398963,4.56548,0.085494
2025-07-11,2.76606,2.81992,0.05386,2.78464,0.012545
2025-07-12,3.739099,4.127309,0.388204,3.91891,0.067869
2025-07-13,4.51204,5.06638,0.554337,4.794539,0.107789
2025-07-14,5.56442,6.313459,0.749044,5.951499,0.154376
2025-07-15,6.10471,6.60366,0.498943,6.37995,0.1057
2025-07-16,5.63244,6.4601,0.82766,6.10154,0.173133
2025-07-18,4.61595,4.97345,0.357499,4.786479,0.064623
2025-07-19,4.94891,5.76417,0.815258,5.34517,0.17482
2025-07-20,4.701179,5.005849,0.30467,4.84146,0.063792
2025-07-21,5.383349,6.03698,0.653635,5.7034,0.134873
2025-07-22,5.01587,5.983109,0.967235,5.532519,0.19903
2025-07-23,5.17523,5.452229,0.277007,5.24792,0.060532
2025-07-25,7.179369,8.573519,1.39415,7.757369,0.298709
2025-07-26,6.14097,6.58853,0.447557,6.37613,0.090434
2025-07-28,5.66268,6.451519,0.788842,6.09279,0.159958
2025-07-29,6.590169,7.38885,0.798684,6.930439,0.152839
2025-07-30,6.164289,6.42002,0.25573,6.259399,0.045729
