date,minimum,maximum,range,mean,std
2025-04-23,4.528659,5.111899,0.58324,4.793139,0.144933
2025-04-24,4.939839,5.597519,0.657675,5.234399,0.163227
2025-04-25,3.78274,4.07249,0.289748,3.976059,0.054156
2025-04-26,4.83686,5.052949,0.216091,4.95446,0.051776
2025-04-27,5.069019,5.873149,0.804125,5.44678,0.192516
2025-04-28,5.062779,5.160769,0.097997,5.11807,0.017469
2025-04-29,3.793339,4.630509,0.837166,4.21785,0.183163
2025-04-30,1.45237,1.59955,0.147185,1.534819,0.027255
2025-05-01,3.73527,3.94143,0.206162,3.830049,0.05603
2025-05-02,1.908429,2.450979,0.542545,2.188469,0.119462
2025-05-05,2.763149,3.21039,0.447232,3.01694,0.100489
2025-05-07,3.864979,4.023129,0.158147,3.97126,0.033003
2025-05-10,3.20793,3.650549,0.44262,3.433949,0.100645
2025-05-14,4.509819,4.615809,0.10599,4.58017,0.017036
2025-05-15,4.97935,5.61385,0.634491,5.2964,0.155385
2025-05-16,4.77604,4.961929,0.185889,4.837669,0.038953
2025-05-17,5.290929,5.45896,0.168027,5.36414,0.033094
2025-05-18,3.93212,4.469739,0.537615,4.20804,0.094486
2025-05-19,3.94952,4.17777,0.228256,4.05455,0.045086
2025-05-20,5.091929,5.314549,0.222627,5.18373,0.041453
2025-05-21,5.29892,5.564529,0.26561,5.416719,0.046224
2025-05-22,5.412749,5.59252,0.179766,5.483039,0.031877
2025-05-23,6.140049,6.44032,0.300269,6.277939,0.055143
2025-05-24,5.768599,5.99406,0.225457,5.89082,0.050527
2025-05-25,5.65149,5.97653,0.325042,5.825029,0.063412
2025-05-26,5.61236,5.97193,0.35958,5.78878,0.057888
2025-05-27,5.7269,6.05409,0.327196,5.902239,0.081451
2025-05-28,5.83427,6.151629,0.317351,6.00466,0.071771
2025-05-29,6.452919,6.75713,0.304208,6.611959,0.068553
2025-05-30,5.854849,6.252789,0.397942,6.04752,0.08787
2025-05-31,6.34777,6.790959,0.443186,6.556,0.082534
2025-06-01,5.22688,5.841629,0.614742,5.476059,0.103574
2025-06-02,5.39261,5.835879,0.443273,5.61419,0.071792
2025-06-03,3.84659,4.18828,0.341695,4.024519,0.082617
2025-07-06,7.087679,7.43331,0.345631,7.272469,0.052383
2025-07-07,6.709919,7.08125,0.371331,6.924799,0.065207
2025-07-08,7.314889,7.68224,0.367345,7.49126,0.076636
2025-07-09,6.655509,6.96395,0.308432,6.854149,0.056164
2025-07-10,5.655389,6.24228,0.586884,6.02951,0.106831
2025-07-11,3.02268,3.15349,0.130811,3.113569,0.027863
2025-07-12,4.7237,5.05099,0.327288,4.884779,0.079327
2025-07-13,6.103419,6.405029,0.301609,6.255119,0.057579
2025-07-14,6.506869,6.81511,0.308246,6.691009,0.058335
2025-07-15,6.71389,6.967269,0.253381,6.853059,0.062194
2025-07-16,7.26105,7.723279,0.462224,7.567709,0.081171
2025-07-18,6.209149,6.68121,0.472063,6.453559,0.083967
2025-07-19,6.02355,6.560349,0.536795,6.30099,0.089263
2025-07-20,5.25436,5.51968,0.26532,5.41826,0.060811
2025-07-21,6.255539,6.569159,0.313616,6.410079,0.053139
2025-07-22,6.56959,7.122419,0.552833,6.915019,0.106652
2025-07-23,5.81777,6.066899,0.249129,5.98036,0.053562
2025-07-25,7.71917,8.183059,0.46389,7.96456,0.094627
2025-07-26,7.3157,7.470449,0.154752,7.395319,0.031592
2025-07-28,6.884399,7.250949,0.366555,7.0636,0.08415
