date,minimum,maximum,range,mean,std
2025-04-23,4.37015,4.8309,0.460752,4.609059,0.096361
2025-04-24,4.693429,5.258419,0.564987,4.979189,0.11807
2025-04-25,3.65274,4.03055,0.37781,3.87434,0.089631
2025-04-26,4.735579,5.016339,0.280764,4.898099,0.066461
2025-04-27,4.862959,5.47758,0.614615,5.15597,0.12484
2025-04-28,5.11168,5.153619,0.041933,5.13421,0.011553
2025-04-29,3.632369,4.15323,0.520865,3.80064,0.103903
2025-04-30,1.5786,1.67165,0.093047,1.637949,0.023454
2025-05-01,3.657939,3.870179,0.21224,3.7936,0.050939
2025-05-02,2.23018,2.56081,0.330628,2.4595,0.063953
2025-05-05,2.990089,3.246459,0.25637,3.105299,0.059618
2025-05-07,3.77145,3.95601,0.184568,3.871119,0.037911
2025-05-10,3.439009,3.686039,0.247031,3.611989,0.048985
2025-05-14,4.59314,4.67176,0.078619,4.622129,0.01606
2025-05-15,4.913529,5.36032,0.446785,5.137819,0.10102
2025-05-16,4.632569,4.85575,0.223186,4.778059,0.052036
2025-05-17,5.370629,5.51968,0.149056,5.448639,0.034977
2025-05-18,4.032279,4.548279,0.515995,4.283899,0.12151
2025-05-19,4.028299,4.28833,0.26003,4.171929,0.062534
2025-05-20,5.03036,5.37151,0.341143,5.21638,0.078619
2025-05-21,5.29571,5.618289,0.322575,5.47439,0.075342
2025-05-22,5.34252,5.62153,0.279013,5.496779,0.065232
2025-05-23,6.16551,6.49207,0.326561,6.329639,0.075953
2025-05-24,5.47132,5.93013,0.458806,5.75402,0.108254
2025-05-25,5.40113,5.975289,0.574154,5.737999,0.134371
2025-05-26,5.51972,6.004189,0.484468,5.795639,0.113321
2025-05-27,5.285999,6.03197,0.74597,5.719079,0.175184
2025-05-28,5.40247,6.069739,0.66727,5.837749,0.158126
2025-05-29,6.077189,6.666269,0.589083,6.456349,0.140102
2025-05-30,5.355919,6.26828,0.912356,5.90388,0.213909
2025-05-31,6.025979,6.819119,0.793138,6.4916,0.186316
2025-06-01,5.1975,5.931809,0.734313,5.60229,0.171286
2025-06-02,5.3333,5.83435,0.501048,5.60397,0.117149
2025-06-03,4.03023,4.268139,0.237909,4.17423,0.05098
2025-07-06,7.15775,7.420129,0.262378,7.28376,0.064406
2025-07-07,6.68971,7.081449,0.391737,6.90668,0.093309
2025-07-08,7.10262,7.422619,0.320003,7.287549,0.080092
2025-07-09,6.79849,6.923679,0.125194,6.84663,0.030217
2025-07-10,5.7649,6.25537,0.490471,6.01124,0.113838
2025-07-11,3.13663,3.439019,0.302394,3.266149,0.070035
2025-07-12,4.482069,4.851709,0.369641,4.672339,0.089561
2025-07-13,6.36393,6.4656,0.101677,6.39899,0.021289
2025-07-14,6.415699,6.826479,0.41078,6.64413,0.096258
2025-07-15,6.420849,6.98882,0.567966,6.754779,0.132088
2025-07-16,7.341819,7.73,0.388186,7.54747,0.090742
2025-07-18,6.45306,6.720719,0.267663,6.554649,0.065546
2025-07-19,6.2013,6.637919,0.436619,6.40703,0.103432
2025-07-20,5.25361,5.52117,0.26756,5.389619,0.062566
2025-07-21,6.281479,6.607299,0.325818,6.456069,0.075527
2025-07-22,6.870299,7.229259,0.35896,7.05985,0.088368
2025-07-23,5.632679,5.9794,0.34672,5.81005,0.089316
2025-07-25,8.161029,8.3217,0.160668,8.252229,0.03554
2025-07-26,7.332109,7.48607,0.153954,7.438189,0.029886
2025-07-28,6.75641,6.93125,0.174842,6.844329,0.028741
2025-07-29,8.067629,8.19871,0.131071,8.120309,0.0293
2025-07-30,6.87796,7.08499,0.207028,6.998839,0.051508
2025-07-31,6.508709,6.966959,0.458252,6.76731,0.107927
