date,minimum,maximum,range,mean,std
2025-07-12,4.23528,4.783279,0.548004,4.491099,0.121675
2025-07-13,5.67951,6.399909,0.720396,6.038599,0.163834
2025-07-14,6.337769,6.58898,0.251215,6.428919,0.044117
2025-07-15,6.357739,6.818339,0.460606,6.637,0.079712
2025-07-16,6.89129,7.42143,0.53014,7.159019,0.110564
2025-07-18,5.68974,6.414869,0.725127,6.071909,0.179131
2025-07-19,5.715499,6.17219,0.456685,5.966159,0.109557
2025-07-20,4.92285,5.289929,0.367083,5.066629,0.085898
2025-04-23,4.308889,4.620419,0.311531,4.49937,0.062194
2025-04-24,4.61977,4.961309,0.341533,4.83366,0.056172
2025-04-25,3.526839,3.81433,0.287485,3.638989,0.052475
2025-04-26,4.69319,4.860249,0.167058,4.770259,0.033834
2025-04-27,4.781849,5.1071,0.325251,4.96713,0.052214
2025-04-28,5.14369,5.25643,0.11274,5.182569,0.02222
2025-04-29,2.91945,3.84431,0.924863,3.44986,0.234007
2025-04-30,1.57323,2.050869,0.477645,1.7071,0.084367
2025-05-01,3.62296,3.8536,0.230642,3.74143,0.041517
2025-05-02,2.41277,2.81695,0.404186,2.61431,0.097893
2025-05-05,2.918309,3.113539,0.195232,2.993469,0.039966
2025-05-07,3.538959,3.872829,0.333869,3.732029,0.070779
2025-05-10,3.61591,4.22029,0.604373,3.8224,0.140171
2025-05-14,4.095389,4.61032,0.514934,4.367939,0.137192
2025-05-15,4.71327,5.01907,0.305804,4.87095,0.053509
2025-05-16,4.59915,4.999859,0.400703,4.8228,0.075529
2025-05-17,5.233429,5.407559,0.174127,5.33077,0.035091
2025-05-18,3.695519,4.16473,0.469208,3.90275,0.102861
2025-05-19,3.98456,4.328989,0.344435,4.116559,0.084684
2025-05-20,4.99799,5.31365,0.315659,5.091899,0.057817
2025-05-21,5.18943,5.479479,0.290053,5.293149,0.065232
2025-05-22,5.31011,5.46996,0.159842,5.380579,0.021787
2025-05-23,6.003159,6.22439,0.22123,6.1146,0.04966
2025-05-24,5.41125,5.87793,0.466681,5.70164,0.081526
2025-05-25,5.32946,5.86909,0.539633,5.58151,0.090497
2025-05-26,5.438099,5.843589,0.405483,5.561369,0.083587
2025-05-27,5.20304,5.973909,0.770865,5.648819,0.136703
2025-05-28,5.314559,6.20752,0.892952,5.854819,0.179245
2025-05-29,5.99299,6.58079,0.587808,6.390359,0.113977
2025-05-30,5.245289,6.122429,0.877142,5.802969,0.173733
2025-05-31,5.924069,6.5446,0.620527,6.24624,0.105856
2025-06-01,5.09495,5.83041,0.735459,5.30908,0.168935
2025-06-02,5.1717,5.55134,0.379642,5.31924,0.075485
2025-06-03,4.16441,4.33302,0.168612,4.24338,0.02365
2025-07-06,6.70557,7.16932,0.463753,6.95513,0.106333
2025-07-07,6.427979,6.78246,0.354476,6.61875,0.069881
2025-07-08,6.948649,7.34308,0.39443,7.102059,0.076073
2025-07-09,6.19883,6.780749,0.581911,6.57032,0.123934
2025-07-10,5.275209,5.829329,0.554122,5.58744,0.123842
2025-07-11,2.95741,3.132479,0.17507,3.045819,0.04234
