date,minimum,maximum,range,mean,std
2025-04-23,3.768889,3.82764,0.058743,3.788199,0.013139
2025-04-24,4.09064,4.187479,0.096843,4.12714,0.019558
2025-04-25,2.07971,2.870779,0.791078,2.440599,0.188648
2025-04-26,4.039979,4.365149,0.325176,4.15853,0.073852
2025-04-27,4.375289,4.751689,0.376399,4.529689,0.099251
2025-04-28,4.44879,4.913559,0.464769,4.738029,0.091838
2025-04-29,4.260809,4.4028,0.141991,4.35621,0.023937
2025-04-30,1.02566,1.09596,0.070295,1.06226,0.017265
2025-05-01,3.24634,3.476979,0.230638,3.364619,0.050593
2025-05-02,2.125699,2.33958,0.213877,2.24269,0.051518
2025-05-05,2.78449,3.109319,0.324838,2.95092,0.070807
2025-05-07,3.855799,4.270599,0.414797,4.043889,0.098434
2025-05-10,2.01813,2.3784,0.360273,2.2581,0.065506
2025-05-14,2.96336,3.104929,0.141571,3.03339,0.026945
2025-05-15,3.73182,3.92986,0.198041,3.818989,0.047063
2025-05-16,4.465449,4.86312,0.397668,4.60499,0.098064
2025-05-17,4.128379,4.532609,0.404224,4.29115,0.101829
2025-05-18,2.63081,2.967299,0.33649,2.75021,0.087113
2025-05-19,2.55147,3.14982,0.598353,2.823899,0.14759
2025-05-20,4.000879,4.141779,0.140898,4.037869,0.02962
2025-05-21,4.14586,4.45296,0.307105,4.287149,0.070116
2025-05-22,4.24029,4.45128,0.210987,4.340089,0.049265
2025-05-23,4.809979,5.052309,0.242323,4.934189,0.045793
2025-05-24,4.7266,4.945069,0.218464,4.83297,0.03388
2025-05-25,4.40841,4.69145,0.283042,4.519949,0.053454
2025-05-26,4.224619,4.423759,0.199137,4.28385,0.046302
2025-05-27,4.864369,5.111589,0.247225,4.969039,0.042201
2025-05-28,5.052869,5.290939,0.238069,5.15914,0.04386
2025-05-29,5.11703,5.43587,0.318838,5.33428,0.061911
2025-05-30,4.868909,5.20893,0.340014,5.008059,0.075076
2025-05-31,4.814799,5.08054,0.265738,4.93016,0.050609
2025-06-01,3.60537,3.83692,0.231548,3.70158,0.047657
2025-06-02,4.51479,4.751949,0.23716,4.60444,0.059712
2025-06-03,3.28763,3.498589,0.210963,3.376569,0.04362
2025-07-06,5.610859,6.18684,0.575977,5.806519,0.140408
2025-07-07,5.86288,6.30829,0.445416,6.011099,0.109911
2025-07-08,6.53173,7.450129,0.918398,6.89968,0.213161
2025-07-09,5.316359,5.844099,0.527733,5.5408,0.123267
2025-07-10,3.04935,4.86425,1.81491,4.00681,0.458315
2025-07-11,2.606029,3.078419,0.472389,2.876849,0.114748
2025-07-12,3.797919,4.469759,0.671844,4.02537,0.16041
2025-07-13,4.347229,4.83465,0.487419,4.510749,0.119861
2025-07-14,4.76549,5.35045,0.584963,5.01902,0.135322
2025-07-15,5.50176,5.916689,0.414927,5.762529,0.077382
2025-07-16,5.504799,6.221189,0.716389,5.754129,0.188685
2025-07-18,4.17034,4.797719,0.627385,4.44293,0.149417
2025-07-19,3.893359,4.582829,0.689472,4.14197,0.170228
2025-07-20,3.854729,4.040949,0.186228,3.947469,0.041583
2025-07-21,4.40949,4.783559,0.374071,4.550819,0.09142
2025-07-22,4.53237,4.95732,0.424946,4.701369,0.10976
2025-07-23,4.76244,5.41052,0.648087,5.031889,0.149729
2025-07-25,5.682809,6.511529,0.828723,6.107049,0.163334
2025-07-26,5.46489,6.08336,0.618474,5.881659,0.109485
2025-07-28,5.65208,5.96607,0.313988,5.764359,0.071537
2025-07-29,6.115079,7.07557,0.960493,6.49938,0.211779
2025-07-30,5.616549,6.25282,0.636274,5.958869,0.117785
2025-07-31,5.337649,5.8558,0.518144,5.598199,0.098895
