date,minimum,maximum,range,mean,std
2025-04-23,3.746129,3.84464,0.098508,3.777019,0.018457
2025-04-24,4.12161,4.231619,0.110014,4.16474,0.019109
2025-04-25,2.11156,2.963119,0.851556,2.495349,0.214319
2025-04-26,4.05633,4.423789,0.367462,4.199659,0.08629
2025-04-27,4.344739,4.72403,0.379287,4.55342,0.087734
2025-04-28,4.66085,4.85895,0.198109,4.767509,0.041674
2025-04-29,4.36356,4.43546,0.071892,4.393469,0.013361
2025-04-30,1.00387,1.082669,0.078798,1.048539,0.015665
2025-05-01,3.31063,3.45947,0.148831,3.387739,0.028741
2025-05-02,2.16773,2.358439,0.190715,2.28705,0.04958
2025-05-05,2.709189,3.150609,0.441412,2.883739,0.109709
2025-05-07,3.90423,4.20896,0.304733,4.04324,0.067795
2025-05-10,2.24423,2.406219,0.161985,2.35103,0.034098
2025-05-14,2.961499,3.126859,0.165354,3.038739,0.039669
2025-05-15,3.71075,3.84331,0.132559,3.78797,0.025459
2025-05-16,4.476369,4.83302,0.356642,4.62295,0.08468
2025-05-17,4.163559,4.460939,0.297383,4.28345,0.070047
2025-05-18,2.647589,3.03028,0.38269,2.818069,0.09857
2025-05-19,2.57733,3.104569,0.527243,2.85555,0.116297
2025-05-20,4.00984,4.08265,0.072806,4.040209,0.01641
2025-05-21,4.151159,4.500989,0.349826,4.28724,0.083926
2025-05-22,4.26279,4.39554,0.132749,4.307469,0.028566
2025-05-23,4.92492,5.05097,0.126049,4.979599,0.02657
2025-05-24,4.836669,5.004069,0.167401,4.89716,0.035433
2025-05-25,4.514249,4.77323,0.258982,4.604599,0.05914
2025-05-26,4.19804,4.471189,0.273155,4.277979,0.060108
2025-05-27,4.951039,5.1883,0.237264,5.022039,0.047407
2025-05-28,5.16369,5.372819,0.209123,5.248909,0.044579
2025-05-29,5.39619,5.509059,0.112875,5.45207,0.01768
2025-05-30,4.971499,5.3312,0.359703,5.093039,0.068995
2025-05-31,4.944789,5.16625,0.221454,5.04851,0.048348
2025-06-01,3.58101,3.89736,0.316354,3.75706,0.078173
2025-06-02,4.49589,4.8042,0.308315,4.60302,0.070235
2025-06-03,3.17142,3.411099,0.23968,3.258069,0.060435
2025-07-06,5.71529,6.274539,0.559252,5.94035,0.148791
2025-07-07,5.914199,6.382959,0.468757,6.088119,0.117376
2025-07-08,6.60093,7.42002,0.819088,6.997479,0.191373
2025-07-09,5.624529,5.909039,0.284509,5.723849,0.075708
2025-07-10,3.243849,4.99585,1.751999,4.115849,0.439927
2025-07-11,2.517869,3.10557,0.587695,2.796279,0.157702
2025-07-12,3.80057,4.584209,0.783643,4.10937,0.198062
2025-07-13,4.488019,4.91014,0.422127,4.6774,0.10791
2025-07-14,4.84347,5.420989,0.577522,5.14118,0.144773
2025-07-15,5.835869,5.9632,0.127332,5.89306,0.029326
2025-07-16,5.68201,6.30734,0.625331,6.006149,0.17076
2025-07-18,4.241119,4.863299,0.622178,4.54394,0.155671
2025-07-19,4.02712,4.66229,0.635174,4.36279,0.159347
2025-07-20,4.00743,4.14052,0.133084,4.054299,0.026952
2025-07-21,4.547959,4.8596,0.311646,4.70628,0.077652
2025-07-22,4.63453,5.01139,0.376854,4.81717,0.098844
2025-07-23,4.838699,5.49063,0.651929,5.140999,0.165961
2025-07-25,5.98681,6.5436,0.556797,6.27298,0.136581
2025-07-26,5.96148,6.123109,0.161638,6.057789,0.034102
2025-07-28,5.728549,6.01161,0.28306,5.85655,0.076372
2025-07-29,6.24369,7.08859,0.844906,6.66575,0.196457
2025-07-30,5.964119,6.2936,0.329481,6.13605,0.081977
2025-07-31,5.62692,5.941679,0.314763,5.774099,0.080408
2025-08-01,5.30136,5.511909,0.210549,5.38422,0.052406
2025-08-02,5.462409,5.64097,0.178555,5.53125,0.045897
