date,minimum,maximum,range,mean,std
2025-04-23,3.542459,3.75685,0.214387,3.65966,0.058272
2025-04-24,3.547689,4.029709,0.482015,3.79022,0.140498
2025-04-25,2.07328,2.45567,0.382396,2.28408,0.111883
2025-04-26,3.846869,4.012269,0.165404,3.95002,0.039349
2025-04-27,4.73741,4.914869,0.177466,4.82663,0.03646
2025-04-28,4.823289,5.267459,0.444166,5.081729,0.109139
2025-04-29,4.148409,4.345799,0.19739,4.276979,0.04398
2025-04-30,1.121189,1.188869,0.067679,1.152699,0.016188
2025-05-01,3.470669,3.585269,0.114598,3.53674,0.022883
2025-05-02,2.39035,2.48125,0.0909,2.450089,0.016351
2025-05-05,2.673399,3.067909,0.394508,2.90469,0.105742
2025-05-07,4.10369,4.273149,0.16946,4.227359,0.034684
2025-05-10,2.519239,2.6888,0.169557,2.60922,0.038596
2025-05-14,3.048409,3.37628,0.327868,3.22772,0.095426
2025-05-15,3.635309,3.858959,0.223649,3.78361,0.056412
2025-05-16,4.51099,4.81393,0.302938,4.687749,0.071527
2025-05-17,4.26028,4.4681,0.207825,4.399919,0.042938
2025-05-18,2.46602,2.640769,0.17475,2.57873,0.031981
2025-05-19,3.22354,3.56343,0.339893,3.407239,0.096483
2025-05-20,3.674299,4.082419,0.40812,3.88032,0.102962
2025-05-21,3.76778,4.18196,0.414175,3.989599,0.103671
2025-05-22,4.240869,4.418029,0.17716,4.36393,0.03727
2025-05-23,4.414,4.962699,0.548699,4.72861,0.147567
2025-05-24,4.197229,4.851709,0.654483,4.54357,0.172887
2025-05-25,3.72718,4.48076,0.753574,4.11208,0.207029
2025-05-26,3.652329,4.15846,0.506133,3.935889,0.134828
2025-05-27,4.035039,4.851399,0.816358,4.47975,0.229273
2025-05-28,4.04157,5.0467,1.00513,4.57209,0.283414
2025-05-29,4.50668,5.31467,0.807987,4.96494,0.226412
2025-05-30,3.205869,4.75361,1.547729,3.983449,0.450428
2025-05-31,3.90207,4.77641,0.874338,4.37116,0.247447
2025-06-01,3.266289,3.50931,0.24302,3.43961,0.061446
2025-06-02,3.76373,4.389659,0.62593,4.12542,0.172964
2025-06-03,3.21122,3.551259,0.340045,3.41523,0.090285
2025-07-06,4.4948,5.45331,0.958518,5.04011,0.272776
2025-07-07,4.63598,5.64905,1.013069,5.20591,0.281742
2025-07-08,6.481219,7.26552,0.784301,6.948989,0.18401
2025-07-09,3.46338,5.19874,1.73535,4.38665,0.507341
2025-07-10,2.729949,3.16469,0.434738,2.947419,0.105244
2025-07-11,2.25796,2.667,0.409034,2.52775,0.088013
2025-07-12,3.44542,3.657279,0.211859,3.592639,0.046691
2025-07-13,3.604229,4.33505,0.730822,4.020689,0.207129
2025-07-14,4.262619,4.86134,0.598725,4.596149,0.148638
2025-07-15,4.885519,5.669119,0.783596,5.34846,0.204588
2025-07-16,4.28984,5.4168,1.12696,4.898769,0.324416
2025-07-18,3.677309,4.15629,0.478987,3.964289,0.128535
2025-07-19,3.59558,4.08542,0.489838,3.84972,0.119603
2025-07-20,3.292799,3.942919,0.650117,3.673369,0.182657
2025-07-21,3.84173,4.479129,0.637399,4.20274,0.172896
2025-07-22,3.603909,4.47339,0.869475,4.09902,0.24665
2025-07-23,4.362339,4.821869,0.459524,4.63745,0.113181
2025-07-25,5.822549,6.449999,0.627449,6.17988,0.155132
2025-07-26,5.221899,5.95966,0.737761,5.6665,0.186379
2025-07-28,4.778659,5.508029,0.729364,5.20441,0.189455
2025-07-29,6.100389,6.879499,0.779109,6.517869,0.178917
2025-07-30,5.50708,6.174459,0.667384,5.929659,0.16585
2025-07-31,5.17526,5.52675,0.351491,5.428939,0.086787
2025-08-01,4.128479,5.071929,0.943457,4.64398,0.264416
2025-08-02,4.02144,5.163559,1.142109,4.609069,0.331867
2025-08-03,4.81608,5.847169,1.03109,5.363959,0.275094
2025-08-04,4.45506,5.297399,0.842338,4.92074,0.237902
2025-08-05,4.838709,5.342569,0.503854,5.13881,0.122235
2025-08-06,4.053269,5.02219,0.968926,4.56052,0.28093
2025-08-07,2.552599,4.4519,1.899299,3.4958,0.558552
2025-08-08,3.202389,4.54825,1.34586,3.876679,0.404015
2025-08-09,3.808979,4.86074,1.051759,4.35369,0.312925
2025-08-10,4.314839,5.27788,0.963042,4.82283,0.275617
2025-08-11,3.757139,4.550149,0.793009,4.18758,0.229825
2025-08-12,2.354229,3.60506,1.25083,2.94935,0.345223
2025-08-13,3.89632,4.72274,0.826426,4.339839,0.241881
2025-08-18,3.75932,4.266419,0.507099,4.03692,0.140733
2025-08-19,3.7583,4.21428,0.455978,3.991709,0.117614
2025-08-20,3.903609,4.284279,0.380672,4.10085,0.097658
2025-08-21,3.764529,4.09006,0.325529,3.961119,0.088554
2025-08-22,4.211959,4.801459,0.589501,4.53864,0.151586
2025-08-23,3.698729,4.515739,0.817008,4.134459,0.231345
