date,minimum,maximum,range,mean,std
2025-04-23,3.505889,3.855639,0.349748,3.68614,0.083463
2025-04-24,3.50306,3.73861,0.235551,3.63296,0.051085
2025-04-25,2.419759,2.88909,0.469327,2.612529,0.12635
2025-04-26,3.798949,4.35675,0.557796,4.073989,0.135266
2025-04-27,4.74828,5.861499,1.113219,5.24103,0.285039
2025-04-28,5.09634,6.40395,1.30761,5.673369,0.337945
2025-04-29,4.0735,5.00077,0.927268,4.51902,0.226913
2025-04-30,1.12528,1.54198,0.416691,1.31156,0.106229
2025-05-01,3.47722,4.07458,0.59736,3.753269,0.149908
2025-05-02,2.338229,3.08854,0.750317,2.687099,0.188537
2025-05-05,2.932549,3.76482,0.832273,3.32117,0.209066
2025-05-07,4.01345,5.200029,1.186579,4.57881,0.293184
2025-05-10,2.57101,3.413599,0.842586,2.944449,0.216176
2025-05-14,3.266829,4.104,0.837167,3.63839,0.215819
2025-05-15,3.569629,4.280849,0.711212,3.927789,0.171802
2025-05-16,4.42739,5.47543,1.04804,4.9215,0.258816
2025-05-17,4.173779,5.22591,1.052129,4.680039,0.258552
2025-05-18,2.545239,3.086489,0.541247,2.791359,0.136147
2025-05-19,3.50072,4.26583,0.765115,3.814759,0.205925
2025-05-20,3.609359,4.23436,0.625006,3.93051,0.149248
2025-05-21,3.69488,4.344039,0.64916,4.040329,0.154543
2025-05-22,4.15946,5.22554,1.066079,4.67349,0.262028
2025-05-23,4.307499,5.37586,1.068359,4.84595,0.256352
2025-05-24,4.09532,4.95556,0.860248,4.553899,0.204379
2025-05-25,3.6361,4.24651,0.610404,3.98762,0.145024
2025-05-26,3.563359,4.32947,0.766107,3.97385,0.18215
2025-05-27,3.919349,4.77641,0.857056,4.397089,0.202908
2025-05-28,3.919229,4.68126,0.762024,4.37226,0.182618
2025-05-29,4.369729,5.65771,1.287989,5.028989,0.308605
2025-05-30,3.070159,3.76727,0.697108,3.41507,0.142074
2025-05-31,3.783299,4.703229,0.919928,4.28703,0.216814
2025-06-01,3.18793,3.978519,0.790597,3.60414,0.18937
2025-06-02,3.651649,4.64975,0.998099,4.177529,0.237183
2025-06-03,3.43281,4.23647,0.80366,3.805229,0.203474
2025-07-06,4.345779,5.590469,1.24468,5.00849,0.295861
2025-07-07,4.474009,5.845469,1.371459,5.204199,0.326418
2025-07-08,6.271369,8.8617,2.590339,7.512199,0.637297
2025-07-09,3.26372,4.463799,1.20007,3.96982,0.28624
2025-07-10,2.657579,3.332299,0.674724,2.9988,0.161011
2025-07-11,2.4586,3.439369,0.980769,2.9381,0.241605
2025-07-12,3.35872,4.26336,0.904633,3.82731,0.217338
2025-07-13,3.48724,4.43197,0.94473,3.990829,0.223441
2025-07-14,4.14194,5.293159,1.151219,4.736219,0.275638
2025-07-15,4.718929,6.468269,1.74933,5.59378,0.423274
2025-07-16,4.14538,5.20823,1.062849,4.7287,0.251731
2025-07-18,3.58009,4.50292,0.922833,4.055729,0.221251
2025-07-19,3.511199,4.412889,0.901688,3.954619,0.218624
2025-07-20,3.175679,4.21772,1.04205,3.71507,0.247948
2025-07-21,3.725339,4.82496,1.099619,4.285429,0.262984
2025-07-22,3.472009,4.51835,1.046339,4.03522,0.247589
2025-07-23,4.24839,5.489379,1.24099,4.86562,0.301694
2025-07-25,5.676799,7.378809,1.70202,6.495399,0.416851
2025-07-26,5.03807,7.094009,2.055949,6.045839,0.499116
2025-07-28,4.63134,6.07176,1.44042,5.3694,0.346002
2025-07-29,5.920209,8.156169,2.23596,6.98387,0.549839
2025-07-30,5.322179,7.5759,2.25372,6.40276,0.554144
2025-07-31,5.04264,6.73921,1.69657,5.853849,0.419133
2025-08-01,4.00151,4.924129,0.922626,4.515799,0.219101
2025-08-02,3.908349,4.47266,0.564311,4.247479,0.131447
2025-08-03,4.657939,6.07203,1.41409,5.388919,0.336519
2025-08-04,4.324759,5.453999,1.12924,4.914209,0.268602
2025-08-05,4.69738,6.474549,1.777169,5.538459,0.438109
2025-08-06,3.94014,4.662089,0.721946,4.3585,0.172082
2025-08-07,2.399159,3.157979,0.758822,2.74072,0.152459
2025-08-08,3.09838,3.60622,0.507844,3.30251,0.103341
2025-08-09,3.70788,4.21532,0.507448,3.99548,0.112217
2025-08-10,4.19364,5.046249,0.852611,4.670559,0.201563
2025-08-11,3.656519,4.267,0.610478,4.02472,0.147762
2025-08-12,2.23988,2.789629,0.54975,2.58662,0.134935
2025-08-13,3.793679,4.492559,0.698875,4.188809,0.165413
2025-08-18,3.686439,4.190549,0.504105,3.974639,0.120135
2025-08-19,3.69331,4.17144,0.478134,3.96092,0.113592
2025-08-20,3.84376,4.359159,0.515401,4.11593,0.122431
2025-08-21,3.693449,4.41047,0.717024,4.054719,0.172483
2025-08-22,4.09739,5.280809,1.183419,4.687679,0.285463
2025-08-23,3.595,4.292759,0.697758,3.99339,0.165874
2025-08-24,3.183459,3.497819,0.314361,3.373199,0.074012
2025-08-25,2.95228,3.237119,0.284848,3.03828,0.067531
2025-08-26,3.647989,3.996769,0.348776,3.85416,0.083812
2025-08-28,3.426569,3.957259,0.530685,3.674469,0.131357
2025-08-29,2.225919,2.88363,0.657709,2.58588,0.154868
2025-08-30,2.86746,3.234689,0.367224,3.05587,0.086976
2025-08-31,2.84082,3.33903,0.498216,3.07883,0.122426
