date,minimum,maximum,range,mean,std
2025-04-23,3.757859,3.849999,0.092141,3.8101,0.024643
2025-04-24,4.02397,4.219999,0.196029,4.13951,0.051672
2025-04-25,1.83,2.092449,0.262448,1.954069,0.07252
2025-04-26,4.0,4.04604,0.046037,4.010039,0.008756
2025-04-27,4.74585,4.849999,0.104143,4.81478,0.023448
2025-04-28,4.845099,4.998469,0.153374,4.93446,0.023393
2025-04-29,4.32069,4.449999,0.129313,4.4113,0.029351
2025-04-30,1.08,1.120859,0.040857,1.09579,0.010945
2025-05-01,3.471299,3.524899,0.053604,3.505039,0.010017
2025-05-02,2.329999,2.43843,0.108424,2.363889,0.027291
2025-05-05,2.589999,2.79973,0.209731,2.67722,0.054574
2025-05-07,4.22627,4.36,0.133729,4.31688,0.031153
2025-05-10,2.349999,2.51728,0.167281,2.40862,0.043863
2025-05-14,2.819999,3.05362,0.233616,2.92071,0.061397
2025-05-15,3.85307,3.89047,0.037407,3.873749,0.008416
2025-05-16,4.80519,5.099999,0.294806,4.972939,0.077021
2025-05-17,4.419849,4.69,0.27015,4.595749,0.062994
2025-05-18,2.51059,2.65011,0.139514,2.622359,0.02964
2025-05-19,3.13948,3.293869,0.154386,3.249109,0.025106
2025-05-20,3.979449,4.06287,0.083414,4.00611,0.012834
2025-05-21,4.07,4.16404,0.094042,4.09846,0.020278
2025-05-22,4.394179,4.5,0.10582,4.469799,0.024032
2025-05-23,4.97368,5.21,0.236322,5.10753,0.064079
2025-05-24,4.7519,4.849999,0.098104,4.824079,0.021375
2025-05-25,4.390689,4.559999,0.169311,4.50319,0.03894
2025-05-26,4.141379,4.25,0.108621,4.210589,0.029101
2025-05-27,4.83472,5.079999,0.245277,4.98218,0.064136
2025-05-28,4.98472,5.25,0.265276,5.153079,0.065445
2025-05-29,5.325819,5.619999,0.294176,5.49478,0.080735
2025-05-30,4.654819,5.17,0.515173,4.97411,0.127819
2025-05-31,4.775229,5.079999,0.304765,4.954339,0.081785
2025-06-01,3.5,3.60609,0.106086,3.528049,0.023283
2025-06-02,4.401289,4.579999,0.178707,4.51195,0.048699
2025-06-03,3.2,3.32786,0.127859,3.244369,0.033561
2025-07-06,5.46747,5.739999,0.272525,5.638979,0.074573
2025-07-07,5.65355,6.039999,0.386447,5.89792,0.101355
2025-07-08,7.18121,7.91999,0.738788,7.646289,0.177823
2025-07-09,5.208199,5.89999,0.69179,5.611849,0.187233
2025-07-10,2.560009,3.067169,0.507166,2.777309,0.132752
2025-07-11,2.30378,2.595119,0.291339,2.433569,0.057209
2025-07-12,3.563669,3.797879,0.234207,3.702519,0.043189
2025-07-13,4.282199,4.41012,0.127918,4.37543,0.029476
2025-07-14,4.579999,4.810639,0.230636,4.668869,0.054037
2025-07-15,5.643459,6.05,0.406542,5.90345,0.100451
2025-07-16,5.33655,5.59,0.253448,5.51244,0.059206
2025-07-18,4.039999,4.17662,0.136622,4.086649,0.029361
2025-07-19,3.75,4.01757,0.267567,3.840059,0.059868
2025-07-20,3.89717,4.01,0.112833,3.97386,0.025817
2025-07-21,4.38491,4.473299,0.088385,4.438859,0.014642
2025-07-22,4.41367,4.550479,0.136812,4.51513,0.031247
2025-07-23,4.599999,4.78561,0.185609,4.677269,0.04617
2025-07-25,6.405409,6.869999,0.464588,6.68048,0.117991
2025-07-26,5.934329,6.309999,0.375669,6.167329,0.094416
2025-07-28,5.476699,5.869999,0.393299,5.739719,0.095631
2025-07-29,6.757259,7.679989,0.922734,7.334579,0.222246
2025-07-30,6.13097,6.519999,0.389028,6.37333,0.095073
2025-07-31,5.51209,5.561309,0.049223,5.548339,0.008645
2025-08-01,5.06819,5.53,0.461804,5.350959,0.120035
2025-08-02,5.175479,5.719999,0.544514,5.49245,0.148675
2025-08-03,5.816629,6.539989,0.723363,6.241879,0.188354
2025-08-04,5.300399,5.63,0.329594,5.484819,0.091546
2025-08-05,5.31673,5.61,0.293267,5.49194,0.075473
2025-08-06,4.942979,5.23,0.287021,5.125999,0.069213
2025-08-07,4.25492,4.82,0.565081,4.63104,0.132333
2025-08-08,4.46013,4.929999,0.469871,4.76022,0.115055
2025-08-09,4.81637,5.19,0.373627,5.045939,0.09399
2025-08-10,5.18128,5.42,0.238722,5.34144,0.055203
2025-08-11,4.54884,4.809999,0.261159,4.710649,0.069234
2025-08-12,3.25127,3.555989,0.304728,3.37682,0.049044
2025-08-13,4.71208,5.01,0.297919,4.891039,0.07772
2025-08-18,4.2017,4.29684,0.095137,4.2519,0.015015
2025-08-19,4.019999,4.178979,0.158981,4.07314,0.034814
2025-08-20,4.15,4.25914,0.109142,4.18162,0.022491
2025-08-21,4.07417,4.119999,0.045826,4.10678,0.010765
2025-08-22,4.77856,5.17,0.391434,5.01514,0.099943
2025-08-23,4.52014,4.9,0.379857,4.74484,0.102186
2025-08-24,3.80134,3.93084,0.1295,3.89925,0.02825
2025-08-25,3.75809,3.98,0.221912,3.919199,0.049315
2025-08-26,4.05,4.183539,0.133542,4.084589,0.027805
2025-08-28,3.46,3.555279,0.095278,3.50264,0.024755
2025-08-29,2.90122,3.053849,0.152629,2.971179,0.025321
2025-08-30,3.049999,3.212399,0.162395,3.103179,0.036379
2025-08-31,2.859999,3.008419,0.148417,2.90612,0.034955
2025-09-01,2.88,3.01704,0.137034,2.939389,0.03735
2025-09-02,2.39,2.56321,0.17321,2.43298,0.036904
2025-09-03,1.7,2.071,0.370999,1.827389,0.084096
2025-09-04,2.819999,2.959759,0.13976,2.882689,0.037292
2025-09-05,3.7702,3.92,0.149802,3.868619,0.036495
2025-09-06,3.42402,3.599999,0.175979,3.540839,0.042645
