date,minimum,maximum,range,mean,std
2025-04-23,4.444709,4.56187,0.117159,4.50508,0.023714
2025-04-24,4.86984,5.035369,0.165534,4.940629,0.040115
2025-04-25,3.407399,3.59331,0.18591,3.496989,0.049227
2025-04-26,4.57593,4.63596,0.060031,4.60817,0.018537
2025-04-27,4.931499,5.047039,0.115533,4.980189,0.02839
2025-04-28,5.159689,5.225609,0.065923,5.18722,0.016274
2025-04-29,3.091089,3.239959,0.148868,3.187439,0.037283
2025-04-30,2.46545,2.793349,0.327892,2.64261,0.079055
2025-05-01,3.854909,3.9012,0.046295,3.881829,0.014104
2025-05-02,2.83131,2.91911,0.087791,2.879129,0.022785
2025-05-05,3.04707,3.18191,0.13483,3.100909,0.033266
2025-05-07,3.500269,3.55131,0.051034,3.52058,0.010461
2025-05-10,3.89172,4.03588,0.144155,3.97474,0.037704
2025-05-14,4.009729,4.066219,0.056492,4.03836,0.018354
2025-05-15,4.547309,4.637939,0.090636,4.597189,0.022934
2025-05-16,4.95624,5.149089,0.192853,5.04184,0.047045
2025-05-17,5.187059,5.335579,0.148523,5.262149,0.031333
2025-05-18,3.28952,3.42032,0.130797,3.34591,0.035198
2025-05-19,4.25647,4.517169,0.260701,4.39898,0.059989
2025-05-20,4.82207,4.894299,0.072234,4.86569,0.020732
2025-05-21,4.958519,5.09638,0.13786,5.0271,0.033717
2025-05-22,5.41153,5.56855,0.157013,5.48351,0.037761
2025-05-23,5.79368,5.963009,0.169333,5.87752,0.040003
2025-05-24,5.880939,6.116049,0.235115,5.980649,0.056561
2025-05-25,5.28687,5.39084,0.103972,5.33652,0.027824
2025-05-26,5.105189,5.27428,0.169086,5.191249,0.042652
2025-05-27,5.637969,5.78865,0.150682,5.701059,0.037996
2025-05-28,6.008289,6.232029,0.223737,6.103099,0.053125
2025-05-29,6.55383,6.85585,0.302015,6.67771,0.073337
2025-05-30,6.14682,6.485819,0.338993,6.29195,0.081893
2025-05-31,6.142889,6.40316,0.260268,6.253099,0.060951
2025-06-01,4.945149,5.244329,0.299181,5.10782,0.072218
2025-06-02,4.833449,4.954299,0.120856,4.895929,0.034988
2025-06-03,4.20477,4.33638,0.131605,4.269929,0.036545
2025-07-06,6.406789,6.586249,0.179464,6.47895,0.042777
2025-07-07,6.07906,6.231639,0.152582,6.1482,0.035359
2025-07-08,6.89551,7.165359,0.269847,6.999579,0.064058
2025-07-09,5.787819,5.904819,0.116998,5.821469,0.027576
2025-07-10,4.73258,4.84875,0.116177,4.796949,0.025231
2025-07-11,2.892159,2.91441,0.022253,2.9042,0.005919
2025-07-12,4.39618,4.499919,0.103733,4.434879,0.024036
2025-07-13,5.191279,5.29079,0.099509,5.23047,0.020528
2025-07-14,6.17008,6.306459,0.136383,6.223959,0.032656
2025-07-15,6.80205,7.07483,0.272776,6.90698,0.066439
2025-07-16,6.568029,6.83539,0.267361,6.675539,0.063689
2025-07-18,5.41405,5.501259,0.08721,5.447869,0.0176
2025-07-19,5.32421,5.419559,0.095346,5.381199,0.026213
2025-07-20,5.05414,5.234449,0.180308,5.12371,0.042881
2025-07-21,5.895659,6.04501,0.149342,5.96189,0.034319
2025-07-22,5.8568,6.015409,0.158613,5.91836,0.035355
2025-07-23,5.428909,5.643139,0.214222,5.522689,0.048043
2025-07-25,7.435619,7.768929,0.333317,7.61208,0.084207
2025-07-26,7.00186,7.2786,0.276744,7.104229,0.067248
2025-07-28,6.567949,6.748889,0.18094,6.629489,0.045411
2025-07-29,7.342669,7.53031,0.187639,7.40808,0.045752
