date,minimum,maximum,range,mean,std
2025-04-23,4.43342,4.66414,0.23072,4.534659,0.049065
2025-04-24,4.826119,5.05976,0.233633,4.90768,0.049232
2025-04-25,3.2181,3.60331,0.38521,3.43998,0.091479
2025-04-26,4.576859,4.88274,0.305882,4.70721,0.060654
2025-04-27,4.897689,5.02886,0.131172,4.97051,0.033041
2025-04-28,5.15452,5.30871,0.154194,5.186009,0.0271
2025-04-29,3.00745,3.757339,0.74989,3.38278,0.167454
2025-04-30,1.811939,2.541039,0.729094,2.146689,0.17237
2025-05-01,3.771169,3.99967,0.228499,3.858249,0.042498
2025-05-02,2.630059,2.86201,0.231952,2.75446,0.047408
2025-05-05,2.97421,3.10131,0.127102,3.01722,0.026952
2025-05-07,3.4862,3.92246,0.436257,3.641099,0.101209
2025-05-10,3.823189,4.04145,0.218253,3.89648,0.0491
2025-05-14,4.018899,4.29086,0.271959,4.14926,0.062814
2025-05-15,4.539649,4.858679,0.319025,4.69362,0.069091
2025-05-16,4.859839,5.054279,0.194431,4.946469,0.043396
2025-05-17,5.108479,5.353849,0.245373,5.2346,0.058837
2025-05-18,3.28063,3.802629,0.521997,3.484989,0.12755
2025-05-19,4.03905,4.39051,0.351462,4.190989,0.087356
2025-05-20,4.81637,5.15417,0.337799,4.982699,0.067969
2025-05-21,4.941969,5.28902,0.347054,5.103489,0.074643
2025-05-22,5.36673,5.5802,0.213468,5.43725,0.043412
2025-05-23,5.77328,6.09494,0.321664,5.93908,0.072683
2025-05-24,5.758959,6.027029,0.26807,5.879829,0.05952
2025-05-25,5.286399,5.646639,0.360238,5.469009,0.078099
2025-05-26,5.08397,5.56251,0.478542,5.31226,0.100762
2025-05-27,5.62541,6.090469,0.465063,5.762159,0.086983
2025-05-28,5.942389,6.413129,0.470739,6.085619,0.087091
2025-05-29,6.428369,6.6897,0.261328,6.544859,0.055216
2025-05-30,5.901919,6.262869,0.360947,6.08814,0.06708
2025-05-31,6.077819,6.364709,0.286886,6.22449,0.064195
2025-06-01,4.815619,5.438439,0.622819,5.062699,0.147209
2025-06-02,4.83091,5.25815,0.427239,5.03944,0.092465
2025-06-03,4.17952,4.343299,0.163774,4.2451,0.036682
2025-07-06,6.387229,6.865379,0.47815,6.611279,0.113894
2025-07-07,6.06686,6.655449,0.588594,6.32911,0.127535
2025-07-08,6.815169,7.049809,0.234641,6.947669,0.067185
2025-07-09,5.8536,6.40568,0.552082,6.131919,0.133047
2025-07-10,4.74552,5.369999,0.624485,5.05058,0.144593
2025-07-11,2.88626,3.06627,0.180015,2.967619,0.033881
2025-07-12,4.32453,5.05423,0.729699,4.57621,0.149419
2025-07-13,5.224289,5.907989,0.683704,5.574759,0.152162
2025-07-14,6.158559,6.652949,0.49439,6.328849,0.09481
2025-07-15,6.687469,7.24796,0.560483,6.839049,0.113776
2025-07-16,6.52642,6.98471,0.458294,6.76667,0.122221
2025-07-18,5.420509,5.896629,0.476125,5.64272,0.114021
2025-07-19,5.32283,5.78057,0.457745,5.581639,0.117637
2025-07-20,4.981219,5.205329,0.224105,5.046259,0.045267
2025-07-21,5.880579,6.305459,0.424878,6.062049,0.090046
2025-07-22,5.844369,6.523019,0.678654,6.09203,0.143475
2025-07-23,5.200479,5.762909,0.562426,5.42774,0.112407
2025-07-25,7.250199,7.93373,0.683526,7.50472,0.164296
2025-07-26,6.828509,7.437459,0.608947,7.064499,0.118203
2025-07-28,6.545479,7.14365,0.598164,6.708079,0.120089
2025-07-29,7.313159,7.736159,0.423,7.493929,0.098513
2025-07-30,6.64401,7.09633,0.452318,6.847209,0.084003
2025-07-31,6.31888,6.837649,0.51877,6.530159,0.091994
2025-08-01,5.922379,6.43972,0.517341,6.15641,0.120237
2025-08-02,5.99059,6.482069,0.491479,6.171639,0.101429
2025-08-03,6.75225,7.271379,0.519123,6.912189,0.09611
2025-08-04,6.158309,6.80022,0.641902,6.44991,0.122615
2025-08-05,6.154399,6.441599,0.287198,6.320819,0.084763
2025-08-06,5.773069,6.33824,0.565172,6.05375,0.107992
2025-08-07,5.589869,5.981659,0.391795,5.77086,0.0793
2025-08-08,5.4368,5.89857,0.461766,5.655519,0.092711
