date,minimum,maximum,range,mean,std
2025-04-23,4.414919,4.610559,0.195638,4.464169,0.046785
2025-04-24,4.78911,4.93696,0.147844,4.837959,0.027683
2025-04-25,3.20599,3.367029,0.161034,3.27934,0.04237
2025-04-26,4.577899,4.773519,0.195619,4.63741,0.045916
2025-04-27,4.874989,4.944439,0.069445,4.901639,0.012737
2025-04-28,5.145949,5.270309,0.124364,5.188089,0.030022
2025-04-29,3.268399,3.628119,0.359719,3.43072,0.09389
2025-04-30,2.006129,2.43425,0.428122,2.219239,0.116394
2025-05-01,3.845419,3.9572,0.111787,3.87837,0.023451
2025-05-02,2.748039,2.82013,0.072084,2.78466,0.014509
2025-05-05,2.964649,3.03865,0.074,3.00089,0.012957
2025-05-07,3.505219,3.804349,0.299127,3.62102,0.077865
2025-05-10,3.83392,3.891089,0.057169,3.85699,0.010219
2025-05-14,4.01839,4.18729,0.168902,4.07693,0.042748
2025-05-15,4.520989,4.768119,0.247134,4.594389,0.059482
2025-05-16,4.88637,4.99415,0.107779,4.911069,0.026364
2025-05-17,5.098179,5.18827,0.090086,5.12331,0.020914
2025-05-18,3.25721,3.33221,0.075004,3.287379,0.017073
2025-05-19,4.04997,4.2058,0.155827,4.114679,0.040689
2025-05-20,4.809539,5.076759,0.267223,4.88979,0.064213
2025-05-21,4.89853,5.15218,0.253657,4.96782,0.057636
2025-05-22,5.363379,5.529729,0.166347,5.399479,0.037436
2025-05-23,5.73289,5.971509,0.238621,5.797719,0.055683
2025-05-24,5.79371,5.97241,0.178693,5.835929,0.041965
2025-05-25,5.264689,5.538859,0.27417,5.344729,0.064622
2025-05-26,5.0278,5.34842,0.320621,5.12332,0.072616
2025-05-27,5.598979,5.973939,0.374958,5.7013,0.088601
2025-05-28,5.941549,6.307439,0.365889,6.031889,0.08529
2025-05-29,6.428359,6.562839,0.134476,6.468019,0.033458
2025-05-30,6.00111,6.1644,0.163295,6.04355,0.036435
2025-05-31,6.02116,6.264739,0.24358,6.09036,0.053435
2025-06-01,4.750209,4.88638,0.136169,4.82001,0.031454
2025-06-02,4.80028,5.053899,0.253616,4.877669,0.05905
2025-06-03,4.160739,4.237259,0.076524,4.181799,0.017252
2025-07-06,6.34181,6.716629,0.374821,6.44951,0.088542
2025-07-07,6.029699,6.491419,0.461719,6.16763,0.109283
2025-07-08,6.77222,6.948339,0.176112,6.828969,0.043853
2025-07-09,5.8754,6.25992,0.384519,6.00394,0.096828
2025-07-10,4.70729,4.994699,0.287411,4.81441,0.069795
2025-07-11,2.925309,3.04115,0.115841,2.96596,0.028274
2025-07-12,4.534409,4.94677,0.412364,4.675749,0.095618
2025-07-13,5.24943,5.756989,0.507557,5.42011,0.124171
2025-07-14,6.13323,6.521379,0.388146,6.24734,0.091146
2025-07-15,6.73643,7.13779,0.401356,6.835939,0.094943
2025-07-16,6.44005,6.74299,0.302946,6.54922,0.069012
2025-07-18,5.40387,5.77085,0.366988,5.518869,0.08922
2025-07-19,5.30178,5.62441,0.322623,5.406209,0.076047
2025-07-20,4.991919,5.11414,0.122211,5.026959,0.025236
2025-07-21,5.84696,6.196619,0.34966,5.950139,0.08318
2025-07-22,5.804959,6.284939,0.479988,5.9524,0.116006
2025-07-23,5.434209,5.645549,0.21134,5.485549,0.04869
2025-07-25,7.214039,7.363289,0.149254,7.26274,0.032648
2025-07-26,6.93683,7.25992,0.32308,7.04155,0.076265
2025-07-28,6.522349,6.985949,0.4636,6.650469,0.111051
2025-07-29,7.258309,7.4798,0.221487,7.33017,0.0579
2025-07-30,6.7294,7.01759,0.288185,6.808869,0.073889
2025-07-31,6.399829,6.725749,0.32592,6.48642,0.078064
2025-08-01,5.850989,6.276979,0.425992,5.97686,0.100525
2025-08-02,5.96357,6.367,0.403429,6.07551,0.096822
2025-08-03,6.73431,7.133669,0.399358,6.842609,0.091968
2025-08-04,6.259069,6.69499,0.435923,6.38776,0.111815
2025-08-05,6.093249,6.319009,0.22576,6.16223,0.051194
2025-08-06,5.85647,6.22271,0.366241,5.95611,0.089357
2025-08-07,5.59519,5.87471,0.279523,5.675099,0.065325
2025-08-08,5.52123,5.81158,0.290353,5.60162,0.070683
2025-08-09,6.004089,6.38213,0.378039,6.10539,0.089661
2025-08-10,6.183159,6.489459,0.306302,6.270329,0.072253
2025-08-11,5.918759,6.111919,0.193159,5.97437,0.046085
2025-08-12,5.08296,5.27465,0.19168,5.20417,0.045339
2025-08-13,6.146649,6.61307,0.466426,6.28555,0.108824
2025-08-18,5.23358,5.73361,0.500033,5.39259,0.121936
2025-08-19,5.670239,6.07948,0.409244,5.79219,0.098124
2025-08-20,5.64475,6.10542,0.460673,5.785719,0.111302
2025-08-21,5.33649,5.718679,0.382182,5.444829,0.090867
2025-08-22,5.253739,5.50578,0.252041,5.31583,0.058955
2025-08-23,5.286089,5.595459,0.309372,5.372409,0.068412
