date,minimum,maximum,range,mean,std
2025-04-23,4.205379,4.647349,0.441965,4.406129,0.093454
2025-04-24,4.47207,5.067699,0.595632,4.77783,0.134857
2025-04-25,2.322949,3.120599,0.797649,2.84554,0.167793
2025-04-26,4.352159,4.85218,0.500015,4.549829,0.111657
2025-04-27,4.756519,5.02044,0.263925,4.89935,0.064774
2025-04-28,5.200049,5.530759,0.330704,5.332699,0.065229
2025-04-29,3.477089,4.25787,0.780776,3.831749,0.181242
2025-04-30,1.385149,2.087019,0.701861,1.805649,0.160699
2025-05-01,3.871829,4.05201,0.180187,3.94055,0.038825
2025-05-02,2.4786,2.788029,0.309428,2.65912,0.063566
2025-05-05,2.25214,3.03323,0.781087,2.75108,0.143942
2025-05-07,3.554239,3.986999,0.43276,3.825109,0.11355
2025-05-10,3.34639,3.899349,0.552958,3.704819,0.110584
2025-05-14,3.711299,4.17557,0.464269,3.99003,0.083424
2025-05-15,4.213789,4.83115,0.617357,4.497509,0.129112
2025-05-16,4.59375,4.966909,0.373162,4.81124,0.069297
2025-05-17,4.834969,5.2602,0.425229,5.05481,0.090331
2025-05-18,2.861819,3.259449,0.397633,3.08204,0.082623
2025-05-19,3.506119,4.02219,0.51607,3.87858,0.103716
2025-05-20,4.5868,5.14291,0.556118,4.83647,0.118529
2025-05-21,4.13837,5.181359,1.042989,4.66926,0.208237
2025-05-22,4.840149,5.520299,0.68015,5.15887,0.145043
2025-05-23,5.23962,5.992859,0.753234,5.60398,0.15763
2025-05-24,5.431839,6.03372,0.601885,5.762519,0.143527
2025-05-25,4.69809,5.57593,0.877837,5.14438,0.177549
2025-05-26,4.100349,5.40567,1.30532,4.76372,0.268115
2025-05-27,5.00716,6.06718,1.060019,5.50987,0.21288
2025-05-28,5.220499,6.404489,1.18399,5.803599,0.23867
2025-05-29,6.16197,6.795499,0.633522,6.43127,0.148955
2025-05-30,5.285069,6.188099,0.903033,5.783329,0.185038
2025-05-31,5.302309,6.337679,1.035369,5.87693,0.236736
2025-06-01,3.748199,4.73437,0.986163,4.24018,0.222157
2025-06-02,4.32486,5.05796,0.733093,4.63462,0.160334
2025-06-03,3.572149,4.1851,0.612945,3.95703,0.11889
2025-07-06,5.609139,6.760739,1.15161,6.163619,0.237503
2025-07-07,5.287829,6.589129,1.3013,5.926249,0.264481
2025-07-08,6.57274,7.37608,0.80334,6.8913,0.189758
2025-07-09,5.50539,6.33579,0.830402,5.946619,0.179582
2025-07-10,4.450839,5.071809,0.620976,4.756549,0.163008
2025-07-11,2.72105,3.039619,0.318574,2.90189,0.064813
2025-07-12,3.95195,4.981629,1.02968,4.47263,0.212543
2025-07-13,4.98563,5.849649,0.864018,5.32698,0.188361
2025-07-14,5.415299,6.593379,1.178079,5.981649,0.236891
2025-07-15,6.046989,7.25923,1.212249,6.64447,0.244774
2025-07-16,5.446809,6.89574,1.44893,6.19924,0.293085
2025-07-18,4.95612,5.790939,0.834819,5.32656,0.179554
2025-07-19,4.81289,5.65987,0.84698,5.207429,0.176697
2025-07-20,4.57733,5.130119,0.552788,4.861979,0.107353
