date,minimum,maximum,range,mean,std
2025-04-23,4.67031,4.923709,0.253403,4.805749,0.074386
2025-04-24,5.084249,5.16995,0.085697,5.126339,0.027998
2025-04-25,4.012889,4.31964,0.306746,4.14904,0.095775
2025-04-26,5.0875,5.269889,0.182398,5.188429,0.056105
2025-04-27,5.054969,5.139349,0.084384,5.1051,0.019015
2025-04-28,4.15597,5.085209,0.929244,4.69293,0.269192
2025-04-29,2.09873,2.59521,0.496477,2.39664,0.135637
2025-04-30,2.78674,3.56975,0.783011,3.288229,0.22358
2025-05-01,3.63432,4.779459,1.14514,4.32916,0.328337
2025-05-02,2.54253,3.25968,0.717151,2.98633,0.203339
2025-05-05,2.912519,3.839459,0.926935,3.45263,0.267419
2025-05-07,2.81557,3.45261,0.637045,3.25092,0.166998
2025-05-10,3.6949,5.07909,1.384189,4.475669,0.402215
2025-05-14,3.663549,4.709539,1.046,4.307109,0.299968
2025-05-15,4.2809,5.559269,1.27836,5.02566,0.369915
2025-05-16,4.291989,5.529449,1.23746,5.04897,0.354873
2025-05-17,4.36323,5.47971,1.116479,5.093269,0.31749
2025-05-18,3.306309,4.44958,1.14327,4.008749,0.33522
2025-05-19,4.12685,5.44951,1.322659,4.939509,0.388013
2025-05-20,4.549689,5.89929,1.349599,5.351019,0.389129
2025-05-21,4.583829,5.759459,1.175629,5.300419,0.337386
2025-05-22,5.082829,6.1795,1.09667,5.74901,0.3163
2025-05-23,5.53692,6.689459,1.152539,6.23361,0.332399
2025-05-24,5.09283,6.209819,1.116989,5.843969,0.319218
2025-05-25,4.87295,6.129489,1.256539,5.65143,0.36065
2025-05-26,4.772719,6.03949,1.26677,5.55979,0.363236
2025-05-27,4.955689,6.45933,1.50363,5.875339,0.431401
2025-05-28,5.36423,6.41965,1.05541,6.033549,0.302094
2025-05-29,5.372399,6.6696,1.297199,6.20515,0.36961
2025-05-30,5.19244,6.52962,1.33718,6.05766,0.381776
2025-05-31,4.974569,6.30979,1.335219,5.86779,0.387326
2025-06-01,5.09918,6.13977,1.04059,5.776909,0.304026
2025-06-02,4.57661,5.76945,1.192839,5.292049,0.349514
2025-06-03,4.31721,5.2294,0.912186,4.831759,0.265388
2025-07-06,6.719389,6.969709,0.250319,6.82808,0.076944
2025-07-07,6.4636,6.699719,0.236123,6.56571,0.072905
2025-07-08,5.81508,6.069839,0.254759,5.95822,0.074695
2025-07-09,5.084239,5.449629,0.36539,5.25287,0.113324
2025-07-10,4.915559,4.999889,0.08433,4.950669,0.024714
2025-07-11,2.70847,2.99986,0.291386,2.87906,0.085805
2025-07-12,3.770109,3.91679,0.146687,3.841049,0.045693
2025-07-13,5.36413,5.999199,0.635069,5.62922,0.19543
2025-07-14,6.500299,6.74973,0.24943,6.60933,0.078983
2025-07-15,6.69108,6.719979,0.028902,6.705969,0.009174
2025-07-16,6.44669,6.55693,0.110242,6.51161,0.024499
2025-07-18,4.91554,5.259689,0.344152,5.08639,0.104037
2025-07-19,5.934979,6.31963,0.384651,6.11525,0.120483
2025-07-20,4.970499,5.319789,0.349283,5.166609,0.1038
2025-07-21,6.215849,6.54965,0.333806,6.365039,0.105683
2025-07-22,6.20974,6.43974,0.229995,6.309999,0.071632
2025-07-23,5.342619,5.709829,0.36721,5.558469,0.110247
2025-07-25,8.510239,8.64313,0.132881,8.59622,0.039111
2025-07-26,6.39018,6.501289,0.111103,6.46011,0.032793
2025-07-28,6.612299,6.73994,0.127642,6.68048,0.042281
2025-07-29,7.10854,7.40149,0.292946,7.28388,0.069162
2025-07-30,6.159319,6.2469,0.087585,6.203259,0.019426
2025-07-31,5.955379,6.10995,0.15457,6.048069,0.047725
2025-08-01,5.632319,5.899919,0.267598,5.797279,0.081314
2025-08-02,5.63847,5.919839,0.281369,5.795889,0.085386
2025-08-03,6.305749,6.42737,0.121619,6.385399,0.035055
2025-08-04,5.58716,5.729879,0.14272,5.65848,0.044116
2025-08-05,6.03412,6.60967,0.575542,6.353189,0.17484
2025-08-06,4.81496,5.089829,0.274865,4.96609,0.082774
2025-08-07,4.931709,5.19985,0.268142,5.082789,0.081453
2025-08-08,4.35444,4.663489,0.309051,4.535389,0.091014
