date,minimum,maximum,range,mean,std
2025-04-23,4.86458,4.964839,0.100258,4.91613,0.020415
2025-04-24,4.956429,5.07806,0.121633,5.01665,0.025793
2025-04-25,3.85693,4.00567,0.148741,3.91804,0.029969
2025-04-26,4.997529,5.11806,0.120527,5.04649,0.028994
2025-04-27,5.00985,5.113699,0.103853,5.0612,0.022054
2025-04-28,4.222109,4.906509,0.684406,4.604149,0.177408
2025-04-29,2.11786,2.486769,0.368912,2.34271,0.095596
2025-04-30,2.486929,3.21864,0.73171,2.92737,0.160895
2025-05-01,3.2104,4.1213,0.910903,3.746999,0.1961
2025-05-02,2.314589,2.89964,0.585048,2.670979,0.130798
2025-05-05,2.577419,3.23475,0.657325,2.964999,0.141274
2025-05-07,2.596349,3.38399,0.787644,3.04935,0.175496
2025-05-10,3.212569,4.08221,0.869638,3.72305,0.185019
2025-05-14,3.295399,4.167759,0.872359,3.80275,0.188488
2025-05-15,3.82697,4.725649,0.898679,4.3505,0.191936
2025-05-16,3.849659,4.85304,1.003379,4.43549,0.216722
2025-05-17,3.96898,5.038459,1.069479,4.59946,0.235482
2025-05-18,2.920059,3.76376,0.843699,3.399049,0.183893
2025-05-19,3.651649,4.661489,1.00984,4.223159,0.218985
2025-05-20,4.077859,5.077929,1.000069,4.657989,0.213338
2025-05-21,4.17566,5.1153,0.939642,4.71954,0.201802
2025-05-22,4.675499,5.554019,0.87852,5.17849,0.187589
2025-05-23,5.10819,6.017779,0.909591,5.63204,0.193725
2025-05-24,4.62893,5.83717,1.20824,5.32388,0.262282
2025-05-25,4.39826,5.473289,1.075029,5.019159,0.230294
2025-05-26,4.29335,5.391429,1.09807,4.9267,0.235465
2025-05-27,4.383419,5.633989,1.25057,5.110169,0.269445
2025-05-28,4.9639,5.91023,0.946331,5.5135,0.20317
2025-05-29,4.92497,6.09176,1.16679,5.619959,0.255412
2025-05-30,4.698619,5.960629,1.262009,5.438519,0.274213
2025-05-31,4.45225,5.780509,1.328259,5.21103,0.290802
2025-06-01,4.67423,5.65806,0.983834,5.20624,0.210366
2025-06-02,4.122889,4.98923,0.86634,4.60162,0.183853
2025-06-03,3.993669,4.57494,0.58127,4.33162,0.123323
2025-07-06,6.46819,6.713779,0.245581,6.59449,0.048954
2025-07-07,6.240479,6.45626,0.215777,6.35478,0.043027
2025-07-08,5.762929,5.86412,0.101181,5.81682,0.021196
2025-07-09,4.961359,5.07698,0.115613,5.019539,0.017709
2025-07-10,4.828919,4.95999,0.131068,4.886229,0.029544
2025-07-11,2.64995,2.804239,0.154293,2.738749,0.034974
2025-07-12,3.919699,4.026869,0.107171,3.98182,0.028022
2025-07-13,5.02851,5.345799,0.317292,5.167059,0.064463
2025-07-14,6.292779,6.4871,0.194314,6.394239,0.035872
2025-07-15,6.605629,6.70447,0.098837,6.666629,0.021275
2025-07-16,6.432139,6.53103,0.098885,6.4724,0.021638
2025-07-18,4.84531,4.92854,0.083231,4.87756,0.016411
2025-07-19,5.73324,5.927949,0.19471,5.82061,0.035777
2025-07-20,4.83153,5.06194,0.230406,4.94396,0.051237
2025-07-21,6.00811,6.200829,0.192715,6.09813,0.034387
2025-07-22,5.982779,6.2012,0.218425,6.104849,0.043769
2025-07-23,5.17363,5.46783,0.294198,5.31722,0.067308
2025-07-25,8.320429,8.69141,0.370977,8.54866,0.067659
2025-07-26,6.49477,6.57972,0.084943,6.53905,0.016079
2025-07-28,6.324389,6.60507,0.280683,6.50527,0.049956
2025-07-29,6.937689,7.347449,0.409759,7.103089,0.095274
2025-07-30,6.160309,6.31189,0.151585,6.23011,0.034195
2025-07-31,5.86272,5.984409,0.121697,5.93555,0.015232
2025-08-01,5.50604,5.71037,0.204328,5.60544,0.03729
2025-08-02,5.52669,5.66825,0.141552,5.59915,0.022744
2025-08-03,6.25364,6.3631,0.10946,6.31577,0.015421
2025-08-04,5.45978,5.582769,0.122993,5.544189,0.01491
2025-08-05,5.83547,6.0949,0.259431,5.949759,0.052475
2025-08-06,4.67887,4.837379,0.158507,4.760129,0.036262
2025-08-07,4.766139,4.965179,0.19904,4.866169,0.046289
2025-08-08,4.386479,4.605219,0.218747,4.515359,0.05679
2025-08-09,5.43548,5.48016,0.044678,5.461229,0.009765
2025-08-10,5.555349,5.696949,0.141601,5.6286,0.035617
2025-08-11,5.852869,6.01906,0.166188,5.92945,0.031906
2025-08-12,5.18553,5.51034,0.324809,5.358039,0.090118
2025-08-13,6.32246,6.473639,0.151182,6.394919,0.035998
2025-08-18,5.223269,5.472809,0.249531,5.349999,0.056341
2025-08-19,5.591259,5.81225,0.220987,5.70156,0.038045
2025-08-20,5.28167,5.63359,0.351915,5.4587,0.074125
2025-08-21,4.63311,5.33686,0.703751,5.026249,0.150512
2025-08-22,4.483009,4.93891,0.4559,4.73602,0.097451
2025-08-23,4.88777,5.126749,0.238983,4.997769,0.053483
2025-08-24,4.71635,4.83322,0.116875,4.76618,0.025642
2025-08-25,5.002419,5.12793,0.125505,5.086919,0.019709
2025-08-26,5.35439,5.62224,0.267847,5.480679,0.059185
2025-08-28,4.81752,4.93472,0.117201,4.858479,0.019691
2025-08-29,4.49235,4.66063,0.168279,4.56545,0.031985
2025-08-30,4.36096,4.50535,0.144384,4.42571,0.038579
2025-08-31,3.889329,4.034669,0.145345,3.94718,0.024125
2025-09-01,4.50609,4.748219,0.242127,4.613699,0.051468
2025-09-02,3.871049,4.001709,0.130658,3.92262,0.025818
2025-09-03,4.4889,4.59214,0.103246,4.557149,0.014029
2025-09-04,4.7578,4.983409,0.225615,4.85606,0.055393
2025-09-05,5.15709,5.347469,0.190384,5.24236,0.047452
2025-09-06,4.31011,4.572169,0.262059,4.434549,0.058872
