date,minimum,maximum,range,mean,std
2025-04-23,3.986769,4.10997,0.123193,4.067619,0.029894
2025-04-24,4.584469,5.07986,0.495391,4.90558,0.120472
2025-04-25,1.86009,2.084969,0.224886,1.954169,0.058242
2025-04-26,4.040009,4.109149,0.069131,4.06182,0.01623
2025-04-27,4.96257,5.439869,0.477293,5.271619,0.115434
2025-04-28,4.96994,4.98,0.010054,4.97662,0.002111
2025-04-29,4.17002,4.22969,0.059668,4.19329,0.015371
2025-04-30,1.11,1.11863,0.00863,1.113289,0.002324
2025-05-01,3.80817,4.039919,0.231757,3.95226,0.057447
2025-05-02,2.70004,2.89993,0.199897,2.82292,0.049873
2025-05-05,3.320029,3.49283,0.172797,3.36911,0.03964
2025-05-07,4.842619,5.29986,0.457239,5.13425,0.111505
2025-05-10,2.17003,2.287149,0.117121,2.207279,0.028541
2025-05-14,3.21001,3.299649,0.089647,3.230609,0.020681
2025-05-15,4.07528,4.135439,0.060168,4.105939,0.00815
2025-05-16,5.192949,5.71984,0.526888,5.528009,0.129171
2025-05-17,5.079309,5.359899,0.280595,5.250539,0.070713
2025-05-18,2.79724,3.10993,0.312687,3.009829,0.073989
2025-05-19,2.170239,3.094089,0.923849,2.49389,0.241438
2025-05-20,4.231219,4.48992,0.258695,4.39236,0.063984
2025-05-21,4.40002,4.488639,0.088623,4.42566,0.02026
2025-05-22,4.470049,4.671979,0.20193,4.540609,0.052531
2025-05-23,5.177899,5.40992,0.232013,5.31538,0.061921
2025-05-24,5.290619,5.779839,0.489223,5.59041,0.129214
2025-05-25,4.610449,4.73996,0.129511,4.69384,0.034633
2025-05-26,4.702119,4.959909,0.2578,4.859,0.068467
2025-05-27,5.49596,5.96984,0.473881,5.780849,0.126121
2025-05-28,5.74838,6.04988,0.301494,5.917059,0.082466
2025-05-29,5.88917,6.2199,0.330731,6.09906,0.08157
2025-05-30,5.47979,6.09983,0.620037,5.88422,0.150714
2025-05-31,4.953839,4.98999,0.036144,4.975329,0.009901
2025-06-01,4.68555,4.85991,0.174356,4.77149,0.050023
2025-06-02,4.870289,4.929959,0.059673,4.899759,0.015564
2025-06-03,4.180019,4.378809,0.198789,4.231339,0.051368
2025-07-06,5.999239,6.269919,0.270675,6.166669,0.072088
2025-07-07,6.25006,6.71044,0.460382,6.372419,0.120948
2025-07-08,7.07739,7.949749,0.872362,7.630549,0.227561
2025-07-09,5.97513,7.05972,1.084589,6.69312,0.26087
2025-07-10,3.106369,3.453779,0.347409,3.374769,0.078315
2025-07-11,3.49089,3.679949,0.189059,3.616539,0.045669
2025-07-12,4.48677,4.602799,0.116024,4.526239,0.025374
2025-07-13,4.13006,4.32101,0.190952,4.201179,0.049719
2025-07-14,5.40426,5.839869,0.435604,5.67674,0.11486
2025-07-15,6.709469,7.32977,0.620302,7.066559,0.167789
2025-07-16,6.197509,6.99981,0.802304,6.740399,0.189905
2025-07-18,4.656859,4.889939,0.233087,4.813769,0.055482
2025-07-19,3.250099,3.562469,0.312368,3.372679,0.082915
2025-07-20,3.350059,3.54619,0.196123,3.42438,0.049225
2025-07-21,4.516769,4.599979,0.08321,4.574009,0.019715
2025-07-22,4.419889,4.8699,0.450015,4.725739,0.115633
2025-07-23,4.92003,5.08893,0.168905,4.96786,0.038529
2025-07-25,6.325439,7.029789,0.704352,6.767509,0.18375
2025-07-26,6.55205,7.219769,0.66772,6.950339,0.177466
2025-07-28,5.800119,6.48424,0.684127,6.001729,0.178935
2025-07-29,6.380099,7.18119,0.801082,6.59308,0.215186
