date,minimum,maximum,range,mean,std
2025-04-23,3.710299,3.975349,0.265051,3.794009,0.048092
2025-04-24,3.710629,4.12968,0.419055,3.89153,0.104753
2025-04-25,3.25619,3.487519,0.231325,3.355649,0.031423
2025-04-26,3.960279,4.22264,0.262367,4.046319,0.061989
2025-04-27,3.6607,4.124619,0.463925,3.862309,0.117297
2025-04-28,4.628729,4.83922,0.21049,4.76513,0.049212
2025-04-29,3.73075,4.3547,0.623946,3.96018,0.146323
2025-04-30,1.172019,1.35973,0.18771,1.286829,0.040417
2025-05-01,3.19386,3.38189,0.188033,3.30303,0.026604
2025-05-02,1.95764,2.257899,0.300265,2.044009,0.067653
2025-05-05,3.448889,3.799479,0.350596,3.64748,0.088842
2025-05-07,3.82025,4.082779,0.262531,3.899909,0.058921
2025-05-10,1.91688,2.089639,0.172756,2.02002,0.02701
2025-05-14,2.763499,3.2379,0.474404,3.076809,0.066094
2025-05-15,3.41594,3.67986,0.263918,3.63978,0.034984
2025-05-16,4.100349,4.43062,0.330265,4.209939,0.075216
2025-05-17,4.010439,4.37509,0.364648,4.143469,0.083994
2025-05-18,3.15773,3.63508,0.477349,3.3257,0.085005
2025-05-19,1.8508,2.62115,0.77035,2.101929,0.172549
2025-05-20,3.290519,3.86873,0.578212,3.459929,0.133229
2025-05-21,4.05059,4.59142,0.540827,4.23385,0.120393
2025-05-22,4.12024,4.38147,0.261227,4.197999,0.056651
2025-05-23,4.280779,4.84981,0.569033,4.51033,0.138269
2025-05-24,4.560599,5.04952,0.488912,4.741119,0.114515
2025-05-25,4.44037,4.87082,0.430453,4.56295,0.098771
2025-05-26,4.56848,4.75811,0.189629,4.61218,0.04418
2025-05-27,4.73072,5.307849,0.577135,4.94569,0.135369
2025-05-28,4.90071,5.5001,0.59939,5.11531,0.138923
2025-05-29,4.96072,5.600289,0.639572,5.18266,0.145688
2025-05-30,4.940579,5.337649,0.397071,5.1078,0.099234
2025-05-31,4.490869,5.21222,0.721343,4.755899,0.170557
2025-06-01,3.8605,4.34918,0.488676,4.015739,0.112276
2025-06-02,4.543419,4.829599,0.286182,4.63707,0.064613
2025-06-03,3.976399,4.34947,0.373068,4.210209,0.077502
2025-07-06,6.090229,6.55415,0.463916,6.184539,0.105719
2025-07-07,5.870349,6.284309,0.413953,5.98879,0.094617
2025-07-08,5.721089,6.625209,0.904123,6.050809,0.213063
2025-07-09,6.060639,6.436989,0.376349,6.187079,0.06935
2025-07-10,5.36252,5.90837,0.545846,5.56854,0.083271
2025-07-11,3.9746,4.504909,0.530312,4.308279,0.09505
2025-07-12,4.445489,5.08614,0.640648,4.88146,0.102605
2025-07-13,4.250559,4.84908,0.598526,4.432069,0.138859
2025-07-14,5.468269,5.818749,0.350483,5.604869,0.065817
2025-07-15,5.580629,6.07594,0.495312,5.769519,0.117688
2025-07-16,6.370369,6.94673,0.576362,6.505799,0.124922
2025-07-18,4.36072,5.088359,0.727634,4.590529,0.160558
2025-07-19,4.36843,4.892079,0.523653,4.58358,0.082637
2025-07-20,3.941999,4.39196,0.449957,4.11036,0.082529
2025-07-21,4.550439,5.052659,0.502215,4.698289,0.115038
2025-07-22,4.7501,5.316959,0.566856,4.930319,0.10969
2025-07-23,5.1083,5.642509,0.534209,5.33045,0.088952
2025-07-25,5.670549,6.139369,0.468818,5.84249,0.11151
2025-07-26,5.56049,6.03585,0.475356,5.71646,0.109683
2025-07-28,5.72033,6.15425,0.433921,5.83534,0.098147
2025-07-29,5.92034,6.36357,0.44323,6.038,0.10108
2025-07-30,5.260839,5.955629,0.694787,5.516489,0.163099
2025-07-31,5.17075,5.92886,0.758112,5.41089,0.17222
2025-08-01,5.3104,5.80283,0.492428,5.4467,0.109926
2025-08-02,5.37081,6.08855,0.717743,5.62235,0.166875
2025-08-03,5.071139,6.075819,1.00467,5.42632,0.234014
2025-08-04,4.75109,5.66717,0.916076,5.08503,0.216076
2025-08-05,4.95064,5.546599,0.59596,5.15101,0.135295
2025-08-06,5.130559,5.716559,0.585995,5.31443,0.135854
2025-08-07,5.310339,5.71956,0.40922,5.421309,0.080386
2025-08-08,5.220489,5.711949,0.491457,5.379799,0.111955
2025-08-09,5.21037,5.594019,0.383657,5.329969,0.088636
2025-08-10,5.360589,6.06547,0.70487,5.563069,0.162201
2025-08-11,5.01375,5.31816,0.30441,5.12578,0.059737
2025-08-12,4.417779,5.39723,0.979447,4.73815,0.200651
2025-08-13,5.2424,5.53025,0.287853,5.44008,0.049384
2025-08-18,4.68028,5.140759,0.460482,4.785689,0.103359
2025-08-19,4.71151,5.04898,0.337475,4.92461,0.056437
2025-08-20,4.37395,4.737999,0.36405,4.59702,0.052293
2025-08-21,3.89036,4.203289,0.312931,4.000189,0.07427
2025-08-22,4.160699,4.72411,0.563414,4.372839,0.135365
2025-08-23,4.3007,4.924089,0.62339,4.518509,0.146254
2025-08-24,4.593659,4.989399,0.395741,4.704259,0.076372
2025-08-25,4.683169,4.989309,0.30614,4.76415,0.065401
2025-08-26,4.77458,4.97802,0.20344,4.897729,0.037296
2025-08-28,4.13851,4.565859,0.42735,4.342289,0.069313
2025-08-29,3.556289,4.149429,0.593134,4.014369,0.0942
2025-08-30,3.893419,4.3211,0.427673,4.187839,0.07145
2025-08-31,2.92792,3.53093,0.603012,3.3789,0.096761
2025-09-01,3.18934,3.54659,0.357246,3.365109,0.060511
2025-09-02,2.86394,3.369299,0.505358,3.178529,0.10609
2025-09-03,2.3805,3.084939,0.704439,2.9059,0.109935
2025-09-04,3.070879,3.59889,0.528016,3.23228,0.108512
2025-09-05,3.920269,4.25177,0.331506,4.012239,0.075978
2025-09-06,4.2992,4.969979,0.670783,4.76796,0.112145
2025-09-07,2.580199,2.82165,0.241449,2.645339,0.057246
2025-09-08,3.843549,4.029799,0.186253,3.98125,0.034696
2025-09-09,2.96157,3.467499,0.505928,3.185739,0.081869
2025-09-11,2.235769,3.002379,0.766611,2.753959,0.108788
2025-09-13,3.15754,3.595809,0.438275,3.358469,0.071211
2025-09-14,3.59924,3.90276,0.303521,3.7086,0.049774
2025-09-15,3.71805,3.999969,0.281919,3.89786,0.046424
2025-09-16,3.49042,3.893039,0.402622,3.623939,0.094606
2025-09-17,3.70672,4.05879,0.352072,3.78969,0.081702
2025-09-18,3.709409,4.132589,0.42318,3.935539,0.062298
2025-09-19,3.520649,4.121379,0.600727,3.666909,0.139248
2025-09-20,2.31444,2.793479,0.479036,2.48424,0.07832
