date,minimum,maximum,range,mean,std
2025-04-23,3.673569,3.862159,0.188593,3.78197,0.045008
2025-04-24,4.017029,4.212759,0.195728,4.119339,0.047483
2025-04-25,1.97352,2.95899,0.985468,2.50283,0.250831
2025-04-26,3.943209,4.41929,0.476081,4.185019,0.119782
2025-04-27,4.290729,4.39585,0.10512,4.33924,0.023556
2025-04-28,4.21605,4.594319,0.378268,4.426149,0.096244
2025-04-29,4.123919,4.372389,0.248476,4.267769,0.064505
2025-04-30,1.01125,1.050279,0.039025,1.03796,0.007337
2025-05-01,3.08961,3.29217,0.202555,3.22581,0.052189
2025-05-02,2.03746,2.163419,0.125958,2.115999,0.030112
2025-05-05,2.789259,3.186029,0.396775,3.01318,0.099299
2025-05-07,3.63431,3.907799,0.273483,3.821779,0.070585
2025-05-10,1.716189,2.18507,0.468879,2.01337,0.12513
2025-05-14,2.873769,3.12717,0.253403,3.01617,0.063982
2025-05-15,3.72602,3.93434,0.208322,3.836849,0.056897
2025-05-16,4.35477,4.49585,0.141077,4.43787,0.032552
2025-05-17,3.92402,4.17384,0.249815,4.09208,0.060485
2025-05-18,2.43175,3.010989,0.579235,2.744649,0.148473
2025-05-19,2.303329,2.607769,0.304435,2.492609,0.070873
2025-05-20,4.054389,4.22973,0.175337,4.1247,0.046743
2025-05-21,4.182109,4.524869,0.342756,4.36347,0.083747
2025-05-22,4.129889,4.31714,0.187251,4.24628,0.044916
2025-05-23,4.64096,4.931769,0.290809,4.814149,0.074977
2025-05-24,4.47268,4.96329,0.490601,4.75465,0.123851
2025-05-25,4.117169,4.723979,0.606809,4.452539,0.151874
2025-05-26,4.09204,4.49558,0.403544,4.31326,0.099322
2025-05-27,4.58854,5.158539,0.570002,4.905099,0.141589
2025-05-28,4.80283,5.309619,0.506789,5.087029,0.126085
2025-05-29,4.87333,5.37229,0.498953,5.16126,0.132461
2025-05-30,4.808839,5.296979,0.488133,5.04746,0.116626
2025-05-31,4.56861,5.10047,0.531861,4.85752,0.133175
2025-06-01,3.30112,3.83837,0.537257,3.62939,0.136754
2025-06-02,4.618559,4.83933,0.220769,4.712019,0.053977
2025-06-03,3.419929,3.53342,0.11349,3.46846,0.024212
2025-07-06,5.244379,6.20412,0.959739,5.747489,0.250559
2025-07-07,5.760139,6.36426,0.604115,6.03939,0.154029
2025-07-08,6.356309,6.603409,0.247105,6.481969,0.055564
2025-07-09,5.13422,5.8522,0.717979,5.49303,0.185317
2025-07-10,4.482289,5.1135,0.631211,4.711679,0.156204
2025-07-11,2.844449,3.202549,0.358099,3.027369,0.090121
2025-07-12,3.331949,4.540009,1.20807,3.965359,0.308021
2025-07-13,4.04601,4.83719,0.791186,4.447539,0.203626
2025-07-14,4.565239,5.364749,0.799508,4.9963,0.204593
2025-07-15,5.18859,5.873169,0.684587,5.569509,0.179921
2025-07-16,5.14828,6.19,1.04172,5.692059,0.270655
2025-07-18,4.23998,4.83268,0.592694,4.52745,0.151605
2025-07-19,3.59588,4.56922,0.973342,4.09708,0.249743
2025-07-20,3.748699,4.0012,0.252492,3.880379,0.066768
2025-07-21,4.161019,4.753859,0.592837,4.47649,0.153663
2025-07-22,4.543029,4.982709,0.439682,4.753499,0.116331
2025-07-23,4.633279,5.43373,0.800453,5.04152,0.205348
2025-07-25,5.30448,5.910789,0.606312,5.66963,0.155352
2025-07-26,4.968239,5.884359,0.916123,5.50823,0.241521
2025-07-28,5.480559,5.96574,0.485183,5.723929,0.123806
