date,minimum,maximum,range,mean,std
2025-04-23,3.69615,3.94156,0.245408,3.82205,0.055376
2025-04-24,4.03346,4.2259,0.192444,4.136789,0.042791
2025-04-25,2.068429,3.120399,1.051959,2.648469,0.252229
2025-04-26,3.976459,4.403299,0.426842,4.143199,0.087625
2025-04-27,4.187469,4.31751,0.130042,4.282299,0.027601
2025-04-28,4.249579,4.597889,0.348302,4.443099,0.084453
2025-04-29,4.14578,4.35933,0.213543,4.23928,0.044444
2025-04-30,1.02046,1.12939,0.108929,1.06067,0.022788
2025-05-01,3.115819,3.27919,0.16337,3.21474,0.033992
2025-05-02,2.03727,2.146879,0.109608,2.10243,0.024504
2025-05-05,2.83678,3.33287,0.496095,3.10273,0.114384
2025-05-07,3.67334,3.933389,0.260051,3.842,0.064413
2025-05-10,1.767889,2.16371,0.395821,1.98622,0.08402
2025-05-14,2.845839,3.11979,0.273954,2.985919,0.061582
2025-05-15,3.552759,3.916719,0.363954,3.787659,0.077017
2025-05-16,4.32912,4.461679,0.132559,4.39868,0.024835
2025-05-17,3.962879,4.314919,0.352043,4.142799,0.079552
2025-05-18,2.48462,3.07201,0.587392,2.82312,0.148321
2025-05-19,2.340759,2.51078,0.170013,2.428129,0.040436
2025-05-20,3.628299,4.199419,0.571116,4.008649,0.130838
2025-05-21,4.213319,4.55388,0.340566,4.38767,0.072557
2025-05-22,4.15601,4.313469,0.157462,4.254899,0.033572
2025-05-23,4.669419,4.93724,0.267818,4.8049,0.054428
2025-05-24,4.522679,4.9854,0.462727,4.79109,0.107744
2025-05-25,4.172399,4.74093,0.56853,4.473919,0.123245
2025-05-26,4.132989,4.542719,0.409734,4.380099,0.104924
2025-05-27,4.644839,5.19081,0.545966,4.96993,0.135003
2025-05-28,4.853479,5.35078,0.497299,5.146319,0.120949
2025-05-29,4.92531,5.38837,0.463059,5.20019,0.11417
2025-05-30,4.847869,5.33921,0.491344,5.12759,0.123005
2025-05-31,4.615799,5.131219,0.515425,4.886419,0.112893
2025-06-01,3.36841,4.04999,0.681581,3.741729,0.162122
2025-06-02,4.60295,4.867529,0.264578,4.69711,0.055409
2025-06-03,3.456279,3.906569,0.450289,3.598839,0.111326
2025-07-06,5.320469,6.19003,0.869553,5.77536,0.193487
2025-07-07,5.792349,6.3308,0.538453,5.996679,0.10574
2025-07-08,6.37336,6.4938,0.12044,6.434189,0.026568
2025-07-09,5.190869,5.98958,0.798717,5.624159,0.203589
2025-07-10,4.60655,5.24796,0.641402,4.87157,0.166656
2025-07-11,2.889149,3.718039,0.828891,3.242769,0.197989
2025-07-12,3.43283,4.539889,1.107059,4.019589,0.247492
2025-07-13,4.1023,4.82309,0.720789,4.42398,0.145636
2025-07-14,4.639329,5.379409,0.740079,5.0777,0.186452
2025-07-15,5.258019,5.9531,0.695077,5.6343,0.164708
2025-07-16,5.24059,6.38209,1.141489,5.83088,0.267006
2025-07-18,4.281919,4.82028,0.538357,4.5598,0.123475
2025-07-19,3.66455,4.53835,0.873799,4.102059,0.186673
2025-07-20,3.767199,4.010489,0.243285,3.88172,0.052433
2025-07-21,4.21175,4.765739,0.553993,4.51407,0.129473
2025-07-22,4.567699,4.987229,0.419537,4.738609,0.084569
2025-07-23,4.68833,5.40499,0.71666,5.01667,0.145971
2025-07-25,5.372889,5.940539,0.567649,5.70906,0.136362
2025-07-26,5.06114,5.85365,0.792501,5.52745,0.184882
2025-07-28,5.512119,5.95297,0.440852,5.723659,0.094349
