date,minimum,maximum,range,mean,std
2025-04-23,3.84488,3.971909,0.12703,3.888979,0.0281
2025-04-24,4.31686,4.494629,0.177763,4.38042,0.048228
2025-04-25,3.272389,3.852869,0.580474,3.47796,0.144134
2025-04-26,4.331409,4.502419,0.171011,4.393159,0.043127
2025-04-27,4.1339,4.3186,0.184699,4.25957,0.044239
2025-04-28,4.58223,4.6479,0.065662,4.61039,0.019516
2025-04-29,4.531869,4.962359,0.430485,4.68894,0.110031
2025-04-30,1.00399,1.03041,0.026421,1.014199,0.005829
2025-05-01,3.37842,3.61349,0.235065,3.469439,0.060318
2025-05-02,2.28132,2.596339,0.315014,2.421849,0.079544
2025-05-05,3.10326,3.299789,0.19653,3.191139,0.036877
2025-05-07,3.88274,3.90367,0.020929,3.895129,0.005146
2025-05-10,2.42259,2.887079,0.464493,2.612709,0.120713
2025-05-14,3.15263,3.277349,0.124721,3.21805,0.02944
2025-05-15,3.76271,4.135509,0.372797,3.911259,0.093193
2025-05-16,4.29687,4.46073,0.163853,4.393499,0.041052
2025-05-17,4.00779,4.14432,0.136524,4.098649,0.0327
2025-05-18,3.29797,3.668009,0.370036,3.450439,0.096155
2025-05-19,2.58678,2.674449,0.08767,2.63751,0.021938
2025-05-20,4.162759,4.57726,0.414505,4.312459,0.109353
2025-05-21,4.591639,4.857699,0.266059,4.684189,0.062794
2025-05-22,4.25466,4.34533,0.090669,4.294069,0.017064
2025-05-23,4.98596,5.024829,0.038875,5.00212,0.009017
2025-05-24,5.081729,5.185249,0.103517,5.12575,0.024653
2025-05-25,4.95374,5.32416,0.370415,5.07949,0.097263
2025-05-26,4.26791,4.523349,0.255443,4.384729,0.066477
2025-05-27,5.22439,5.30423,0.079836,5.268199,0.017116
2025-05-28,5.55549,5.93512,0.379631,5.699989,0.102916
2025-05-29,5.65247,6.006149,0.353682,5.798639,0.096595
2025-05-30,5.513609,5.88668,0.373068,5.637579,0.09955
2025-05-31,5.42463,5.916679,0.492042,5.61803,0.133138
2025-06-01,4.13217,4.715079,0.582913,4.36564,0.153046
2025-06-02,4.773859,4.90391,0.130052,4.828509,0.029611
2025-06-03,3.315979,3.58906,0.273084,3.41213,0.054623
2025-07-06,6.47693,6.783589,0.30665,6.61275,0.068089
2025-07-07,6.209499,6.503849,0.294353,6.366139,0.074387
2025-07-08,6.64343,6.79088,0.14745,6.735099,0.031553
2025-07-09,6.121089,6.209589,0.088493,6.18478,0.020245
2025-07-10,5.465229,5.99277,0.52754,5.71248,0.120007
2025-07-11,2.995409,3.331799,0.336385,3.17067,0.082269
2025-07-12,4.503359,4.798419,0.295055,4.63387,0.079098
2025-07-13,5.166969,5.45061,0.283639,5.29224,0.068611
2025-07-14,5.64581,5.903429,0.25762,5.76871,0.060392
2025-07-15,6.082079,6.208199,0.126114,6.16759,0.027576
2025-07-16,6.75217,7.44817,0.695998,7.068019,0.185644
2025-07-18,5.08163,5.456649,0.375016,5.240499,0.096716
2025-07-19,4.98494,5.45893,0.473989,5.175789,0.124591
2025-07-20,4.266699,4.73987,0.47317,4.477499,0.123214
2025-07-21,5.119669,5.571119,0.451456,5.324329,0.121439
2025-07-22,5.24766,5.52287,0.275216,5.38956,0.071731
2025-07-23,5.69601,6.02368,0.32767,5.83015,0.081037
2025-07-25,6.11601,6.24735,0.131346,6.20127,0.031054
2025-07-26,6.20403,6.392119,0.188081,6.2971,0.0519
2025-07-28,6.18578,6.32129,0.135509,6.2786,0.031659
2025-07-29,6.312749,6.514659,0.201906,6.443049,0.046139
2025-07-30,6.096749,6.214839,0.118086,6.16822,0.027078
2025-07-31,6.139999,6.37786,0.23786,6.25354,0.062792
