date,minimum,maximum,range,mean,std
2025-04-23,3.74761,3.991139,0.243538,3.85095,0.057597
2025-04-24,4.088029,4.30162,0.213596,4.18436,0.05564
2025-04-25,2.250339,2.413389,0.163055,2.32767,0.041603
2025-04-26,3.86347,4.079339,0.215864,3.97877,0.054356
2025-04-27,4.70055,4.774809,0.074257,4.73669,0.017403
2025-04-28,4.843259,4.936759,0.093499,4.89938,0.022663
2025-04-29,4.16026,4.286359,0.126102,4.213479,0.024796
2025-04-30,1.173879,1.28864,0.114757,1.22501,0.024577
2025-05-01,3.579849,3.864259,0.284415,3.72129,0.069717
2025-05-02,2.43881,2.56708,0.12827,2.51043,0.034209
2025-05-05,2.326869,2.635839,0.30897,2.500689,0.07148
2025-05-07,3.89119,4.09776,0.206569,3.988579,0.043615
2025-05-10,3.031359,3.34925,0.317898,3.218019,0.07744
2025-05-14,3.410599,3.57709,0.16649,3.525269,0.034084
2025-05-15,3.943909,4.191259,0.247347,4.06927,0.052993
2025-05-16,4.73923,4.844089,0.104869,4.802579,0.023509
2025-05-17,4.57622,4.7817,0.20548,4.6921,0.051036
2025-05-18,2.405839,2.774379,0.368544,2.60488,0.090098
2025-05-19,3.156579,3.58044,0.423855,3.37504,0.102122
2025-05-20,4.069519,4.353089,0.283569,4.202129,0.063451
2025-05-21,4.250999,4.46535,0.21435,4.371719,0.044775
2025-05-22,4.11179,4.382369,0.270577,4.22792,0.066393
2025-05-23,4.81963,5.17252,0.352892,5.005949,0.087166
2025-05-24,5.091889,5.382579,0.29069,5.224589,0.066209
2025-05-25,4.474289,4.71596,0.241664,4.585149,0.064915
2025-05-26,4.03802,4.3175,0.27948,4.175069,0.071369
2025-05-27,4.83748,5.074429,0.236949,4.947919,0.062357
2025-05-28,4.94429,5.265389,0.321103,5.11137,0.081342
2025-05-29,5.458539,5.81371,0.355167,5.633339,0.087849
2025-05-30,4.796609,5.098659,0.302051,4.938749,0.078023
2025-05-31,4.77675,5.21432,0.437579,4.9991,0.112516
2025-06-01,3.09621,3.609319,0.513113,3.385099,0.126146
2025-06-02,4.094979,4.33579,0.240813,4.21466,0.059612
2025-06-03,3.219779,3.4486,0.228815,3.370389,0.054182
2025-07-06,5.4207,5.85303,0.432339,5.645609,0.114073
2025-07-07,5.296609,5.950049,0.653437,5.64867,0.164644
2025-07-08,7.08404,7.413159,0.32912,7.27257,0.083347
2025-07-09,5.194119,5.804329,0.610207,5.51174,0.150584
2025-07-10,4.266819,4.69289,0.42607,4.47265,0.113765
2025-07-11,2.239459,2.477499,0.23804,2.3768,0.056664
2025-07-12,2.963229,3.614399,0.651162,3.35067,0.159557
2025-07-13,4.59701,4.945059,0.348049,4.79079,0.088167
2025-07-14,4.91862,5.403409,0.484789,5.187449,0.12458
2025-07-15,5.590149,6.130939,0.54079,5.900589,0.138781
2025-07-16,5.50927,6.18616,0.676891,5.834599,0.170726
2025-07-18,4.52114,4.910359,0.389218,4.724649,0.096176
2025-07-19,4.3435,4.845139,0.501641,4.622849,0.125239
2025-07-20,4.109099,4.461939,0.35284,4.314869,0.083083
2025-07-21,4.883359,5.306089,0.422733,5.11448,0.108613
2025-07-22,4.904389,5.39818,0.493791,5.16651,0.12799
2025-07-23,4.61063,4.97313,0.3625,4.81571,0.092178
2025-07-25,6.978069,7.23888,0.260812,7.101459,0.070159
