date,minimum,maximum,range,mean,std
2025-04-23,3.854279,3.92293,0.068654,3.892819,0.01615
2025-04-24,4.384739,4.55338,0.168644,4.462729,0.039815
2025-04-25,3.3031,3.66036,0.357259,3.558219,0.080702
2025-04-26,4.365709,4.468339,0.102632,4.40627,0.021437
2025-04-27,4.3055,4.514979,0.209475,4.403999,0.052612
2025-04-28,4.620639,4.687779,0.067134,4.654449,0.01727
2025-04-29,4.44987,4.69924,0.249368,4.58436,0.054679
2025-04-30,0.959948,1.02251,0.062565,1.00336,0.013114
2025-05-01,3.439419,3.529109,0.089689,3.49496,0.021066
2025-05-02,2.278249,2.48195,0.203706,2.407619,0.049169
2025-05-05,2.97841,3.151609,0.173201,3.089319,0.045244
2025-05-07,3.902179,3.99299,0.090811,3.94456,0.023557
2025-05-10,2.56709,2.71439,0.147304,2.626679,0.035509
2025-05-14,3.360369,3.539119,0.178747,3.44333,0.034841
2025-05-15,3.823829,3.981879,0.158048,3.906389,0.031632
2025-05-16,4.42735,4.643479,0.216132,4.51198,0.056097
2025-05-17,4.19982,4.589759,0.389943,4.33682,0.098378
2025-05-18,3.63646,3.80184,0.165384,3.71357,0.034104
2025-05-19,2.71704,2.84327,0.12623,2.774339,0.030003
2025-05-20,4.18859,4.375289,0.186708,4.29756,0.038835
2025-05-21,4.6817,4.74649,0.064791,4.714739,0.014846
2025-05-22,4.28761,4.41613,0.128519,4.33921,0.033622
2025-05-23,5.05584,5.25571,0.199864,5.13977,0.052638
2025-05-24,5.179679,5.48893,0.309248,5.308819,0.0809
2025-05-25,5.05095,5.336209,0.285255,5.216279,0.070151
2025-05-26,4.437789,4.70556,0.267767,4.58023,0.068298
2025-05-27,5.338409,5.650949,0.312548,5.458509,0.082954
2025-05-28,5.718729,6.08196,0.363238,5.893469,0.090326
2025-05-29,5.838399,6.28727,0.44887,6.042689,0.111599
2025-05-30,5.57102,6.015719,0.4447,5.79327,0.109503
2025-05-31,5.67804,6.16201,0.483967,5.92007,0.11952
2025-06-01,4.440219,4.79817,0.357944,4.64166,0.085362
2025-06-02,4.895269,5.156539,0.261272,5.00857,0.066161
2025-06-03,3.06691,3.33889,0.271981,3.218339,0.062897
2025-07-06,6.58009,6.69426,0.114169,6.650259,0.025576
2025-07-07,6.39469,6.847889,0.453202,6.589719,0.108787
2025-07-08,6.95168,7.452839,0.50116,7.189509,0.119915
2025-07-09,6.363389,7.04859,0.685195,6.635419,0.172511
2025-07-10,5.92187,6.261569,0.339708,6.085259,0.083037
2025-07-11,3.306849,3.9658,0.658954,3.61347,0.139667
2025-07-12,4.67879,5.127989,0.4492,4.902719,0.103837
2025-07-13,5.301549,5.649059,0.347505,5.463749,0.087142
2025-07-14,5.82875,6.212339,0.383581,5.996769,0.100244
2025-07-15,6.27647,6.685989,0.409516,6.434669,0.10356
2025-07-16,7.271729,7.90631,0.634579,7.55128,0.161689
2025-07-18,5.29497,5.58852,0.293545,5.443459,0.076339
2025-07-19,5.1708,5.49032,0.319514,5.34877,0.082999
2025-07-20,4.475739,4.812489,0.336757,4.645599,0.08232
2025-07-21,5.380589,5.860929,0.480338,5.6068,0.123764
2025-07-22,5.478,5.93894,0.460943,5.686699,0.117794
2025-07-23,5.797329,6.01194,0.214612,5.92601,0.055782
2025-07-25,6.40664,6.878379,0.47174,6.60402,0.129282
2025-07-26,6.335949,6.84937,0.513424,6.55,0.131319
2025-07-28,6.45163,7.00427,0.55264,6.69045,0.135991
2025-07-29,6.651189,7.3066,0.655412,6.89792,0.163473
2025-07-30,6.367899,6.94319,0.575287,6.59275,0.14834
2025-07-31,6.387829,6.727809,0.339976,6.529089,0.089674
2025-08-01,5.795969,6.467649,0.671675,6.07419,0.165895
2025-08-02,5.99588,6.39799,0.402108,6.19245,0.097398
2025-08-03,6.481959,7.118309,0.63634,6.73261,0.163408
2025-08-04,6.39551,7.09486,0.699346,6.691209,0.174411
2025-08-05,6.322549,6.857739,0.535187,6.545489,0.136768
2025-08-06,6.132579,6.950369,0.81779,6.44357,0.209839
2025-08-07,6.220119,6.93131,0.711193,6.528659,0.175369
2025-08-08,6.05309,6.68299,0.629891,6.310999,0.155689
