date,minimum,maximum,range,mean,std
2025-04-23,3.766429,3.942199,0.175769,3.837709,0.036765
2025-04-24,4.199279,4.472169,0.272893,4.322179,0.064024
2025-04-25,3.49649,3.780669,0.284173,3.64345,0.057174
2025-04-26,4.35759,4.459799,0.102206,4.400939,0.020441
2025-04-27,4.20052,4.39015,0.189636,4.308609,0.030298
2025-04-28,4.596469,4.71068,0.114212,4.64795,0.024847
2025-04-29,4.37924,4.861959,0.482728,4.55695,0.098485
2025-04-30,0.991698,1.03339,0.041688,1.01592,0.00749
2025-05-01,3.291919,3.57573,0.283807,3.410419,0.061903
2025-05-02,2.36485,2.552599,0.187748,2.475219,0.031608
2025-05-05,3.13138,3.23861,0.107225,3.18297,0.017636
2025-05-07,3.80714,3.95495,0.147813,3.89175,0.027507
2025-05-10,2.389709,2.8113,0.421584,2.52742,0.094331
2025-05-14,3.324399,3.67258,0.348176,3.490159,0.08448
2025-05-15,3.63115,4.064159,0.43301,3.800309,0.094461
2025-05-16,4.3466,4.47122,0.12462,4.407969,0.023502
2025-05-17,4.018899,4.26271,0.243814,4.13838,0.047895
2025-05-18,3.459959,3.793709,0.333745,3.65084,0.064708
2025-05-19,2.683619,3.152499,0.468887,2.879479,0.115066
2025-05-20,3.92173,4.49165,0.569926,4.151629,0.123988
2025-05-21,4.574729,4.804989,0.230265,4.64642,0.048061
2025-05-22,4.13846,4.333079,0.194621,4.24804,0.043264
2025-05-23,4.9105,5.09586,0.18535,5.00603,0.036682
2025-05-24,4.90348,5.22765,0.324173,5.07808,0.074323
2025-05-25,4.64936,5.26176,0.612402,4.939589,0.13781
2025-05-26,4.32986,4.618549,0.288691,4.5145,0.06009
2025-05-27,5.08782,5.362679,0.274861,5.249529,0.059755
2025-05-28,5.32313,5.89367,0.570545,5.59246,0.133698
2025-05-29,5.379399,5.99736,0.617962,5.681019,0.14631
2025-05-30,4.979469,5.82808,0.848608,5.41049,0.194982
2025-05-31,5.090189,5.88241,0.792218,5.478909,0.185571
2025-06-01,4.04569,4.65346,0.607775,4.307479,0.139644
2025-06-02,4.84492,4.98036,0.135445,4.89442,0.027705
2025-06-03,3.130729,3.483409,0.352681,3.26635,0.068618
2025-07-06,6.17182,6.723589,0.55177,6.465869,0.124797
2025-07-07,6.15568,6.50676,0.351085,6.35196,0.066193
2025-07-08,6.733789,7.13211,0.398322,6.900609,0.096762
2025-07-09,5.94151,6.487209,0.545692,6.227359,0.109783
2025-07-10,5.65247,6.066979,0.414516,5.82483,0.09262
2025-07-11,3.13156,4.28235,1.150789,3.794929,0.267302
2025-07-12,4.5728,4.913809,0.341013,4.73458,0.063556
2025-07-13,4.80877,5.42385,0.615077,5.149489,0.148343
2025-07-14,5.382689,5.894519,0.511837,5.681409,0.125852
2025-07-15,5.91687,6.296909,0.380037,6.137279,0.096299
2025-07-16,6.44324,7.418079,0.974839,6.9674,0.242657
2025-07-18,4.821169,5.421179,0.600013,5.13106,0.14086
2025-07-19,4.62972,5.39683,0.767113,5.010459,0.176066
2025-07-20,4.006619,4.68364,0.677015,4.347439,0.158259
2025-07-21,4.79988,5.54401,0.744131,5.18311,0.181555
2025-07-22,4.891759,5.55174,0.659983,5.2753,0.160793
2025-07-23,5.3301,5.97547,0.645372,5.66438,0.146378
2025-07-25,6.012239,6.492459,0.480217,6.251959,0.109117
2025-07-26,5.75639,6.420979,0.664595,6.13452,0.164561
2025-07-28,6.05128,6.563409,0.512136,6.306069,0.109807
2025-07-29,6.098919,6.70134,0.602421,6.430369,0.148061
2025-07-30,5.922279,6.42995,0.507667,6.18728,0.117976
2025-07-31,5.997019,6.409949,0.412925,6.22757,0.107757
2025-08-01,5.421619,5.941949,0.520327,5.679689,0.099283
2025-08-02,5.78878,6.139259,0.350477,5.943699,0.071014
2025-08-03,5.997079,6.533339,0.536264,6.273029,0.136601
2025-08-04,5.69466,6.58687,0.89221,6.104249,0.233823
2025-08-05,5.734819,6.40252,0.667697,6.072859,0.177665
2025-08-06,5.457749,6.17455,0.716796,5.865369,0.182322
2025-08-07,5.44248,6.42112,0.978639,5.95657,0.241403
2025-08-08,5.475949,6.18764,0.711694,5.83998,0.179829
