date,minimum,maximum,range,mean,std
2025-04-23,2.78585,3.776259,0.99041,3.43752,0.24292
2025-04-24,3.567859,4.37266,0.804802,4.10293,0.198923
2025-04-25,1.93646,3.274369,1.337919,2.70547,0.321354
2025-04-26,3.50375,4.297979,0.794233,4.032989,0.189132
2025-04-27,4.33151,4.56223,0.230724,4.459259,0.053929
2025-04-28,4.32834,4.60959,0.281253,4.507689,0.062498
2025-04-29,3.739909,4.51378,0.773869,4.090219,0.179083
2025-04-30,0.899317,0.979165,0.079848,0.937475,0.016406
2025-05-01,2.789769,3.419159,0.629383,3.144419,0.152209
2025-05-02,1.886639,2.334759,0.448119,2.0899,0.102714
2025-05-05,1.947829,2.959789,1.01196,2.57153,0.235955
2025-05-07,3.157269,3.80907,0.651799,3.58852,0.154701
2025-05-10,1.864019,2.59961,0.735593,2.32171,0.168096
2025-05-14,2.52108,3.2613,0.740221,2.97319,0.166573
2025-05-15,2.86184,3.84727,0.985432,3.483599,0.231898
2025-05-16,3.74885,4.547019,0.798166,4.26302,0.169561
2025-05-17,3.499619,4.375619,0.876004,4.016749,0.186248
2025-05-18,2.22843,3.43926,1.210819,3.01023,0.30687
2025-05-19,1.933859,2.634749,0.700886,2.40651,0.1705
2025-05-20,2.90612,4.20512,1.299,3.726229,0.309924
2025-05-21,2.954459,4.49593,1.54147,3.956549,0.376266
2025-05-22,3.10273,4.1974,1.09467,3.84501,0.267663
2025-05-23,4.359039,5.124579,0.765542,4.85362,0.166979
2025-05-24,4.113059,5.245739,1.13268,4.83673,0.266216
2025-05-25,3.488679,5.036039,1.547359,4.519279,0.386698
2025-05-26,3.165869,4.47242,1.30655,4.0079,0.296216
2025-05-27,4.02574,5.332339,1.306599,4.859749,0.310169
2025-05-28,4.59979,5.789169,1.18938,5.36028,0.296959
2025-05-29,5.073629,6.04476,0.971129,5.67527,0.22812
2025-05-30,4.032619,5.62607,1.593449,5.066259,0.400626
2025-05-31,4.333479,5.835499,1.50202,5.298769,0.360668
2025-06-01,3.344259,4.520199,1.17594,4.106259,0.294232
2025-06-02,3.34873,4.79254,1.443819,4.28232,0.348791
2025-06-03,2.123579,3.16051,1.036919,2.7202,0.234845
2025-07-06,6.426539,6.65847,0.231934,6.556849,0.048323
2025-07-07,6.448989,6.80549,0.356509,6.66295,0.084758
2025-07-08,7.019539,7.572299,0.552757,7.295149,0.116131
2025-07-09,6.42571,6.868,0.442294,6.61908,0.095941
2025-07-10,5.143139,5.95445,0.811307,5.60784,0.189481
2025-07-11,2.69347,3.19367,0.5002,2.978719,0.112685
2025-07-12,4.26233,4.866839,0.604503,4.59557,0.127809
2025-07-13,5.222829,5.506229,0.283394,5.37508,0.061216
2025-07-14,5.81891,6.12441,0.3055,5.966199,0.063959
2025-07-15,6.372139,6.63522,0.263074,6.516779,0.063002
2025-07-16,7.095349,7.641119,0.545774,7.382219,0.119336
2025-07-18,5.157209,5.49695,0.339749,5.353129,0.076623
2025-07-19,5.105879,5.39856,0.292676,5.268449,0.063845
2025-07-20,4.435949,4.700419,0.26447,4.584489,0.060715
2025-07-21,5.52883,5.83014,0.30131,5.66749,0.064099
2025-07-22,5.649889,5.96851,0.318619,5.79718,0.086221
2025-07-23,5.48422,5.917039,0.432823,5.739439,0.10232
2025-07-25,6.56394,7.40872,0.844779,6.940589,0.178945
