date,minimum,maximum,range,mean,std
2025-04-23,3.84923,3.973409,0.124181,3.90049,0.033916
2025-04-24,4.311369,4.49866,0.187295,4.398169,0.055825
2025-04-25,3.391799,3.857019,0.465213,3.601229,0.116265
2025-04-26,4.35575,4.477839,0.122096,4.38946,0.030816
2025-04-27,4.141359,4.298049,0.156685,4.242969,0.042011
2025-04-28,4.58568,4.635739,0.050067,4.604979,0.012318
2025-04-29,4.54336,4.955369,0.412009,4.720379,0.119029
2025-04-30,1.004549,1.029469,0.024914,1.016669,0.005979
2025-05-01,3.393069,3.61433,0.221257,3.491039,0.064804
2025-05-02,2.32708,2.59641,0.269329,2.47038,0.069451
2025-05-05,3.185329,3.30023,0.114908,3.219899,0.027078
2025-05-07,3.88256,3.904799,0.022237,3.897739,0.005583
2025-05-10,2.444619,2.88558,0.440963,2.66051,0.123744
2025-05-14,3.24899,3.42015,0.171166,3.320849,0.035427
2025-05-15,3.758729,4.13345,0.374718,3.9444,0.09829
2025-05-16,4.30529,4.44419,0.1389,4.379559,0.033715
2025-05-17,4.022399,4.13704,0.114633,4.09973,0.030018
2025-05-18,3.38717,3.68686,0.299695,3.558059,0.075031
2025-05-19,2.626569,2.769819,0.143254,2.6902,0.029663
2025-05-20,4.12292,4.5745,0.451581,4.344339,0.121757
2025-05-21,4.634079,4.862329,0.22825,4.72419,0.06507
2025-05-22,4.26726,4.350039,0.082782,4.30381,0.020866
2025-05-23,4.984889,5.025859,0.040966,5.003819,0.009127
2025-05-24,5.08011,5.198279,0.118166,5.139609,0.034192
2025-05-25,4.942339,5.329219,0.386871,5.116199,0.110633
2025-05-26,4.28375,4.52567,0.241919,4.39589,0.064585
2025-05-27,5.25115,5.313389,0.062239,5.282999,0.015703
2025-05-28,5.5657,5.943099,0.377397,5.7409,0.112296
2025-05-29,5.648449,6.015729,0.36728,5.830379,0.109258
2025-05-30,5.448229,5.892879,0.444651,5.66051,0.123875
2025-05-31,5.43541,5.928229,0.492819,5.669219,0.147196
2025-06-01,4.191639,4.723899,0.532265,4.442009,0.152792
2025-06-02,4.822859,4.906929,0.084065,4.851689,0.019611
2025-06-03,3.318389,3.57975,0.261362,3.420959,0.063454
2025-07-06,6.51235,6.77881,0.266458,6.62407,0.076195
2025-07-07,6.22023,6.47829,0.258064,6.339509,0.063551
2025-07-08,6.686999,6.87616,0.18916,6.76734,0.034312
2025-07-09,6.13953,6.26865,0.129124,6.199639,0.023878
2025-07-10,5.642029,6.011439,0.36941,5.8228,0.098636
2025-07-11,3.02847,3.604069,0.575594,3.27762,0.147793
2025-07-12,4.5197,4.81184,0.292144,4.64477,0.07894
2025-07-13,5.166749,5.454699,0.287945,5.30872,0.080019
2025-07-14,5.68379,5.91265,0.228869,5.793829,0.06523
2025-07-15,6.109789,6.241149,0.131365,6.18121,0.032321
2025-07-16,6.84098,7.46571,0.624731,7.1525,0.182261
2025-07-18,5.12862,5.461259,0.332641,5.27576,0.101106
2025-07-19,4.98996,5.46074,0.470777,5.216939,0.132863
2025-07-20,4.291739,4.740699,0.448962,4.51772,0.125633
2025-07-21,5.126989,5.5788,0.45181,5.36318,0.126488
2025-07-22,5.25285,5.53773,0.284886,5.409999,0.077025
2025-07-23,5.702789,6.023869,0.321083,5.848899,0.090814
2025-07-25,6.143849,6.311789,0.167939,6.22203,0.034781
2025-07-26,6.154119,6.40429,0.250169,6.293069,0.069313
2025-07-28,6.232979,6.37818,0.145192,6.307479,0.031429
2025-07-29,6.30881,6.55206,0.243244,6.451139,0.046205
