date,minimum,maximum,range,mean,std
2025-04-23,3.319319,3.89456,0.575237,3.65928,0.117524
2025-04-24,3.91452,4.53625,0.621734,4.138529,0.122166
2025-04-25,1.956449,2.416719,0.460267,2.241359,0.098892
2025-04-26,3.800169,4.44781,0.647638,4.038579,0.129276
2025-04-27,4.641829,5.05598,0.414148,4.770969,0.077253
2025-04-28,4.60218,4.961299,0.359113,4.773819,0.071885
2025-04-29,4.062769,4.51204,0.449276,4.187849,0.073235
2025-04-30,1.025539,1.192829,0.167289,1.12177,0.039657
2025-05-01,3.19863,3.702039,0.503404,3.45214,0.113893
2025-05-02,2.21666,2.55503,0.338366,2.379149,0.070886
2025-05-05,2.31538,2.827339,0.51196,2.563299,0.105071
2025-05-07,3.63772,4.12325,0.485522,3.903,0.088699
2025-05-10,2.4024,3.09569,0.693296,2.806309,0.165305
2025-05-14,2.985519,3.46685,0.481334,3.30831,0.117218
2025-05-15,3.414079,3.988909,0.574837,3.814769,0.136931
2025-05-16,4.33288,5.06082,0.727936,4.68267,0.127939
2025-05-17,4.060279,4.64587,0.585583,4.41438,0.131451
2025-05-18,2.403039,2.869709,0.466663,2.63241,0.113452
2025-05-19,2.433779,3.2723,0.838515,2.874069,0.210364
2025-05-20,3.5053,4.131669,0.626371,3.936939,0.147541
2025-05-21,3.64976,4.47208,0.822319,4.1454,0.163761
2025-05-22,3.693919,4.3825,0.688579,4.077879,0.13136
2025-05-23,4.791049,5.511219,0.72017,5.046579,0.145707
2025-05-24,4.66018,5.37338,0.713195,5.01945,0.136279
2025-05-25,4.055669,4.854119,0.798456,4.46458,0.154559
2025-05-26,3.72777,4.59321,0.865435,4.11833,0.166435
2025-05-27,4.516449,5.23637,0.719923,4.85078,0.135343
2025-05-28,4.903719,5.47237,0.56865,5.11597,0.114358
2025-05-29,5.41449,6.06759,0.653106,5.62479,0.132834
2025-05-30,4.52501,5.400829,0.875817,4.861539,0.16766
2025-05-31,4.714019,5.784019,1.07,5.0868,0.218718
2025-06-01,3.340579,4.06652,0.725944,3.634259,0.166122
2025-06-02,3.844199,4.590799,0.746599,4.18943,0.140992
2025-06-03,2.567529,3.30391,0.736375,2.994379,0.185122
2025-07-06,5.46247,6.346819,0.884351,5.93627,0.210316
2025-07-07,5.430769,6.83156,1.400779,6.13779,0.325783
2025-07-08,7.16235,8.25014,1.08779,7.57073,0.243288
2025-07-09,5.27609,6.757279,1.481189,5.99876,0.340151
2025-07-10,4.142059,4.73846,0.596394,4.535109,0.135646
2025-07-11,2.334409,2.54377,0.20936,2.466229,0.055303
2025-07-12,3.30516,3.822619,0.517466,3.65138,0.127373
2025-07-13,4.681489,5.275899,0.59441,4.987949,0.144197
2025-07-14,5.07703,5.80103,0.723994,5.466929,0.18291
2025-07-15,5.77333,6.83613,1.0628,6.250989,0.252267
2025-07-16,5.63908,6.96949,1.33041,6.37232,0.344691
2025-07-18,4.56645,4.95725,0.390799,4.8284,0.092774
2025-07-19,4.50847,5.176449,0.667975,4.871409,0.169033
2025-07-20,4.2319,4.43575,0.203854,4.37153,0.046701
