date,minimum,maximum,range,mean,std
2025-04-23,2.99674,3.87104,0.874293,3.473939,0.191839
2025-04-24,3.730319,4.41864,0.688314,4.09906,0.150776
2025-04-25,2.19665,3.5992,1.402549,2.78936,0.300996
2025-04-26,3.67752,4.2877,0.610189,4.01201,0.133825
2025-04-27,4.214779,4.43267,0.217885,4.35962,0.041518
2025-04-28,4.38708,4.57139,0.184312,4.49478,0.043874
2025-04-29,3.85905,4.7835,0.924443,4.2595,0.203015
2025-04-30,0.911445,1.014479,0.103036,0.961986,0.023647
2025-05-01,2.89366,3.522459,0.628799,3.200459,0.13718
2025-05-02,1.95861,2.496789,0.538181,2.19593,0.117299
2025-05-05,2.1431,3.13607,0.992973,2.631299,0.21593
2025-05-07,3.298389,3.847719,0.549337,3.611299,0.122013
2025-05-10,2.001739,2.76075,0.75901,2.34731,0.156947
2025-05-14,2.636749,3.06567,0.428925,2.869119,0.099558
2025-05-15,3.058939,3.995349,0.936408,3.533119,0.20146
2025-05-16,3.902319,4.31215,0.409835,4.19044,0.095647
2025-05-17,3.641769,4.050409,0.408643,3.91664,0.095519
2025-05-18,2.476069,3.535759,1.059689,2.97287,0.233267
2025-05-19,2.08958,2.61557,0.525991,2.41404,0.115727
2025-05-20,3.169569,4.40009,1.23052,3.7936,0.265702
2025-05-21,3.27601,4.686069,1.41006,4.004439,0.308115
2025-05-22,3.33046,4.252739,0.922272,3.84042,0.205705
2025-05-23,4.511,4.967219,0.456216,4.78055,0.100809
2025-05-24,4.32598,5.136809,0.810829,4.777239,0.180721
2025-05-25,3.807739,5.1764,1.368659,4.50922,0.297919
2025-05-26,3.43,4.24055,0.810554,3.92142,0.183913
2025-05-27,4.282909,5.231669,0.94876,4.80731,0.210442
2025-05-28,4.83329,5.82836,0.995073,5.332109,0.21718
2025-05-29,5.24336,5.95162,0.708254,5.598919,0.157024
2025-05-30,4.346399,5.73505,1.388659,5.05492,0.304177
2025-05-31,4.615789,5.805339,1.18955,5.209159,0.261997
2025-06-01,3.5731,4.59603,1.02293,4.04461,0.224914
2025-06-02,3.64591,4.7294,1.08349,4.25047,0.242399
2025-06-03,2.325139,3.411509,1.086369,2.855079,0.236506
2025-07-06,6.319789,6.717529,0.39774,6.523509,0.086903
2025-07-07,6.27257,6.641409,0.368833,6.42569,0.098987
2025-07-08,6.795249,7.31357,0.518324,7.04397,0.117404
2025-07-09,6.140409,6.56609,0.42568,6.331799,0.111767
2025-07-10,5.034329,5.876949,0.84262,5.4779,0.186802
2025-07-11,2.7376,3.07023,0.33263,2.93137,0.086032
2025-07-12,4.203269,4.584949,0.381677,4.448599,0.096355
2025-07-13,5.081739,5.413149,0.331418,5.27965,0.080449
2025-07-14,5.60293,5.91407,0.311138,5.8101,0.08362
2025-07-15,6.15495,6.4871,0.332156,6.308509,0.084323
2025-07-16,6.80907,7.40322,0.594151,7.176249,0.148317
2025-07-18,5.005809,5.403339,0.397527,5.239389,0.093871
2025-07-19,4.92213,5.384359,0.462233,5.17353,0.103637
2025-07-20,4.35723,4.680679,0.323451,4.52507,0.071517
2025-07-21,5.27354,5.60608,0.332545,5.481599,0.086392
2025-07-22,5.35507,5.739049,0.383976,5.554039,0.093828
2025-07-23,5.516449,5.961999,0.445553,5.72684,0.103024
2025-07-25,6.2996,6.960289,0.660691,6.5889,0.162471
2025-07-26,6.36107,6.713069,0.352003,6.50954,0.094236
