date,minimum,maximum,range,mean,std
2025-05-06,21.5228157043,23.2679538727,1.74513816833,22.144426685,0.475683028923
2025-05-07,22.9118347168,24.2449550629,1.33312034607,23.6649767935,0.218845117642
2025-05-08,20.2705039978,21.6062927246,1.33578872681,20.8369528977,0.250231340561
2025-05-09,20.2517642975,21.4168205261,1.16505622864,20.6619989749,0.229850750805
2025-05-10,19.4265956879,20.319688797,0.893093109131,19.6545929515,0.185555674206
2025-05-11,19.6258430481,19.9423904419,0.316547393799,19.7819614214,0.0707217846413
2025-05-12,20.2665233612,21.9659557343,1.69943237305,20.7877754575,0.344664047545
2025-05-13,19.3406906128,20.1342735291,0.79358291626,19.5518431909,0.168501533452
2025-05-14,19.6104755402,20.3411502838,0.730674743652,19.784452399,0.163830008189
2025-05-15,19.9974975586,22.2116107941,2.21411323547,21.0746725662,0.692374045779
2025-05-16,23.9617805481,27.7162265778,3.75444602966,25.5664795305,1.00970599769
2025-05-17,27.9079627991,30.3701858521,2.46222305298,28.9403562054,0.640223973236
2025-05-18,21.269733429,22.6070175171,1.33728408813,21.773785134,0.254009506649
2025-05-19,21.6148948669,23.5535736084,1.93867874146,22.1706507673,0.417021987356
2025-05-20,21.905714035,24.1645336151,2.25881958008,22.9379697633,0.641113553714
2025-05-21,21.9094772339,24.3974494934,2.48797225952,23.108729569,0.762770155852
2025-05-22,21.8160972595,24.4879360199,2.67183876038,23.0857603869,0.813993867344
2025-05-23,23.5311813354,26.5778770447,3.04669570923,24.9273859545,0.894519200766
2025-05-24,24.6158905029,29.4754390717,4.85954856873,26.8659604259,1.40182709013
2025-05-25,21.4746227264,25.251241684,3.77661895752,23.3240922997,1.16903767839
2025-05-26,20.9785137177,25.0343437195,4.05583000183,22.8735519045,1.21907359185
2025-05-27,21.4124145508,27.2843761444,5.87196159363,24.4025209958,1.84861587307
2025-05-28,23.9584980011,30.6657028198,6.70720481873,27.2516955789,2.01995239584
2025-05-29,29.7999591827,36.1271018982,6.32714271545,32.8899225009,1.94339071388
2025-05-30,22.9473438263,29.9830608368,7.0357170105,26.4585659725,2.20302055173
2025-05-31,24.655708313,31.343870163,6.68816184998,28.0119794275,2.03433895984
2025-06-01,21.4453392029,24.5804672241,3.13512802124,22.9858439632,0.977938823258
