date,minimum,maximum,range,mean,std
2025-05-06,20.2025566101,22.473815918,2.27125930786,21.2555338823,0.455776708547
2025-05-07,20.1029319763,22.3652744293,2.262342453,21.08711865,0.428516842096
2025-05-08,18.4036979675,20.2994499207,1.89575195313,19.2975919307,0.307748658907
2025-05-09,18.9041137695,21.8723716736,2.96825790405,20.3922749365,0.604399488837
2025-05-10,18.9035263062,21.6717205048,2.76819419861,20.1678822467,0.510897656647
2025-05-11,19.1046905518,22.2984848022,3.19379425049,20.6613478868,0.603683454666
2025-05-12,19.8033294678,23.1258983612,3.32256889343,21.0483752844,0.585103108395
2025-05-13,18.9037456512,23.5549850464,4.65123939514,20.661871706,0.911911154501
2025-05-14,18.804889679,22.4613704681,3.65648078918,20.475993038,0.654069649203
2025-05-15,21.703912735,25.0450382233,3.34112548828,23.0652818992,0.573693947692
2025-05-16,25.900094986,28.562702179,2.66260719299,26.596422839,0.548636074644
2025-05-17,28.0025596619,30.7696762085,2.76711654663,29.1207792815,0.557720006498
2025-05-18,21.5048904419,25.0113792419,3.50648880005,23.1969800558,0.654690178264
2025-05-19,22.2046947479,25.9303340912,3.72563934326,23.8371387912,0.682784086392
2025-05-20,24.8033332825,27.7841701508,2.98083686829,26.0646670153,0.54471688338
2025-05-21,26.8039207458,30.8758811951,4.07196044922,28.3133864566,0.724717765513
2025-05-22,26.3041133881,30.0324230194,3.72830963135,27.8292901954,0.681805518275
2025-05-23,26.2048892975,28.889673233,2.68478393555,27.8366180923,0.601691285418
2025-05-24,29.4019737244,31.8209629059,2.41898918152,30.3753013306,0.539445590719
2025-05-25,28.5033340454,32.2191047668,3.71577072144,29.861157466,0.706826567952
2025-05-26,27.7031402588,32.1286506653,4.42551040649,29.0621297797,0.791367002264
2025-05-27,31.4017753601,34.2604942322,2.85871887207,32.3200789144,0.554230993637
2025-05-28,35.5011978149,38.1661949158,2.66499710083,36.3243015984,0.60043496195
2025-05-29,35.7031364441,38.4177780151,2.71464157104,36.9143427452,0.524516914387
2025-05-30,36.2029495239,38.8827934265,2.67984390259,37.4741252861,0.632641144878
2025-05-31,35.8029403687,37.8763542175,2.07341384888,36.8686631312,0.423530767162
2025-06-01,33.201965332,35.0842819214,1.88231658936,34.0252745135,0.43061450647
2025-06-02,26.2050876617,29.7118225098,3.50673484802,27.9826496964,0.699965352652
2025-06-03,21.2035236359,24.8077526093,3.60422897339,22.5356467989,0.62559986589
2025-06-04,24.90508461,29.175994873,4.27091026306,26.6697499245,0.730755976695
2025-06-05,27.5054779053,32.3446235657,4.8391456604,29.4798905096,0.870508271991
2025-06-06,28.2043094635,32.4786376953,4.27432823181,29.8539911097,0.785526899223
2025-06-07,29.2048931122,33.7723045349,4.56741142273,31.0335208474,0.858084339417
2025-06-08,35.5039215088,38.8721885681,3.36826705933,37.0044023669,0.682867672036
2025-06-09,31.3023529053,33.1934967041,1.89114379883,32.1846475725,0.364163891736
2025-06-10,30.7017726898,32.2877426147,1.58596992493,31.4108503041,0.31614712261
2025-06-11,23.9054775238,27.7950801849,3.88960266113,25.8083524334,0.766402918036
2025-06-12,26.0041217804,29.9349899292,3.9308681488,27.6661489026,0.762722792806
2025-06-13,28.4039115906,31.9332351685,3.52932357788,29.8015289612,0.620504229801
2025-06-14,27.0056743622,32.4977645874,5.49209022522,29.1127170322,0.987554471554
2025-06-15,34.6001472473,36.5297088623,1.92956161499,35.1602566553,0.366429982622
2025-06-16,38.0002212524,39.6754837036,1.67526245117,38.456127864,0.384643334263
2025-06-17,37.2019729614,39.3552818298,2.15330886841,38.112095867,0.431660964926
2025-06-18,36.9017715454,39.6542510986,2.75247955322,37.7501865279,0.536537613869
2025-06-19,37.101978302,39.9674949646,2.8655166626,38.1770994298,0.641866540988
2025-06-20,36.10313797,38.6720924377,2.56895446777,37.2905277389,0.531506003985
2025-06-21,31.6027469635,34.7673416138,3.16459465027,32.7596638586,0.6341177992
2025-06-22,31.9029502869,35.7107849121,3.80783462524,33.2473712291,0.752733764899
2025-06-23,28.6033287048,31.4642505646,2.86092185974,29.8214194115,0.547200539491
2025-06-24,26.5041046143,28.778093338,2.27398872375,27.7999362829,0.450481977875
2025-06-25,28.0043067932,31.2938270569,3.28952026367,29.5683843768,0.67629557015
2025-06-26,31.9043140411,36.1075592041,4.20324516296,33.616349805,0.810203197057
2025-06-27,39.1002159119,40.8715209961,1.77130508423,39.4876699222,0.367145137413
2025-06-28,41.1004219055,43.5641517639,2.4637298584,41.7016999389,0.519426570679
2025-06-29,42.5004119873,44.1729812622,1.6725692749,42.9447119888,0.33526444365
2025-06-30,41.0025672913,44.0731010437,3.07053375244,42.2690700116,0.678230594972
2025-07-01,39.2023582458,41.3742370605,2.1718788147,40.1809841978,0.461538729854
2025-07-02,36.8033370972,40.0050621033,3.2017250061,38.1968510723,0.719321739736
2025-07-03,35.4027404785,38.1744537354,2.77171325684,36.378080721,0.450750241542
2025-07-04,33.3033256531,36.3662834167,3.06295776367,34.4715232297,0.500448266057
2025-07-05,34.0025482178,36.1683540344,2.16580581665,34.9817636465,0.442481687295
2025-07-06,34.604309082,39.0563926697,4.45208358765,36.2298699529,0.798685805986
2025-07-07,35.6041030884,38.6993026733,3.09519958496,36.989590493,0.589416469134
2025-07-08,35.9029426575,38.445022583,2.54207992554,37.0677320098,0.502040243167
2025-07-09,31.4050750732,34.6352615356,3.2301864624,33.00944499,0.650635173067
2025-07-10,28.9410095215,32.4994125366,3.55840301514,30.0589195841,0.611422172609
2025-07-11,22.4066448212,27.6406993866,5.23405456543,24.6337644471,0.904990838014
2025-07-12,26.003320694,28.1740608215,2.17074012756,27.0896517789,0.390275470182
2025-07-13,30.7021484375,32.9953155518,2.29316711426,31.4340138664,0.375134919736
2025-07-14,34.5062179565,36.8547210693,2.34850311279,35.0087941294,0.411716674148
2025-07-15,38.529209137,40.4541511536,1.9249420166,39.4818624655,0.329823265628
2025-07-16,38.5013694763,41.4112625122,2.90989303589,39.116549083,0.518417375014
2025-07-17,32.6027488708,36.6487693787,4.04602050781,33.814323158,0.70976778774
2025-07-18,28.003326416,32.0383796692,4.03505325317,29.2530496238,0.662603032933
2025-07-19,28.1035270691,32.5176887512,4.41416168213,29.5045527671,0.746549201761
2025-07-20,26.1000556946,30.0913734436,3.99131774902,27.4000845907,1.0187770359
2025-07-21,29.7035140991,32.8417053223,3.13819122314,30.8642857603,0.542945658938
2025-07-22,32.5033340454,36.3910102844,3.88767623901,33.8615042199,0.719752010525
2025-07-23,26.5039157867,30.2072048187,3.70328903198,27.9220838975,0.614652662525
2025-07-24,35.9949493408,36.8866958618,0.891746520996,36.3550310273,0.126137953764
2025-07-25,35.9872093201,36.8860435486,0.898834228516,36.5038540877,0.149528317222
2025-07-26,38.3187408447,39.3769874573,1.05824661255,38.6703473227,0.158011044021
2025-07-27,39.1060218811,42.1991004944,3.09307861328,40.524685981,0.550170610597
2025-07-28,36.7516708374,39.4992446899,2.74757385254,37.3309556332,0.434127249969
2025-07-29,35.5569992065,38.8999633789,3.34296417236,38.0699127006,0.743989802032
2025-07-30,38.963394165,41.5999488831,2.63655471802,40.4862622176,0.805182998967
2025-07-31,37.1209869385,39.4594345093,2.3384475708,38.1205377339,0.376587185453
2025-08-01,36.818069458,38.8298835754,2.01181411743,37.7754869744,0.312132895435
2025-08-02,37.9309692383,40.3958930969,2.46492385864,39.1453592543,0.44981778739
2025-08-03,40.6004638672,42.19688797,1.59642410278,41.4483581189,0.26346431236
2025-08-04,37.2246818542,39.2651863098,2.04050445557,37.9358373643,0.365172280552
2025-08-05,38.4999732971,39.6356887817,1.13571548462,38.8683244367,0.250487736456
2025-08-06,33.535610199,36.9601554871,3.42454528809,34.9577196997,0.545265301237
2025-08-07,32.3202323914,35.1449661255,2.82473373413,33.4318547187,0.490587908216
2025-08-08,33.315536499,34.7540054321,1.43846893311,34.1204418116,0.267697656634
2025-08-09,37.2285690308,39.1857376099,1.9571685791,38.0198986085,0.316832147643
2025-08-10,39.3229866028,40.6299743652,1.30698776245,39.8184671569,0.257464390026
2025-08-11,41.9261207581,43.2443733215,1.31825256348,42.5508040307,0.225878156652
2025-08-12,42.5977516174,44.0137519836,1.41600036621,43.2219877134,0.241554421192
2025-08-13,40.7107391357,41.8291053772,1.11836624146,41.2574357079,0.193172270732
2025-08-18,32.4127426147,35.8845062256,3.47176361084,33.0971002019,0.599293045454
2025-08-19,31.1591129303,33.9563522339,2.79723930359,31.9331085528,0.436860984588
2025-08-20,31.3165931702,33.1408195496,1.82422637939,31.8351890058,0.292220963366
2025-08-21,32.4295883179,33.8779602051,1.44837188721,32.9572619244,0.206310778268
