date,minimum,maximum,range,mean,std
2025-05-06,16.0826053619,18.4066753387,2.32406997681,17.1942008916,0.607053547181
2025-05-07,17.946647644,19.8976554871,1.95100784302,18.7227982206,0.491658130615
2025-05-08,17.4119777679,19.0159931183,1.60401535034,18.0197971231,0.387091449145
2025-05-09,15.1239042282,17.5328121185,2.40890789032,15.9605052084,0.570380883689
2025-05-10,12.1995792389,15.5186700821,3.3190908432,13.526067823,0.807259019721
2025-05-11,13.3568067551,15.1908979416,1.83409118652,14.137277124,0.456238441259
2025-05-12,14.2539730072,16.3735961914,2.1196231842,14.9310351968,0.499933544868
2025-05-13,14.5583353043,17.0549888611,2.49665355682,15.4364279996,0.611347121791
2025-05-14,16.1617202759,17.570438385,1.40871810913,16.7296964899,0.332247137719
2025-05-15,20.3306293488,21.8845405579,1.55391120911,21.0437479254,0.340437746946
2025-05-16,20.6851501465,23.9627456665,3.27759552002,21.9595352041,0.804747341438
2025-05-17,23.4167480469,24.9503498077,1.53360176086,24.0122024743,0.390373717635
2025-05-18,20.0518417358,21.9152851105,1.86344337463,20.81621233,0.400379261048
2025-05-19,16.1420726776,18.0499782562,1.90790557861,16.8177834873,0.473124031328
2025-05-20,22.0742969513,23.7744464874,1.70014953613,22.6844051342,0.406577758456
2025-05-21,23.1765804291,25.2084789276,2.03189849854,23.8173651672,0.500632916921
2025-05-22,20.623260498,22.7201519012,2.0968914032,21.4149110165,0.55137934916
2025-05-23,21.5328865051,23.6970710754,2.16418457031,22.3361783051,0.554812979727
2025-05-24,24.7260723114,26.6401405334,1.91406822205,25.4004774329,0.486691220389
2025-05-25,24.8422756195,26.8775367737,2.03526115417,25.5502720631,0.501711374724
2025-05-26,25.0630569458,26.1548213959,1.09176445007,25.4510813746,0.268612489591
2025-05-27,27.8942832947,29.4931659698,1.59888267517,28.4646331336,0.392982915985
2025-05-28,29.8321437836,31.7397537231,1.90760993958,30.4575119488,0.476055006095
2025-05-29,30.96235466,33.7205734253,2.75821876526,31.9947019399,0.685892532603
2025-05-30,30.1464958191,32.3514442444,2.20494842529,30.8335297965,0.548721027259
2025-05-31,31.6471576691,33.3100547791,1.66289710999,32.2593353441,0.398791514665
2025-06-01,27.4869327545,29.0351448059,1.54821205139,28.0011152728,0.357464241504
2025-06-02,25.8109035492,27.1927032471,1.38179969788,26.4757947781,0.293831739914
2025-06-03,18.124206543,20.3350372314,2.21083068848,18.8386049036,0.553803488403
2025-06-04,20.0542755127,21.8521728516,1.79789733887,20.7515028874,0.435682789432
2025-06-05,23.3034248352,24.2593898773,0.955965042114,23.7604619858,0.208621213218
2025-06-06,23.5144996643,24.1220283508,0.607528686523,23.7315931837,0.149682526589
2025-06-07,25.3268318176,25.9458522797,0.619020462036,25.6039409825,0.140373893413
2025-06-08,30.1950893402,31.6039791107,1.40888977051,30.7245956759,0.3335868912
2025-06-09,32.4329147339,34.7489624023,2.31604766846,33.2279207577,0.569080916296
2025-06-10,30.2763900757,31.9091472626,1.63275718689,30.9059500953,0.381614783828
2025-06-11,22.3285274506,23.8995838165,1.57105636597,22.8924845522,0.369938937988
2025-06-12,21.6526622772,22.6123065948,0.959644317627,22.1769738409,0.208458461293
2025-06-13,24.3856773376,25.9791679382,1.59349060059,24.9473994307,0.360835653794
2025-06-14,23.6380519867,25.0960731506,1.45802116394,24.3100581052,0.365102853569
2025-06-15,29.4241275787,31.1566486359,1.73252105713,30.0211715604,0.439864060956
2025-06-16,32.8240280151,34.3542976379,1.5302696228,33.3909054084,0.395148867076
2025-06-17,35.5786590576,37.7269325256,2.14827346802,36.4379943134,0.480153626429
2025-06-18,33.1063690186,34.8140602112,1.70769119263,33.7108159746,0.416650354179
2025-06-19,33.2680969238,35.5110054016,2.24290847778,34.2537284626,0.482488078484
2025-06-20,33.247127533,35.5977134705,2.3505859375,34.2458154838,0.506759997743
2025-06-21,28.0668773651,30.8316745758,2.76479721069,28.9112098675,0.662039706343
2025-06-22,29.4597854614,31.2548484802,1.7950630188,30.4994177889,0.405376333704
2025-06-23,26.6237297058,29.7699699402,3.14624023438,28.0761783957,0.806090234566
