date,minimum,maximum,range,mean,std
2025-05-06,13.4126119614,20.259021759,6.84640979767,15.8899398292,1.58433345989
2025-05-07,13.4142808914,20.511516571,7.09723567963,16.1967618071,1.68631966649
2025-05-08,13.5105314255,18.1577911377,4.64725971222,15.4125588903,1.12290735213
2025-05-09,9.8124332428,16.3755493164,6.56311607361,12.274554161,1.55632296617
2025-05-10,7.91661882401,14.9984254837,7.0818066597,10.9347437233,1.73359419054
2025-05-11,8.91571807861,16.1407737732,7.22505569458,11.853510004,1.73539741218
2025-05-12,9.61533069611,15.8565378189,6.2412071228,12.3618548122,1.54551131169
2025-05-13,8.71801185608,16.1747913361,7.45677947998,12.0074321924,1.86943271179
2025-05-14,9.41736602783,17.0079441071,7.59057807922,12.6847716009,1.89318929044
2025-05-15,14.4137830734,21.1251125336,6.71132946014,17.1396603868,1.64009573264
2025-05-16,16.9131698608,23.8333187103,6.92014884949,19.511545996,1.62541852712
2025-05-17,18.2144584656,25.8871383667,7.67267990112,21.0792301127,1.79845237986
2025-05-18,16.0113296509,19.8730869293,3.86175727844,17.9027813602,1.01603035929
2025-05-19,10.6166238785,17.6084060669,6.99178218842,13.6924725842,1.75101489382
2025-05-20,16.8139095306,23.0166511536,6.20274162292,19.4339594557,1.52820395688
2025-05-21,18.5140476227,24.2442989349,5.73025131226,21.0197874916,1.41896965544
2025-05-22,16.2122306824,23.0210342407,6.80880355835,18.6921345035,1.60429259375
2025-05-23,17.3123550415,23.8829574585,6.57060241699,19.7609906102,1.54773935976
2025-05-24,19.6152057648,26.9328403473,7.31763458252,22.5213902897,1.74288307433
2025-05-25,21.2129840851,26.2479343414,5.03495025635,23.419738258,1.23868134693
2025-05-26,21.1132183075,25.8838806152,4.77066230774,23.3428038919,1.21700974895
2025-05-27,23.0141201019,28.9344367981,5.92031669617,25.5823858526,1.46685656448
2025-05-28,25.7129631042,30.9791698456,5.26620674133,28.0126820116,1.29872774999
2025-05-29,26.2144889832,33.5512695313,7.3367805481,29.0651731302,1.74724732564
2025-05-30,24.7143745422,30.4954414368,5.78106689453,27.3338584331,1.47605584559
2025-05-31,27.0121326447,32.986831665,5.97469902039,29.3271104421,1.42211377549
2025-06-01,23.2124900818,27.3914394379,4.17894935608,25.311415786,1.12285782872
2025-06-02,20.414478302,25.4260387421,5.01156044006,22.8934670189,1.33953717272
2025-06-03,14.612663269,19.6112117767,4.99854850769,16.7044918427,1.19359422835
