date,minimum,maximum,range,mean,std
2025-05-06,20.3643245697,21.1983203888,0.833995819092,20.742290727,0.214784928403
2025-05-07,22.2148017883,23.048997879,0.834196090698,22.6111496728,0.211776661346
2025-05-08,19.5534496307,21.2035636902,1.65011405945,20.3347797065,0.41421738064
2025-05-09,17.7556552887,18.5909996033,0.835344314575,18.1836338372,0.216171945267
2025-05-10,15.7587594986,16.4989490509,0.740189552307,16.0882548217,0.177777297458
2025-05-11,15.4588680267,16.4799003601,1.02103233337,15.9392543497,0.248870175778
2025-05-12,15.0579099655,16.1226558685,1.06474590302,15.5199359696,0.262829982975
2025-05-13,16.4231548309,17.2505054474,0.827350616455,16.8736831566,0.203564313768
2025-05-14,17.8761882782,19.1176013947,1.24141311646,18.4954125306,0.304888204574
2025-05-15,21.5879859924,23.1175556183,1.52956962585,22.2798122702,0.390606651054
2025-05-16,25.4102287292,26.3670597076,0.956830978394,25.9053091838,0.23731534778
2025-05-17,26.7845973969,27.4992694855,0.714672088623,27.1224622069,0.183214732224
2025-05-18,20.3854675293,21.504907608,1.11944007874,20.9290918811,0.284274303933
2025-05-19,19.821937561,20.1662330627,0.344295501709,19.9897162174,0.0823652681298
2025-05-20,22.6925201416,24.0577297211,1.36520957947,23.2950478422,0.350419035777
2025-05-21,23.2337551117,24.8176021576,1.5838470459,23.9473428397,0.408981976688
2025-05-22,24.145816803,24.8446025848,0.69878578186,24.4500114671,0.171834218113
2025-05-23,25.0895385742,26.2161903381,1.12665176392,25.6026289052,0.282491725772
2025-05-24,26.0307846069,27.4117183685,1.3809337616,26.6706147194,0.340317451594
2025-05-25,24.3442153931,26.0629043579,1.71868896484,25.1568905238,0.428157807473
2025-05-26,24.3302288055,26.1439933777,1.81376457214,25.1517547903,0.465678550874
2025-05-27,27.0128135681,28.8702087402,1.85739517212,27.919181314,0.464389223156
2025-05-28,29.4930229187,31.6190776825,2.12605476379,30.5235522533,0.517718296393
2025-05-29,33.2912788391,34.5381698608,1.24689102173,33.8866884297,0.300501397666
2025-05-30,28.2970504761,30.4680538177,2.17100334167,29.3788209455,0.550155653206
2025-05-31,30.8857383728,32.5185546875,1.6328163147,31.6950918559,0.399770625
2025-06-01,25.4179153442,27.1869602203,1.7690448761,26.2379520186,0.450212792094
2025-06-02,25.3576278687,27.1091861725,1.75155830383,26.1490441355,0.448078350377
2025-06-03,20.461894989,21.9946041107,1.5327091217,21.156876416,0.39620961827
2025-06-04,20.8575191498,22.2151851654,1.35766601563,21.499835968,0.341564883651
2025-06-05,21.267156601,22.1839199066,0.916763305664,21.7118720679,0.232704637832
2025-06-06,21.6179828644,22.5747947693,0.956811904907,22.1350160138,0.232781448161
2025-06-07,23.1684055328,24.5663642883,1.39795875549,23.8149538533,0.354056314817
2025-06-08,28.3224239349,29.760011673,1.43758773804,29.0395663853,0.353634741274
2025-06-09,34.7449760437,36.478679657,1.73370361328,35.5937556563,0.433965276755
2025-06-10,28.4886817932,30.8902263641,2.40154457092,29.6600284248,0.614833157678
2025-06-11,21.7183856964,23.3959674835,1.67758178711,22.5448467814,0.437287110042
2025-06-12,21.0159015656,21.1698856354,0.153984069824,21.0699320662,0.0389176898438
2025-06-13,24.0061359406,24.3714427948,0.365306854248,24.1714707243,0.0942529083727
2025-06-14,21.9816951752,22.9372234344,0.955528259277,22.4360774468,0.237879065591
2025-06-15,29.8307704926,30.7090892792,0.878318786621,30.2727399695,0.220646451767
2025-06-16,33.8473320007,35.0624809265,1.21514892578,34.4015887688,0.311065651972
2025-06-17,35.5509262085,37.0270805359,1.47615432739,36.2539535391,0.366346036182
2025-06-18,31.8029727936,33.2766838074,1.47371101379,32.5621274258,0.374694703006
2025-06-19,28.9415225983,30.9895133972,2.04799079895,29.9592434949,0.526071997928
2025-06-20,27.8951148987,31.4022846222,3.50716972351,29.5662775533,0.902814627045
2025-06-21,25.719745636,27.5133953094,1.79364967346,26.5978555186,0.467931875086
2025-06-22,27.0328960419,29.2895278931,2.2566318512,28.1109903105,0.578068799782
2025-06-23,32.0051040649,33.25233078,1.24722671509,32.6066350937,0.294020104542
2025-06-24,26.0260105133,26.7779197693,0.751909255981,26.3497038545,0.178538852556
2025-06-25,24.8325443268,25.7851657867,0.952621459961,25.2623628419,0.245917166744
2025-06-26,26.865776062,28.505449295,1.63967323303,27.6441728987,0.420636153229
2025-06-27,31.4329795837,33.3765182495,1.94353866577,32.4114652995,0.492994988308
2025-06-28,34.532207489,36.7271461487,2.19493865967,35.6295599115,0.55028723426
2025-06-29,36.710319519,38.2787246704,1.56840515137,37.4909456187,0.398307399762
2025-06-30,35.0505599976,36.7499237061,1.6993637085,35.9043319636,0.43465222582
2025-07-01,30.7701835632,33.62682724,2.85664367676,32.1835549289,0.734689024636
