date,minimum,maximum,range,mean,std
2025-05-06,20.7000160217,22.167301178,1.46728515625,21.307769493,0.404361923013
2025-05-07,20.100019455,21.8537845612,1.7537651062,20.7812625533,0.454008523989
2025-05-08,20.5,20.8494796753,0.349479675293,20.629167962,0.0651543528173
2025-05-09,21.1000118256,22.2999992371,1.1999874115,21.6808765641,0.388832749698
2025-05-10,21.2215747833,22.2000007629,0.978425979614,21.6144441392,0.300286966452
2025-05-11,21.3000202179,22.2999992371,0.999979019165,21.8154236053,0.300522224841
2025-05-12,20.4000320435,21.8776302338,1.47759819031,21.1109187982,0.338742569673
2025-05-13,20.9000453949,23.5411167145,2.64107131958,21.5439772381,0.472330232326
2025-05-14,20.6000366211,22.6660919189,2.06605529785,21.255230126,0.333011980417
2025-05-15,22.3000164032,23.4154090881,1.11539268494,22.7632470888,0.259928734237
2025-05-16,26.5889511108,28.6109848022,2.02203369141,27.2078435145,0.39636459745
2025-05-17,26.8967037201,29.6000003815,2.70329666138,28.3990288722,0.817245690122
2025-05-18,21.6000099182,22.641040802,1.04103088379,22.0787102695,0.334799887908
2025-05-19,23.7347068787,24.7074947357,0.972787857056,24.1573573223,0.242432695029
2025-05-20,25.6000156403,26.5967826843,0.996767044067,26.0290260069,0.269693830082
2025-05-21,26.5000095367,27.6475372314,1.1475276947,26.9451466916,0.31789280691
2025-05-22,25.7486419678,27.3191165924,1.57047462463,26.499961677,0.411992934317
2025-05-23,28.1000041962,29.5,1.39999580383,28.5845179333,0.46598126293
2025-05-24,28.1000328064,31.1167964935,3.01676368713,29.3785391059,0.788463827119
2025-05-25,27.5261306763,28.7999992371,1.27386856079,27.9887458859,0.40727964053
2025-05-26,25.1247348785,26.3999996185,1.27526473999,25.5788944187,0.410855762282
2025-05-27,29.2000236511,31.8154621124,2.6154384613,30.3632560083,0.774006192569
2025-05-28,33.3250083923,34.7999992371,1.47499084473,34.0542718699,0.453410142507
2025-05-29,33.9047546387,37.7999992371,3.89524459839,36.0096418438,1.05981802183
2025-05-30,34.6212081909,37.2243461609,2.60313796997,35.9925345474,0.796093221759
2025-05-31,32.1000213623,35.5999984741,3.49997711182,33.6067872436,1.17650276711
2025-06-01,30.5933322906,32.5999984741,2.00666618347,31.3509388297,0.625336588371
2025-06-02,23.8000183105,26.2999992371,2.49998092651,24.7957377413,0.790427054856
2025-06-03,22.2272796631,23.1206474304,0.893367767334,22.5547499309,0.171469465776
2025-06-04,26.3944854736,26.681634903,0.287149429321,26.5000563405,0.0568876005019
2025-06-05,27.1827945709,28.8999996185,1.71720504761,27.8399436607,0.568808864642
2025-06-06,27.4000091553,29.2000007629,1.79999160767,28.0519338002,0.591455360912
2025-06-07,27.7394752502,29.3999996185,1.66052436829,28.4603620415,0.468465372048
2025-06-08,33.7821655273,35.9000015259,2.11783599854,34.9848203864,0.535693745991
