date,minimum,maximum,range,mean,std
2025-05-06,21.1316757202,22.5570354462,1.42535972595,21.7655255212,0.318424089365
2025-05-07,23.1406383514,23.5853652954,0.44472694397,23.3569458856,0.0985040501687
2025-05-08,20.5548000336,21.1483287811,0.593528747559,20.8238032023,0.138447832781
2025-05-09,18.4258213043,18.9591770172,0.533355712891,18.6774948544,0.10773583414
2025-05-10,17.0428886414,17.400686264,0.357797622681,17.2737469285,0.0869084810806
2025-05-11,17.5997486115,18.0121078491,0.412359237671,17.7763725563,0.0842457721614
2025-05-12,17.7124843597,18.3931255341,0.680641174316,17.990979781,0.144837452163
2025-05-13,16.8852005005,17.3273849487,0.442184448242,17.1085330257,0.0986623994022
2025-05-14,18.5571918488,18.8982830048,0.341091156006,18.6906614374,0.0801288250001
2025-05-15,21.0510940552,23.011713028,1.96061897278,22.1108023891,0.460908720715
2025-05-16,24.4163417816,26.2815799713,1.8652381897,25.4009046201,0.426678293027
2025-05-17,25.5862464905,27.7987861633,2.21253967285,26.7470549972,0.505842315012
2025-05-18,20.5180740356,20.9457798004,0.427705764771,20.7329905475,0.0935240907942
2025-05-19,20.3704433441,20.820734024,0.450290679932,20.5949691207,0.0974488010213
2025-05-20,21.5926876068,23.2682800293,1.67559242249,22.6332263664,0.358242401368
2025-05-21,22.682882309,24.5144309998,1.8315486908,23.7080587599,0.354163563348
2025-05-22,23.4178581238,24.2587814331,0.840923309326,23.9760232572,0.198717061075
2025-05-23,24.3054885864,26.0190296173,1.71354103088,25.3340708132,0.354817644658
2025-05-24,24.4260234833,26.7754306793,2.34940719604,25.8966546518,0.506266609971
2025-05-25,22.9671669006,25.1252040863,2.15803718567,24.1341516142,0.410338107386
2025-05-26,22.892621994,24.9894657135,2.09684371948,24.0440459216,0.400493854768
2025-05-27,23.8133335114,27.1315593719,3.3182258606,25.9324605447,0.724576020123
2025-05-28,27.2943630219,32.3368644714,5.04250144958,30.7671606982,1.22624765859
2025-05-29,29.7934455872,33.2791671753,3.48572158813,32.0155681045,0.760397958861
2025-05-30,24.231470108,27.6286239624,3.39715385437,26.5216737959,0.76355687515
2025-05-31,27.0041103363,31.2587871552,4.25467681885,29.8259294439,0.975645705159
2025-06-01,25.353559494,27.1517009735,1.79814147949,26.5956601602,0.430631141431
2025-06-02,24.5409851074,26.1602497101,1.61926460266,25.3395954132,0.295089256113
2025-06-03,20.6445159912,22.2696342468,1.62511825562,21.5563574049,0.335632120706
2025-06-04,20.9080600739,22.224199295,1.31613922119,21.7553771831,0.307859906868
2025-06-05,20.6170597076,21.299747467,0.682687759399,20.9969101517,0.161277780096
2025-06-06,21.5005493164,21.9096603394,0.409111022949,21.6774221915,0.0803408040244
2025-06-07,22.0003128052,23.8022136688,1.80190086365,23.1823737109,0.405373628478
