date,minimum,maximum,range,mean,std
2025-05-06,19.0871353149,19.5408039093,0.45366859436,19.3031580265,0.134376222438
2025-05-07,21.1913509369,21.4440402985,0.252689361572,21.3251773394,0.0781229481821
2025-05-08,20.4432868958,20.6987037659,0.255416870117,20.5714321136,0.0636564928949
2025-05-09,17.0585689545,17.6907348633,0.632165908813,17.3433936926,0.17692870582
2025-05-10,15.3101730347,15.9346284866,0.624455451965,15.5977763396,0.174052317184
2025-05-11,15.5518169403,15.8089523315,0.257135391235,15.6719183188,0.0766883848047
2025-05-12,14.1806850433,15.079706192,0.899021148682,14.5833167296,0.250686632818
2025-05-13,17.1127567291,17.3330287933,0.220272064209,17.2129518802,0.0651141047122
2025-05-14,18.1242275238,18.3178424835,0.193614959717,18.2275280586,0.0516378281901
2025-05-15,22.3518199921,22.531583786,0.179763793945,22.428166903,0.0413524456492
2025-05-16,24.6850624084,25.0407714844,0.355709075928,24.8644987253,0.103973349182
2025-05-17,25.7958431244,26.1778316498,0.381988525391,25.988201875,0.11099835465
2025-05-18,22.0815353394,22.4096794128,0.328144073486,22.2192361538,0.0914262598231
2025-05-19,19.014213562,19.4613513947,0.447137832642,19.2383412581,0.12898133503
2025-05-20,23.6217498779,23.8652763367,0.24352645874,23.7449138348,0.069441160016
2025-05-21,24.8632278442,25.1459903717,0.282762527466,24.9911981729,0.0646259449846
2025-05-22,23.8665294647,24.1234073639,0.25687789917,24.0050469178,0.0731299615299
2025-05-23,24.9625492096,25.1457214355,0.183172225952,25.0669061221,0.0510913256276
2025-05-24,27.2602024078,27.4669475555,0.206745147705,27.3560292171,0.0482983291579
2025-05-25,26.7078151703,27.0382499695,0.330434799194,26.848980977,0.0809717748446
2025-05-26,26.0224304199,26.2736949921,0.251264572144,26.1261592278,0.0626512347485
2025-05-27,29.4915351868,29.7960758209,0.304540634155,29.6211778934,0.0773338296548
2025-05-28,31.9418926239,32.2580032349,0.316110610962,32.0774321189,0.0821513891264
2025-05-29,34.2932434082,34.5220527649,0.228809356689,34.4159786518,0.0602968893259
2025-05-30,31.7890033722,32.1732673645,0.38426399231,31.9643807778,0.0975838843651
2025-05-31,33.2490768433,33.5409240723,0.291847229004,33.3795302464,0.0694317227607
2025-06-01,26.7948951721,27.2264919281,0.431596755981,26.9958686829,0.12595291853
2025-06-02,26.9526615143,27.224615097,0.271953582764,27.0749376737,0.0631027888887
2025-06-03,21.5231494904,21.7336483002,0.210498809814,21.6225527983,0.0526544234946
2025-06-04,21.9293708801,22.1431846619,0.213813781738,22.0309203955,0.053891864154
2025-06-05,23.0434436798,23.3725299835,0.329086303711,23.2022735889,0.0864961291945
2025-06-06,23.2911529541,23.623884201,0.332731246948,23.4386048684,0.0788785142535
2025-06-07,25.0937099457,25.4032783508,0.309568405151,25.238096604,0.0726425119071
2025-06-08,30.7861843109,31.0983448029,0.312160491943,30.9332794776,0.0738322384364
2025-06-09,34.7759895325,35.0097732544,0.233783721924,34.8995593144,0.0606572238092
2025-06-10,32.2882194519,32.8531227112,0.564903259277,32.5961060157,0.180141537019
2025-06-11,24.0369815826,24.4245052338,0.387523651123,24.1931928488,0.1032018488
2025-06-12,22.1853866577,22.5027294159,0.317342758179,22.3591273381,0.0951939955656
2025-06-13,25.3504829407,25.6569309235,0.306447982788,25.5023753093,0.0941195596816
2025-06-14,22.4066066742,22.7449493408,0.338342666626,22.5702745731,0.0975571588337
2025-06-15,31.4926776886,31.7271766663,0.234498977661,31.5956818507,0.0534593570259
2025-06-16,34.4444236755,34.6260185242,0.181594848633,34.5339348133,0.0512196127627
