date,minimum,maximum,range,mean,std
2025-05-06,14.000079155,20.4830436707,6.48296451569,16.6754574177,2.22619176257
2025-05-07,16.7000827789,23.1998882294,6.49980545044,19.6048846085,2.44487175898
2025-05-08,16.2000770569,22.5113830566,6.31130599976,18.9242581551,2.29152260608
2025-05-09,14.000038147,17.2999382019,3.29990005493,15.4301083192,1.24445553465
2025-05-10,11.2000579834,15.3250570297,4.12499904633,13.1182746141,1.53082183664
2025-05-11,11.4000673294,15.7999353409,4.39986801147,13.516013425,1.62754066466
2025-05-12,10.1000490189,14.7648658752,4.66481685638,11.5393841252,1.14854719526
2025-05-13,13.1000614166,17.3120231628,4.21196174622,15.0843895492,1.55361201586
2025-05-14,13.1000947952,20.2998714447,7.19977664948,16.3812958285,2.70823203629
2025-05-15,17.3000831604,24.2611637115,6.96108055115,20.1870463259,2.44647925416
2025-05-16,20.9000759125,26.8999023438,5.99982643127,23.6114859303,2.29260831786
2025-05-17,21.6000728607,27.3974304199,5.7973575592,24.0145714138,1.97164437953
2025-05-18,19.4000530243,23.4298458099,4.02979278564,20.8932464694,1.08756840749
2025-05-19,14.0000600815,19.9404659271,5.94040584564,16.0005803126,1.67956053557
2025-05-20,18.9000835419,25.4002876282,6.5002040863,21.7338374002,2.31711712466
2025-05-21,21.2000579834,25.8797054291,4.67964744568,23.2549710979,1.74250162443
2025-05-22,18.9000759125,25.7146816254,6.81460571289,21.5787396544,2.28152165583
2025-05-23,21.0000782013,27.0999011993,6.09982299805,23.7579161152,2.34528166674
2025-05-24,23.4000644684,28.788110733,5.38804626465,25.601515129,1.81261498428
2025-05-25,23.3000526428,27.628288269,4.32823562622,25.0732460662,1.45045057563
2025-05-26,22.9000530243,27.7700824738,4.87002944946,24.7591525202,1.56984498054
2025-05-27,26.6000442505,31.0374221802,4.43737792969,28.1733841535,1.32037462459
2025-05-28,27.7000751495,33.7093544006,6.0092792511,30.2683559252,2.14159733544
2025-05-29,29.7000732422,35.8913803101,6.19130706787,32.2876544005,2.20021611164
2025-05-30,27.8000659943,33.2333488464,5.43328285217,29.937761039,1.71374052383
2025-05-31,29.1000556946,34.2295074463,5.12945175171,30.985884914,1.55626648201
2025-06-01,23.6000480652,28.1418418884,4.54179382324,25.4378307414,1.63436826894
2025-06-02,22.8000679016,28.7774372101,5.97736930847,25.2530771552,2.08153834175
2025-06-03,18.900062561,23.8999023438,4.99983978271,21.1320767586,1.87631520172
2025-06-04,18.5000610352,23.0713920593,4.57133102417,20.5380043385,1.64637600832
2025-06-05,19.0000476837,23.1674404144,4.16739273071,20.3064493381,1.03067082074
2025-06-06,20.4000396729,23.5706424713,3.17060279846,21.6076061533,0.916028575963
2025-06-07,22.9000377655,25.899936676,2.99989891052,24.2706492383,1.1277870775
2025-06-08,27.800037384,31.2222366333,3.42219924927,29.074893224,1.05470557652
2025-06-09,30.9000835419,37.6998825073,6.79979896545,33.9304401327,2.59041106626
2025-06-10,28.0000705719,34.0118980408,6.01182746887,30.3449493811,1.95413548309
2025-06-11,20.400056839,24.8740844727,4.47402763367,22.1668445635,1.37111383897
2025-06-12,16.0000553131,20.8275718689,4.82751655579,17.4984068782,1.16763516513
2025-06-13,19.7000713348,24.7224903107,5.02241897583,21.8811952958,1.67499852319
2025-06-14,19.3000545502,23.5999298096,4.2998752594,21.2452248425,1.64357430976
2025-06-15,26.0000667572,31.7259979248,5.7259311676,28.1940592843,1.77814677128
2025-06-16,30.5000686646,35.7999191284,5.29985046387,32.9050147963,2.02603011685
2025-06-17,33.5000648499,38.3849143982,4.88484954834,35.7151649475,1.83731259789
2025-06-18,30.8000564575,34.9564399719,4.1563835144,32.6092746853,1.42816839204
2025-06-19,29.500082016,36.199798584,6.69971656799,32.3074794248,2.37139933507
2025-06-20,31.3000602722,35.699798584,4.39973831177,33.1730600393,1.46825024627
2025-06-21,27.0647029877,30.120382309,3.05567932129,28.1145892528,0.793645077411
2025-06-22,28.0000514984,31.5999240875,3.59987258911,29.68729911,1.34066802629
2025-06-23,29.2000694275,34.6813545227,5.48128509521,31.4461544132,1.82128924329
2025-06-24,22.0000667572,27.7743625641,5.77429580688,24.339313654,1.99173147951
2025-06-25,21.1000862122,27.3998756409,6.29978942871,23.969503244,2.33122582734
2025-06-26,26.9000492096,30.4999217987,3.59987258911,28.552975388,1.33713415098
2025-06-27,31.3000545502,35.5580787659,4.2580242157,33.1447292897,1.50120112272
2025-06-28,33.7000732422,39.2163848877,5.51631164551,36.0968033263,1.93096314057
2025-06-29,34.4000816345,40.1472969055,5.747215271,37.0115679439,2.09769424906
2025-06-30,33.6000709534,38.9287796021,5.32870864868,35.9530397925,1.88055016197
2025-07-01,32.400062561,36.7671089172,4.3670463562,34.3902980165,1.55751232071
2025-07-02,26.2001056671,34.7060775757,8.50597190857,29.979619615,3.24259088232
2025-07-03,31.800069809,37.1999015808,5.39983177185,34.2445152377,2.04376774989
