date,minimum,maximum,range,mean,std
2025-05-06,16.6895523071,18.78383255,2.09428024292,18.3415515983,0.384855543282
2025-05-07,20.1123714447,22.3779258728,2.2655544281,21.4855651056,0.424715916626
2025-05-08,20.5253810883,23.5731220245,3.04774093628,21.8268884544,0.839722916604
2025-05-09,14.8365325928,16.5359153748,1.69938278198,16.0732054389,0.288340829396
2025-05-10,12.7785186768,15.860912323,3.08239364624,15.173021789,0.497424344441
2025-05-11,15.31361866,18.6744327545,3.36081409454,17.5551603487,0.587963787075
2025-05-12,11.959731102,14.6636695862,2.70393848419,14.1018166933,0.445203361143
2025-05-13,17.086555481,20.2720108032,3.18545532227,19.0418666951,0.593894812434
2025-05-14,18.2467765808,21.0755138397,2.82873725891,19.8392397875,0.574258346114
2025-05-15,19.7973403931,23.3763465881,3.57900619507,22.1785787398,0.669616495002
2025-05-16,23.8288211823,25.5822525024,1.75343132019,25.0619648897,0.289137650268
2025-05-17,25.448677063,27.7751903534,2.32651329041,26.7009714366,0.471543943941
2025-05-18,24.4139194489,26.1780109406,1.7640914917,25.3235080594,0.385889826674
2025-05-19,17.6401500702,20.679233551,3.03908348083,19.0111812703,0.886098418353
2025-05-20,23.559343338,26.2749710083,2.71562767029,25.1373231224,0.523224362859
2025-05-21,23.9135036469,27.6681251526,3.75462150574,25.6877698846,0.975384093578
2025-05-22,22.3776798248,24.7744731903,2.39679336548,23.6254102676,0.523461411712
2025-05-23,24.18384552,26.3758029938,2.19195747375,25.4547230628,0.420857836511
2025-05-24,26.356967926,29.074131012,2.71716308594,28.0968210675,0.48541268288
2025-05-25,26.6483783722,30.4634094238,3.81503105164,28.4909863463,0.90998836712
2025-05-26,25.6888217926,28.3743648529,2.6855430603,27.0179006649,0.632802809677
2025-05-27,28.7855949402,31.1792049408,2.39361000061,30.442080972,0.404415939776
2025-05-28,31.6311340332,34.2742156982,2.64308166504,32.9377643676,0.619466297037
2025-05-29,33.3658065796,36.5668067932,3.20100021362,34.7018312826,0.88357196085
2025-05-30,31.9006824493,35.0723495483,3.171667099,33.6193211978,0.67809499027
2025-05-31,31.9797592163,35.1786880493,3.19892883301,33.9126943995,0.656054314378
2025-06-01,25.5300216675,29.7759304047,4.24590873718,27.420397722,1.24274798168
2025-06-02,26.8281269073,29.6729850769,2.84485816956,28.0178882793,0.77621104938
2025-06-03,21.9650497437,24.9666385651,3.00158882141,23.5133819094,0.624942605968
2025-06-04,22.3079452515,26.2596473694,3.95170211792,24.2824897523,0.879704827843
2025-06-05,23.9823513031,27.7633533478,3.78100204468,25.6984408089,0.929848791294
2025-06-06,24.4321842194,28.3622932434,3.93010902405,26.1654738372,1.0004007378
2025-06-07,25.6778297424,29.4639949799,3.78616523743,27.4383372566,0.927556792501
2025-06-08,29.6732673645,32.3795433044,2.70627593994,31.3858563157,0.513410618021
2025-06-09,34.9600639343,37.768573761,2.80850982666,36.0817591349,0.758228272551
2025-06-10,31.6960449219,34.5707168579,2.87467193604,33.0478249083,0.718948720038
2025-06-11,25.8344783783,28.9730300903,3.13855171204,27.1171570206,0.860370109169
2025-06-12,22.2273483276,25.9758319855,3.74848365784,23.826939925,1.08300611542
2025-06-13,26.0579128265,30.6631336212,4.60522079468,27.9709157787,1.29196390494
2025-06-14,21.7616157532,24.7857284546,3.02411270142,23.383675511,0.725192565183
2025-06-15,30.0123538971,33.8652915955,3.85293769836,32.0356454068,0.8721847686
2025-06-16,33.4062347412,36.569103241,3.16286849976,34.9985154505,0.729394931547
2025-06-17,36.2746696472,39.7731018066,3.49843215942,38.265026572,0.739919040503
2025-06-18,35.1588134766,38.6657066345,3.50689315796,36.6000321532,0.962008832023
2025-06-19,32.8077468872,37.964225769,5.15647888184,35.8087242766,1.09852210569
2025-06-20,36.0955123901,39.7638931274,3.6683807373,37.942926862,0.818734274518
2025-06-21,30.6445903778,34.7630004883,4.11841011047,32.6108605883,0.989249183255
2025-06-22,32.1728019714,36.0607452393,3.88794326782,33.8577583605,0.981915262287
2025-06-23,32.4212112427,35.1615562439,2.74034500122,33.8958921797,0.509525125142
2025-06-24,23.4821739197,25.3731269836,1.89095306396,24.390983783,0.501355898166
2025-06-25,25.8207416534,29.9605083466,4.13976669312,28.0043447144,0.889881973109
2025-06-26,29.7705249786,32.7722244263,3.00169944763,31.5137527966,0.582746477996
2025-06-27,34.0145606995,37.4731903076,3.45862960815,36.127352209,0.676136836506
2025-06-28,37.277179718,40.9677124023,3.69053268433,39.5145265687,0.700141581864
2025-06-29,38.3386497498,42.0695610046,3.73091125488,40.6313230101,0.705275683121
2025-06-30,37.3875427246,40.7723426819,3.38479995728,39.535274721,0.610456798254
2025-07-01,37.2208747864,41.3611679077,4.14029312134,39.2284052698,0.974246557835
2025-07-02,31.719537735,35.9791793823,4.25964164734,33.6065836978,1.32251550396
2025-07-03,34.9192466736,38.372379303,3.45313262939,37.0003355891,0.667861321642
2025-07-04,34.288105011,37.7764167786,3.48831176758,36.5189009911,0.663308959842
2025-07-05,34.0623779297,37.5723304749,3.50995254517,36.1125174072,0.738768608154
2025-07-06,29.9846992493,34.2740440369,4.2893447876,32.4568120161,0.976146510283
2025-07-07,31.8043746948,35.2690887451,3.46471405029,33.1808880769,1.0425411938
2025-07-08,32.2126655579,35.7703437805,3.55767822266,34.5144230785,0.648016978594
2025-07-09,34.46925354,37.6732940674,3.20404052734,36.4844640235,0.577837484104
2025-07-10,32.5181999207,37.6498565674,5.13165664673,34.7375074223,1.29844496657
2025-07-11,26.9689369202,29.962934494,2.99399757385,28.2267168841,0.712119355322
2025-07-12,29.0760154724,32.8621177673,3.78610229492,30.9436042348,0.832755471674
2025-07-13,28.5279541016,33.1568984985,4.62894439697,30.825410426,1.05847265191
2025-07-14,30.426076889,34.961769104,4.53569221497,32.7530954114,1.03798657068
2025-07-15,35.0910110474,37.5745506287,2.4835395813,36.3790165705,0.535944849098
