date,minimum,maximum,range,mean,std
2025-05-05,9.86526679993,11.5199651718,1.65469837189,10.7606782232,0.385463004696
2025-05-06,6.13514280319,9.48192024231,3.34677743912,7.69590602981,0.821140247853
2025-05-07,11.182135582,12.725317955,1.54318237305,12.0100461415,0.266163048518
2025-05-08,9.78342628479,10.8930196762,1.10959339142,10.2219907569,0.209911446131
2025-05-09,9.02415180206,11.3845872879,2.36043548584,10.0800049873,0.553906754813
2025-05-10,7.08867311478,8.76593017578,1.677257061,7.60857251838,0.368038043912
2025-05-11,6.36929559708,7.82109355927,1.45179796219,6.85500283216,0.333294871553
2025-05-12,8.8907251358,9.74104785919,0.850322723389,9.24075725091,0.233788516244
2025-05-13,7.95244121552,9.67440891266,1.72196769714,8.45371168631,0.375911775098
2025-05-14,5.01975107193,7.27887964249,2.25912857056,6.06764067922,0.588576693125
2025-05-15,6.11285543442,7.68386983871,1.5710144043,6.83073897967,0.41085550459
2025-05-16,9.22895145416,11.6098623276,2.38091087341,10.4892344954,0.647933699247
2025-05-17,10.8317832947,13.3241252899,2.49234199524,12.1066278301,0.656781516402
2025-05-18,13.0077466965,14.5899505615,1.58220386505,13.6695964021,0.40584483651
2025-05-19,11.2032032013,11.654417038,0.45121383667,11.3848168711,0.103579422254
2025-05-20,9.83648109436,11.4518222809,1.61534118652,10.3977522295,0.336039049726
2025-05-22,10.4553003311,12.1440229416,1.68872261047,11.0299699622,0.358507182431
2025-05-23,10.4148454666,11.3012828827,0.886437416077,10.7361810069,0.196523818054
2025-05-24,10.2161607742,12.0028934479,1.78673267365,11.0467973992,0.449054356078
2025-05-25,10.1517162323,11.3324270248,1.18071079254,10.793120634,0.263823693813
2025-05-26,10.1102809906,10.799489975,0.689208984375,10.4269347897,0.149629011736
2025-05-27,10.1164999008,11.1543369293,1.0378370285,10.575352361,0.217060311043
2025-05-28,11.1159572601,12.3297815323,1.21382427216,11.8584215275,0.248323858337
2025-05-29,12.3993120193,13.6517715454,1.25245952606,13.1788967627,0.263436057823
2025-05-30,13.8044338226,15.0969724655,1.29253864288,14.7049821117,0.323291228803
2025-05-31,11.7959156036,13.1870412827,1.39112567902,12.7479985479,0.349347525744
2025-06-01,12.7218255997,14.0954227448,1.37359714508,13.6791042298,0.332530717013
2025-06-02,11.8054561615,12.7495107651,0.944054603577,12.5124755158,0.222712805069
2025-06-03,11.2137231827,12.0941162109,0.880393028259,11.6536618515,0.15571211473
2025-06-04,12.8359470367,13.5723953247,0.736448287964,13.2768235106,0.184658310282
2025-06-05,12.4474344254,13.0021867752,0.554752349854,12.8245416016,0.132344288355
