date,minimum,maximum,range,mean,std
2025-05-05,11.2927036285,11.6999969482,0.407293319702,11.5402340002,0.114503518749
2025-05-06,10.0522651672,10.6999855042,0.647720336914,10.3991457525,0.170750742555
2025-05-07,7.40001106262,8.36822986603,0.968218803406,7.86039397864,0.312800502972
2025-05-08,8.20001602173,10.2992134094,2.0991973877,8.85265258329,0.50492856425
2025-05-09,10.8000087738,12.2164802551,1.41647148132,11.1717296565,0.327228031734
2025-05-10,7.00003433228,8.40936660767,1.40933227539,7.77626696543,0.468268565658
2025-05-11,6.40001392365,7.0971198082,0.697105884552,6.72081972327,0.179454985231
2025-05-12,6.10002183914,7.11915206909,1.01913022995,6.58170254626,0.275192268832
2025-05-13,7.30002689362,8.64062309265,1.34059619904,7.95781398898,0.384651615827
2025-05-14,6.81772565842,7.90111541748,1.08338975906,7.2930313187,0.246360262505
2025-05-15,8.30000591278,8.73264503479,0.432639122009,8.50425004719,0.133962930773
2025-05-16,8.50000667572,9.2611951828,0.76118850708,8.7752327927,0.181669259731
2025-05-17,11.2000102997,12.2790641785,1.07905387878,11.7501317221,0.342613354138
2025-05-18,10.7100410461,11.6673612595,0.957320213318,11.4161473886,0.139324604536
2025-05-19,10.4617767334,10.9339551926,0.472178459167,10.6593333313,0.127255554567
2025-05-20,9.54846000671,10.4332799911,0.884819984436,9.96174068068,0.163099147414
2025-05-22,11.9000072479,12.4691457748,0.569138526917,12.1317785829,0.145105907948
2025-05-23,11.7855911255,13.3999767303,1.61438560486,12.8052291551,0.40696484481
2025-05-24,10.7000303268,12.138256073,1.43822574615,11.3462104462,0.390026698466
2025-05-25,10.3000421524,12.6939048767,2.3938627243,11.4825573575,0.731631255959
2025-05-26,11.3000116348,12.3581533432,1.05814170837,11.8307048775,0.336079304337
2025-05-27,8.78662490845,11.1530628204,2.36643791199,9.62140440182,0.675231003192
2025-05-28,12.4000253677,14.4119596481,2.0119342804,13.3616883583,0.598932534516
2025-05-29,14.4000301361,17.2058162689,2.80578613281,15.8779329127,0.964437183424
2025-05-30,15.0000391006,17.6099472046,2.60990810394,16.3437045415,0.840090175285
2025-05-31,15.700056076,19.5289649963,3.82890892029,17.4673433639,1.12020983931
2025-06-01,15.7000150681,17.7933635712,2.09334850311,16.5153376166,0.551565196406
2025-06-02,14.1072244644,15.3118600845,1.20463562012,14.6467263846,0.208655542435
2025-06-03,13.1769285202,13.8569526672,0.680024147034,13.4870726236,0.114864752588
2025-06-04,12.5256900787,13.1999883652,0.674298286438,12.8695848839,0.20797845969
2025-06-05,11.5582704544,11.7999849319,0.241714477539,11.6569421008,0.0688999895093
2025-06-06,14.0482549667,15.5999727249,1.55171775818,14.9766753642,0.404004232043
2025-06-07,11.100030899,12.7060775757,1.60604667664,11.9406280502,0.498785280756
2025-06-08,13.1000146866,13.9665851593,0.866570472717,13.5283761304,0.277425569801
2025-06-09,19.5942783356,20.2449569702,0.650678634644,19.8231794718,0.139289624874
2025-06-10,16.0312194824,17.6928787231,1.66165924072,16.4797213281,0.249668940914
2025-06-11,14.3513154984,15.9999780655,1.64866256714,15.3570409532,0.432783517159
2025-06-12,14.1005563736,15.8999824524,1.7994260788,15.3392144288,0.40574225263
2025-06-13,15.7661247253,17.2999725342,1.53384780884,16.5908276879,0.434323968425
2025-06-14,13.2383775711,14.699962616,1.46158504486,14.0054206177,0.396857491886
2025-06-15,8.90003395081,11.240732193,2.34069824219,9.9853311839,0.686862450878
2025-06-16,14.0000371933,16.6037139893,2.60367679596,15.3279570527,0.842052623145
2025-06-17,17.600019455,19.9627304077,2.36271095276,18.6986969927,0.759469933806
2025-06-18,15.9000282288,18.4246292114,2.52460098267,17.0527975507,0.78617037269
2025-06-19,19.1248626709,20.9797782898,1.8549156189,19.6723570448,0.46157280484
2025-06-20,18.1750717163,19.7673454285,1.59227371216,18.7272398676,0.46739780976
2025-06-21,15.3956508636,16.6439609528,1.24831008911,15.6731177351,0.263552404167
2025-06-22,15.6557731628,16.6556053162,0.99983215332,16.1229481833,0.263984105944
2025-06-23,16.9340591431,18.2103786469,1.27631950378,17.501223176,0.181695359601
2025-06-24,14.7546930313,16.9999637604,2.24527072906,15.9921130926,0.631108769795
2025-06-25,15.5311250687,17.0999851227,1.56886005402,16.5764690172,0.390624065789
2025-06-26,15.1679553986,15.6999864578,0.532031059265,15.4231728229,0.165973714094
2025-06-27,16.3000068665,16.601474762,0.301467895508,16.4532659585,0.0956886677765
2025-06-28,18.3000106812,20.0668468475,1.76683616638,19.1588365884,0.59017485002
2025-06-29,18.1000366211,20.2389202118,2.1388835907,19.2878478672,0.721048723625
2025-06-30,19.6000347137,22.5083293915,2.90829467773,20.9589709565,0.868527160614
2025-07-01,20.100030899,22.0705947876,1.97056388855,21.0788060001,0.625567046923
2025-07-02,17.8389549255,19.5736656189,1.73471069336,18.216074386,0.277210047547
2025-07-03,17.9000091553,19.9144191742,2.01441001892,18.7718174166,0.647285025519
2025-07-04,17.4000225067,19.0532264709,1.65320396423,18.2006362199,0.52501061706
2025-07-05,16.8000030518,17.7201309204,0.920127868652,17.1220528109,0.271604868005
2025-07-06,18.0572547913,19.3829421997,1.32568740845,18.3212497174,0.251886796712
2025-07-07,17.006061554,17.871137619,0.865076065063,17.114416902,0.143908528721
2025-07-08,17.1000061035,19.0829334259,1.98292732239,17.7613021876,0.567338049895
2025-07-09,16.089094162,17.5999774933,1.5108833313,16.911142017,0.448552608586
2025-07-10,14.9336118698,15.5238027573,0.590190887451,15.3176785154,0.137546779092
2025-07-11,14.7752981186,16.1999855042,1.42468738556,15.5279444849,0.446172517462
2025-07-12,16.9424667358,17.4214324951,0.478965759277,17.2362624125,0.0976397341724
2025-07-13,13.9000072479,14.185713768,0.285706520081,14.0420355901,0.0836066003841
2025-07-14,15.528181076,16.2817058563,0.753524780273,15.8995719651,0.145048921309
2025-07-15,13.0000162125,14.8729486465,1.87293243408,13.6437847131,0.499145833356
2025-07-16,14.2000293732,17.517824173,3.3177947998,15.7182438849,1.05135350278
2025-07-17,12.9000110626,15.1602840424,2.26027297974,13.7665941344,0.667065907255
2025-07-18,14.0334596634,15.1214466095,1.08798694611,14.2770536174,0.186269921172
2025-07-19,15.0344648361,16.3227233887,1.28825855255,15.5346688378,0.190514786262
2025-07-20,15.5892486572,16.5051078796,0.915859222412,15.7597029333,0.14739813282
2025-07-21,12.582988739,13.2999858856,0.716997146606,12.9645358729,0.215003445148
2025-07-22,11.9000101089,12.79438591,0.894375801086,12.3102525203,0.270260302701
2025-07-23,14.5665483475,15.0999917984,0.533443450928,14.9043165587,0.122418734291
2025-07-24,12.5000257492,13.5309171677,1.03089141846,13.0730904111,0.346390354908
2025-07-25,17.5000190735,20.5227565765,3.02273750305,18.6977278296,0.861768543312
2025-07-26,14.2000675201,18.1773395538,3.97727203369,16.3550151541,1.33233710402
2025-07-27,14.4000644684,18.2182636261,3.81819915771,16.2371204191,1.12693514662
2025-07-28,14.6000108719,15.6193876266,1.01937675476,15.0006889746,0.271679211516
2025-07-29,17.9000339508,21.4378433228,3.53780937195,19.2113573084,0.922099568641
2025-07-30,16.4000225067,19.175945282,2.77592277527,17.7371284223,0.894474592302
2025-07-31,17.2000389099,20.4192314148,3.21919250488,18.5283313668,0.909043089731
2025-08-01,16.5000171661,18.877161026,2.37714385986,17.4140200942,0.686177042343
2025-08-03,16.4000320435,20.050031662,3.64999961853,17.90820724,1.03766893872
2025-08-04,20.9000110626,21.5213699341,0.62135887146,21.1578785339,0.179055107664
2025-08-05,19.7947921753,21.0619468689,1.2671546936,20.1870125143,0.340305889154
2025-08-06,15.6000175476,18.7878417969,3.18782424927,16.7829237767,0.921568762582
2025-08-07,15.6245241165,17.59998703,1.97546291351,16.8286597765,0.594082212746
2025-08-08,15.1932001114,16.3999881744,1.20678806305,15.9511567153,0.302728478352
2025-08-09,13.6000099182,16.3134613037,2.7134513855,14.7070888986,0.850897436806
2025-08-10,15.2000102997,18.0718803406,2.87187004089,16.3461334174,0.860078995935
