date,minimum,maximum,range,mean,std
2025-05-05,11.0035963058,13.2977190018,2.29412269592,12.5698494049,0.746003764114
2025-05-06,7.80624485016,11.7959957123,3.98975086212,10.4612183284,1.25798226804
2025-05-07,8.80529975891,12.2964448929,3.49114513397,11.1550524608,1.13307257848
2025-05-08,10.9041385651,13.5972108841,2.69307231903,12.4270736166,0.737096286766
2025-05-09,11.1044721603,13.8972120285,2.79273986816,12.9521556992,0.864151538254
2025-05-10,9.5057144165,13.1962909698,3.69057655334,11.9807220942,1.18159756456
2025-05-11,7.80637931824,11.9957389832,4.18935966492,10.5426002008,1.31104473801
2025-05-12,8.10619831085,12.1958093643,4.08961105347,10.6541808829,1.2194365079
2025-05-13,9.7061214447,13.6959314346,3.98980998993,12.2637860631,1.21701259442
2025-05-14,8.60591983795,12.4960393906,3.89011955261,11.0949685775,1.19091274771
2025-05-15,8.90610027313,12.8959665298,3.98986625671,11.5482856107,1.26587527785
2025-05-16,9.50624370575,13.5958566666,4.08961296082,12.214840866,1.29864509621
2025-05-17,11.4069728851,15.995267868,4.58829498291,14.2201807987,1.3438583299
2025-05-18,11.8040847778,14.3974313736,2.59334659576,13.6236971775,0.871087627128
2025-05-19,11.9047670364,14.8970470428,2.99228000641,14.0143730899,1.00558431771
2025-05-20,11.2065420151,15.4956264496,4.28908443451,13.9376533347,1.30359024935
2025-05-22,13.603767395,16.197271347,2.59350395203,15.0374188136,0.717939277395
2025-05-23,13.8040657043,16.4971942902,2.69312858582,15.28275206,0.731503889779
2025-05-24,13.0065078735,17.4951629639,4.48865509033,15.2751520111,1.18638258043
2025-05-25,10.9076538086,15.9947185516,5.08706474304,13.8777638171,1.4364116717
2025-05-26,13.1033697128,15.3975734711,2.29420375824,14.2903692751,0.614279545051
2025-05-27,10.7064905167,14.9956140518,4.28912353516,13.4316303874,1.30599614234
2025-05-28,10.708147049,16.1942539215,5.48610687256,13.9342562664,1.56262933683
2025-05-29,14.6067695618,19.0953006744,4.48853111267,17.1419662223,1.23406838313
2025-05-30,15.8068962097,20.4950275421,4.6881313324,18.3475606643,1.27098230369
2025-05-31,16.3061141968,20.39569664,4.08958244324,18.5560037774,1.11153542087
2025-06-01,14.2049608231,17.4966011047,3.29164028168,16.1815164175,0.951234461122
2025-06-02,15.1014032364,15.9990634918,0.897660255432,15.5109879023,0.238779570838
2025-06-03,14.5015115738,15.498966217,0.99745464325,15.0182522349,0.267436519771
2025-06-04,13.3044013977,16.1970100403,2.89260864258,14.9666519854,0.805169569252
2025-06-05,13.1037712097,15.6972551346,2.59348392487,14.494664962,0.705311819493
2025-06-06,15.2026023865,16.8982639313,1.6956615448,16.2138564558,0.483876611842
2025-06-07,14.0046749115,17.096818924,3.09214401245,15.8814845602,0.900902650541
2025-06-08,12.9062757492,17.0956707001,4.18939495087,15.5420800289,1.26706294561
2025-06-09,15.6038131714,18.0974769592,2.49366378784,17.2555922198,0.792858394667
2025-06-10,17.2009334564,17.7993812561,0.598447799683,17.5107493803,0.158129119721
2025-06-11,16.7009105682,17.3998699188,0.698959350586,17.1604980331,0.233467779752
2025-06-12,15.7020902634,17.0985431671,1.39645290375,16.5279335688,0.399123582834
2025-06-13,13.8049402237,16.9967746735,3.19183444977,15.8833436277,0.987962856409
2025-06-14,14.5028352737,16.4978847504,1.99504947662,15.587322982,0.552018564867
2025-06-15,14.8024778366,16.498216629,1.69573879242,15.7235530141,0.464495998842
2025-06-16,13.0066108704,17.6952533722,4.68864250183,15.6723966139,1.37411362292
2025-06-17,16.9016513824,18.0987968445,1.19714546204,17.6080013643,0.368360446793
2025-06-18,14.9024534225,16.4984531403,1.59599971771,15.9109051601,0.49309749424
2025-06-19,16.2039890289,18.9972000122,2.79321098328,17.8429563132,0.833162513566
2025-06-20,16.1029605865,18.1978988647,2.0949382782,17.3305098063,0.629346533164
2025-06-21,12.8057937622,16.7960338593,3.99024009705,15.1955543886,1.20083887091
2025-06-22,13.306429863,17.7955036163,4.48907375336,15.9450040036,1.33747583586
2025-06-23,14.6046190262,17.7968215942,3.19220256805,16.509186423,0.959098141925
2025-06-24,15.6035413742,17.997636795,2.39409542084,17.0562201695,0.722608647287
2025-06-25,15.5045604706,18.5969772339,3.09241676331,17.4061937907,0.941996198178
2025-06-26,14.5051450729,17.9965820313,3.49143695831,16.6446127489,1.05925186288
2025-06-27,14.7074384689,19.7949848175,5.08754634857,17.7599441919,1.51928188592
2025-06-28,16.5069465637,21.2952518463,4.78830528259,19.3192486361,1.41115346184
