date,minimum,maximum,range,mean,std
2025-05-05,9.91290569305,12.4919834137,2.57907772064,11.227516084,0.553768195843
2025-05-06,8.78217983246,9.45246315002,0.670283317566,9.11566198751,0.152790766997
2025-05-07,8.70233154297,10.4242677689,1.72193622589,9.9170807303,0.410766062331
2025-05-08,9.57431411743,11.0469589233,1.47264480591,10.6352528254,0.29313909748
2025-05-09,9.17290019989,9.53136444092,0.358464241028,9.34578030068,0.0703148802056
2025-05-10,8.10304355621,9.11200523376,1.00896167755,8.78006938633,0.189499517388
2025-05-11,5.74987840652,7.60626363754,1.85638523102,7.09828414248,0.356090486342
2025-05-12,5.80871486664,7.43620824814,1.6274933815,6.94443831026,0.340217339881
2025-05-13,8.4540643692,9.41038227081,0.956317901611,8.99310250868,0.188861827852
2025-05-14,5.89860391617,8.15861225128,2.26000833511,7.3613626271,0.438600598062
2025-05-15,7.62835741043,8.68686676025,1.05850934982,8.39156690229,0.189092308914
2025-05-16,8.12297725677,12.5888557434,4.46587848663,11.343850544,1.03688940498
2025-05-17,11.1738853455,16.0065422058,4.83265686035,14.1281173555,0.938710772842
2025-05-18,10.6882705688,12.1367254257,1.44845485687,11.540036327,0.293460118465
2025-05-19,9.77795600891,10.8864536285,1.10849761963,10.4249104901,0.194676694787
2025-05-20,8.43533706665,11.4998655319,3.06452846527,10.4178310896,0.582272816562
2025-05-22,10.7968816757,15.0627880096,4.26590633392,13.4289008057,0.834689075583
2025-05-23,9.38890552521,14.1459102631,4.75700473785,12.6778095128,0.971514173819
2025-05-24,8.71344947815,16.6122398376,7.8987903595,13.4985046286,1.55717916677
2025-05-25,9.53469467163,16.8777046204,7.34300994873,13.8135030997,1.43008318898
2025-05-26,13.0578832626,15.1782360077,2.12035274506,13.9676163991,0.42798705296
2025-05-27,9.7847776413,16.2339439392,6.44916629791,13.9905839836,1.53313759421
2025-05-28,10.2749462128,19.6144123077,9.33946609497,15.5479182243,1.79027568016
2025-05-29,14.6064424515,21.6731472015,7.06670475006,19.5643023039,1.64018514514
2025-05-30,14.9422712326,20.7114887238,5.76921749115,18.0442712031,1.05151788608
2025-05-31,16.1878623962,22.433675766,6.24581336975,19.9192547781,1.18278670931
2025-06-01,15.2713632584,18.4322338104,3.16087055206,17.3817131042,0.714381999451
2025-06-02,12.702791214,14.6843605042,1.98156929016,13.8477342873,0.301930478873
2025-06-03,12.2189016342,13.9516410828,1.73273944855,13.168167745,0.339105659796
2025-06-04,11.3041505814,12.810754776,1.50660419464,11.9428022987,0.3544307139
2025-06-05,11.2752389908,13.3221616745,2.04692268372,12.5870709653,0.440435162875
2025-06-06,12.9642353058,13.8921070099,0.927871704102,13.3747964725,0.232320115777
2025-06-07,12.1966485977,15.5428991318,3.34625053406,14.0810563372,0.587609600215
2025-06-08,11.5163764954,19.0909576416,7.57458114624,15.7175600939,1.46722547412
2025-06-09,15.9277963638,21.6715106964,5.74371433258,19.8027752742,1.30310352491
2025-06-10,15.4021711349,17.6499919891,2.24782085419,16.3376781715,0.423584609902
2025-06-11,13.4414758682,14.664232254,1.2227563858,13.9428622078,0.258069696878
2025-06-12,12.4874954224,13.4044504166,0.916954994202,13.1466238858,0.168207951089
