date,minimum,maximum,range,mean,std
2025-05-05,12.9732341766,13.4999980927,0.526763916016,13.3771811927,0.130721517765
2025-05-06,11.3107013702,12.7999944687,1.48929309845,12.4771612074,0.366380681498
2025-05-07,8.89146137238,10.499994278,1.60853290558,10.1659809206,0.390116239028
2025-05-08,11.3702058792,13.8999910355,2.52978515625,13.3866397392,0.610913989202
2025-05-09,11.6383523941,13.4999933243,1.86164093018,13.1237692949,0.449047450416
2025-05-10,10.9431362152,12.6999940872,1.75685787201,12.3347158199,0.426428059925
2025-05-11,8.17526340485,9.99999332428,1.82472991943,9.63012466431,0.439778505934
2025-05-12,7.86730527878,10.1999921799,2.33268690109,9.73518981236,0.56105946396
2025-05-13,9.84949493408,12.2999916077,2.45049667358,11.8134863272,0.589003854504
2025-05-14,8.9021987915,10.8999929428,1.99779415131,10.4945126557,0.481801389193
2025-05-15,10.5696668625,13.0999917984,2.53032493591,12.5839771922,0.611429823488
2025-05-16,9.38711452484,11.0999946594,1.71288013458,10.7682183196,0.409866382052
2025-05-17,11.8847389221,14.0999927521,2.21525382996,13.6631354913,0.531312001276
2025-05-18,11.8686990738,14.1999921799,2.33129310608,13.7471069801,0.558690838264
2025-05-19,13.3075790405,15.0999927521,1.79241371155,14.7022066163,0.445336885575
2025-05-20,11.0470504761,12.6999950409,1.65294456482,12.3827735901,0.39600498785
2025-05-22,11.9205799103,13.1999959946,1.27941608429,12.9523591344,0.306789926819
2025-05-23,13.2109107971,14.0999975204,0.889086723328,13.945489809,0.212922843259
2025-05-24,11.4800195694,13.1999950409,1.7199754715,12.8618715426,0.412641288786
2025-05-25,11.4457807541,12.5999965668,1.15421581268,12.3723993301,0.276539900213
2025-05-26,11.8915662766,13.1999959946,1.30842971802,12.9550255659,0.31124823247
2025-05-27,9.3672914505,11.2999954224,1.93270397186,10.9406678549,0.45842839355
2025-05-28,12.5503807068,13.6999969482,1.14961624146,13.4713572479,0.275327517486
2025-05-29,16.0458221436,18.1999931335,2.15417098999,17.7739113784,0.515990288196
2025-05-30,15.9482402802,17.0999965668,1.15175628662,16.8602403036,0.279282312692
2025-05-31,15.4980745316,16.2999973297,0.801922798157,16.1422321971,0.191842500898
2025-06-01,14.8273773193,14.9999990463,0.17262172699,14.957196538,0.0443184989755
2025-06-02,14.7259960175,15.3999977112,0.674001693726,15.2718910264,0.161594197255
2025-06-03,14.3460597992,15.0999975204,0.753937721252,14.9418519183,0.184820293714
2025-06-04,13.6814279556,15.0999956131,1.41856765747,14.8102681044,0.344633393456
2025-06-05,11.1184043884,12.7999954224,1.68159103394,12.4805702861,0.401295066874
2025-06-06,13.2899913788,14.5999975204,1.31000614166,14.4021374958,0.305522519395
2025-06-07,12.9016675949,14.7999954224,1.89832782745,14.4492992401,0.450681458924
2025-06-08,13.4379482269,14.6999969482,1.26204872131,14.4671412677,0.298766106164
2025-06-09,15.633890152,16.6999969482,1.06610679626,16.5100326119,0.253224009488
2025-06-10,15.8601789474,16.4999980927,0.639819145203,16.3622884006,0.159417018256
2025-06-11,14.4553909302,16.1999950409,1.74460411072,15.8638163264,0.418150800467
2025-06-12,14.4025659561,16.3999938965,1.99742794037,16.0052322388,0.47967402437
2025-06-13,15.8758878708,16.7999954224,0.924107551575,16.5955412609,0.229393075781
2025-06-14,13.5534658432,14.9999961853,1.4465303421,14.7288913773,0.344509912849
2025-06-15,11.6034145355,13.6999940872,2.0965795517,13.3111436658,0.498310743547
2025-06-16,14.0315761566,15.6999950409,1.66841888428,15.3781713951,0.398135167298
2025-06-17,16.5622558594,17.6999969482,1.13774108887,17.4789664106,0.272017405681
2025-06-18,16.107011795,16.2999992371,0.192987442017,16.259764462,0.0442107698107
2025-06-19,16.8469047546,17.1999988556,0.353094100952,17.139602075,0.0822500632919
2025-06-20,15.9864940643,16.5999984741,0.61350440979,16.5023761935,0.143309473896
2025-06-21,14.7811813354,15.8999967575,1.11881542206,15.6947399512,0.26559792609
2025-06-22,13.9606657028,14.7999973297,0.839331626892,14.6412912881,0.199162814812
2025-06-23,15.5063924789,16.2999973297,0.793604850769,16.1736750998,0.185710383506
2025-06-24,15.6835737228,16.7999973297,1.11642360687,16.5773746304,0.269497668696
2025-06-25,16.8571090698,17.5999984741,0.742889404297,17.4666398863,0.177593264112
2025-06-26,14.6866865158,15.9999961853,1.31330966949,15.7588569688,0.311841915737
2025-06-27,15.4829883575,17.1999950409,1.71700668335,16.8844639057,0.407647720093
2025-06-28,17.2268314362,17.9999980927,0.773166656494,17.8577234966,0.183494731801
2025-06-29,18.4994792938,18.9999980927,0.500518798828,18.9029715654,0.118050390021
2025-06-30,18.6481895447,19.2999973297,0.651807785034,19.1667093975,0.15663508212
2025-07-01,18.0348968506,18.8999977112,0.865100860596,18.7723512324,0.199487944053
2025-07-02,16.9130649567,17.7999992371,0.886934280396,17.6781216691,0.197433175028
2025-07-03,15.8872528076,16.8999977112,1.01274490356,16.7218625045,0.241181561597
2025-07-04,16.3054008484,16.5,0.194599151611,16.4592956636,0.0433523722678
2025-07-05,17.0000019073,17.2491836548,0.249181747437,17.0563142079,0.0619268485373
2025-07-06,16.8816547394,17.0184631348,0.136808395386,16.9813290014,0.028308683198
2025-07-07,16.5697498322,16.8717269897,0.301977157593,16.7128757663,0.0406623116917
2025-07-08,14.8949928284,15.7999982834,0.905005455017,15.6523205548,0.212201106902
2025-07-09,16.1634979248,17.1999969482,1.03649902344,17.006423485,0.247171534764
2025-07-10,17.5444889069,18.3999977112,0.855508804321,18.219058516,0.210937825557
2025-07-11,17.8469696045,18.1999988556,0.353029251099,18.1141566207,0.0947444441862
2025-07-12,16.9871120453,17.5999984741,0.612886428833,17.4942522747,0.14769301855
2025-07-13,16.1033782959,17.0999965668,0.996618270874,16.8938073879,0.24267786223
2025-07-14,15.2217102051,16.3999977112,1.1782875061,16.1830372508,0.280548207059
2025-07-15,13.6355428696,14.6999969482,1.06445407867,14.4870326112,0.254839172243
2025-07-16,14.2927856445,16.299993515,2.00720787048,15.9181632158,0.479029944063
2025-07-17,13.5789613724,15.4999952316,1.92103385925,15.1494709899,0.457055241114
2025-07-18,14.6783008575,16.2999954224,1.62169456482,16.0012002433,0.386835733825
2025-07-19,15.5087413788,16.2999973297,0.791255950928,16.1486811754,0.189155104739
2025-07-20,16.0279750824,16.9999980927,0.972023010254,16.8247292123,0.232463582125
2025-07-21,13.7584104538,15.8999938965,2.14158344269,15.4970020387,0.511894045582
2025-07-22,12.3521099091,14.2999954224,1.94788551331,13.9466792967,0.464917622872
2025-07-23,15.2491388321,16.2999973297,1.05085849762,16.1295875038,0.250540011739
2025-07-24,14.6242675781,15.6999969482,1.07572937012,15.5034286406,0.257943919119
2025-07-25,15.2801599503,16.6999969482,1.41983699799,16.4246325423,0.341254446768
2025-07-26,15.742483139,17.2999954224,1.55751228333,16.9983176627,0.372370503307
2025-07-27,14.6712522507,16.1999950409,1.52874279022,15.9212467752,0.363499507574
2025-07-28,14.5359458923,16.5999946594,2.06404876709,16.2253294177,0.491787537045
2025-07-29,14.8962068558,15.7999982834,0.903791427612,15.6460049094,0.215992043585
2025-07-30,17.179063797,18.2999954224,1.12093162537,18.0819281787,0.267518902105
2025-07-31,16.5880908966,17.4999980927,0.911907196045,17.3315656522,0.216683238053
2025-08-01,16.1991329193,16.8999977112,0.70086479187,16.7858516972,0.161763965494
2025-08-03,15.3237752914,15.5,0.176224708557,15.4740735263,0.037922008841
2025-08-04,16.8763370514,17.7999973297,0.92366027832,17.6358423466,0.219951315125
2025-08-05,17.6984806061,18.3007335663,0.602252960205,18.2116698661,0.1391469359
2025-08-06,17.8000011444,18.0072441101,0.207242965698,17.8382835667,0.050178867665
2025-08-07,17.1000003815,17.1639575958,0.0639572143555,17.1168875066,0.0186891338106
2025-08-08,16.3899555206,17.2999973297,0.910041809082,17.1324719685,0.216292776126
2025-08-09,15.8383750916,16.0999984741,0.261623382568,16.0436825403,0.0641655932708
2025-08-10,15.5260486603,15.6120214462,0.0859727859497,15.5866122734,0.0187836754971
2025-08-11,19.3411102295,21.0999927521,1.75888252258,20.7305080879,0.426442851077
2025-08-12,20.1955623627,21.7999954224,1.60443305969,21.4788156835,0.385752001163
2025-08-13,18.1365394592,19.1999969482,1.06345748901,19.0120230977,0.25364868274
2025-08-18,16.2910957336,17.4999980927,1.20890235901,17.2925337536,0.287824828659
2025-08-19,16.5719871521,17.2999973297,0.728010177612,17.1510419241,0.177773646878
2025-08-20,16.5143547058,17.1999988556,0.68564414978,17.0912697676,0.163596591203
2025-08-21,14.8682527542,16.0999965668,1.23174381256,15.8960728994,0.294142307087
2025-08-22,14.8146810532,15.4999980927,0.68531703949,15.3544495141,0.168649889373
2025-08-23,16.5977287292,16.7999992371,0.202270507813,16.7512602271,0.0478164655169
2025-08-24,15.7385015488,15.9999990463,0.261497497559,15.9473751347,0.063191803316
2025-08-25,14.4432897568,15.499997139,1.0567073822,15.2973709851,0.251336430813
2025-08-26,13.9421291351,14.8999977112,0.95786857605,14.7373043712,0.228540466399
2025-08-27,14.6821460724,15.7999973297,1.11785125732,15.6199569935,0.265336033612
2025-08-28,15.6021032333,16.9999961853,1.39789295197,16.73596598,0.334092279594
2025-08-29,14.476808548,15.9999952316,1.52318668365,15.7121720198,0.363364105496
2025-08-30,15.6723871231,16.9999961853,1.32760906219,16.762890504,0.316341948999
2025-08-31,15.8513154984,17.0999965668,1.24868106842,16.8566686072,0.299426906935
2025-09-01,13.336151123,15.0999946594,1.76384353638,14.7534372888,0.423862993026
2025-09-02,12.3362979889,13.999994278,1.66369628906,13.6735339653,0.398350127998
2025-09-03,14.4209156036,16.1999950409,1.77907943726,15.8693563554,0.423531305823
2025-09-04,14.4083795547,15.499997139,1.09161758423,15.2902639529,0.261005854867
2025-09-05,14.2003068924,15.8999958038,1.69968891144,15.5932071174,0.405261692101
2025-09-06,14.0836019516,15.8999938965,1.81639194489,15.526117497,0.43867723254
2025-09-07,15.7410764694,16.6999969482,0.958920478821,16.5316881366,0.228777121707
2025-09-08,15.1203737259,16.0999984741,0.97962474823,15.9312226737,0.235056814658
2025-09-09,13.208521843,15.2999944687,2.09147262573,14.9354430222,0.500763781416
2025-09-10,16.6994514465,16.8999996185,0.200548171997,16.8562852906,0.0499880869656
2025-09-11,16.2858028412,16.8999977112,0.614194869995,16.7968742464,0.145310414686
2025-09-12,15.6223945618,16.8999977112,1.27760314941,16.6686860526,0.303395432802
2025-09-13,14.8282995224,15.7999973297,0.971697807312,15.6209957588,0.229775048467
